PersonID,Age,Gender,Country,Education_Level,Income_USD
10069,33,Male,Germany,Masters,51480.01
10070,34,Male,Germany,High School,13144.31
10071,26,Male,Japan,Bachelors,59231.68
10072,39,Female,Japan,High School,78252.85
10073,56,Female,USA,Masters,70804.19
10074,20,Male,Japan,Masters,95745.6
10075,55,Female,Canada,Bachelors,33568.31
10076,38,Female,Japan,Bachelors,115299.36
10077,50,Male,Japan,High School,47354.01
10078,38,Male,Australia,Bachelors,76971.26
10079,71,Male,India,Bachelors,61410.8
10080,71,Male,India,Masters,83253.63
10081,71,Male,USA,Bachelors,32016.06
10082,28,Female,Brazil,Bachelors,64543.4
10083,47,Female,India,Masters,32253.6
10084,46,Female,Japan,Bachelors,59850.25
10085,51,Female,India,Bachelors,28594.39
10086,58,Female,USA,Bachelors,44462.26
10087,43,Male,Japan,Masters,96659.99
10088,52,Male,Germany,Bachelors,41237.48
10089,46,Male,Canada,Masters,32518.38
10090,47,Male,USA,Bachelors,36574.27
10091,37,Male,Germany,Masters,62220.65
10092,21,Female,India,High School,40927.73
10093,33,Male,Brazil,Bachelors,27262.64
10094,39,Male,Australia,Bachelors,51337.08
10095,54,Male,Brazil,Bachelors,38465.02
10096,31,Male,UK,High School,65048.19
10097,46,Female,Germany,PhD,73527.97
10098,37,Male,UK,Bachelors,59504.78
10099,63,Female,USA,Bachelors,46774.12
10100,31,Male,Brazil,High School,23539.69
10101,46,Female,UK,High School,52967.11
10102,80,Male,Japan,Bachelors,67648.15
10103,43,Male,Brazil,Bachelors,55990.88
10104,45,Male,India,Masters,35678.75
10105,50,Male,UK,Bachelors,29789.34
10106,51,Male,USA,High School,89114.99
10107,40,Female,Germany,Masters,67278.93
10108,69,Male,Canada,Bachelors,25403.6
10109,45,Male,India,Bachelors,37002.9
10110,34,Female,Brazil,High School,24467.15
10111,35,Male,India,High School,143180.78
10112,46,Male,Germany,Bachelors,64448.47
10113,43,Male,Germany,High School,59898.67
10114,42,Male,Australia,Bachelors,41298.43
10115,30,Male,Brazil,Bachelors,53041.02
10116,35,Male,Japan,Masters,88333.76
10117,25,Female,Brazil,Bachelors,64861.44
10118,44,Female,Brazil,Masters,48363.3
10119,48,Female,UK,Bachelors,24230.36
10120,32,Female,India,Bachelors,48780.36
10121,43,Male,Brazil,PhD,30035.57
10122,38,Female,UK,Masters,19653.99
10123,39,Female,Germany,Masters,37588.14
10124,46,Non-Binary,Brazil,Masters,44850.28
10125,36,Female,Japan,Bachelors,40602.36
10126,52,Female,Canada,Masters,43815.86
10127,41,Female,Japan,Bachelors,107289.75
10128,76,Female,USA,High School,89102.74
10129,27,Female,India,Bachelors,42911.27
10130,39,Female,UK,High School,68088.08
10131,48,Male,India,Masters,42166.5
10132,53,Female,USA,Bachelors,23840.41
10133,34,Male,India,Bachelors,19140.32
10134,63,Male,Germany,Masters,36919.14
10135,29,Female,UK,High School,56120.54
10136,67,Male,Brazil,Bachelors,44174.76
10137,66,Male,Germany,Bachelors,28983.75
10138,36,Female,Japan,Bachelors,46487.87
10139,83,Female,India,High School,56675.37
10140,79,Male,Japan,Bachelors,58687.7
10141,54,Male,Brazil,Masters,15233.26
10142,32,Male,Germany,Bachelors,85479.11
10143,61,Female,USA,Bachelors,43445.65
10144,54,Male,Germany,Bachelors,44770.82
10145,57,Female,Australia,Bachelors,14926.52
10146,42,Female,Australia,Masters,47601.7
10147,55,Male,Japan,PhD,74009.05
10148,57,Male,India,Bachelors,77067.69
10149,46,Female,Australia,High School,103928.18
10150,67,Male,India,Bachelors,44243.56
10151,49,Male,USA,Masters,35216.17
10152,27,Female,UK,Bachelors,70723.83
10153,46,Female,Japan,Bachelors,103230.11
10154,70,Male,Australia,High School,46069.18
10155,37,Non-Binary,Australia,Bachelors,92884.03
10156,38,Male,India,Masters,66579.02
10157,32,Female,USA,High School,66817.12
10158,60,Female,Canada,Masters,17764.61
10159,57,Female,Germany,Masters,34533.61
10160,33,Male,USA,High School,27591.7
10161,46,Male,Germany,High School,75924.81
10162,54,Male,Australia,Bachelors,24937.61
10163,71,Male,Germany,Bachelors,47565.89
10164,51,Female,Brazil,High School,19574.84
10165,25,Male,Australia,Bachelors,55186.75
10166,43,Male,India,Masters,85845.37
10167,53,Male,Brazil,Masters,31940.65
10168,38,Female,Australia,Bachelors,61472.46
10169,29,Female,India,High School,26212.06
10170,54,Male,UK,Bachelors,58056.41
10171,36,Male,Australia,Masters,94438.92
10172,67,Male,Germany,Bachelors,36261.5
10173,32,Female,Canada,Masters,36690.09
10174,28,Male,Canada,Masters,99391.55
10175,49,Male,Germany,High School,21621.57
10176,68,Male,UK,Masters,53902.77
10177,29,Female,USA,High School,51119.19
10178,40,Male,Germany,Bachelors,84893.97
10179,26,Male,UK,Masters,45038.96
10180,47,Male,Canada,Masters,27417.64
10181,34,Female,Brazil,Bachelors,39702.89
10182,77,Male,Canada,Bachelors,36787.3
10183,33,Male,USA,Bachelors,45784.2
10184,44,Male,Australia,High School,101940.32
10185,46,Female,Japan,Bachelors,43902.55
10186,37,Male,India,High School,57534.25
10187,38,Male,Australia,High School,63526.73
10188,48,Female,Canada,Masters,30518.25
10189,59,Female,Canada,High School,38053.09
10190,29,Female,India,High School,77857.47
10191,55,Female,Brazil,Bachelors,122752.58
10192,78,Male,Australia,High School,25238.28
10193,35,Male,USA,Bachelors,24870.38
10194,23,Male,Germany,High School,59881.87
10195,41,Female,USA,Bachelors,105165.41
10196,35,Male,UK,PhD,39163.16
10197,60,Non-Binary,India,Bachelors,33746.56
10198,40,Male,UK,Bachelors,88010.54
10199,56,Female,USA,Masters,56121.21
10200,27,Female,Germany,Bachelors,54376.34
10201,26,Female,Australia,Bachelors,72852.22
10202,28,Female,India,Bachelors,29503.59
10203,59,Female,India,Bachelors,44225.24
10204,37,Male,Canada,Bachelors,65026.51
10205,84,Male,Germany,Masters,26961.57
10206,56,Male,Japan,High School,20105.04
10207,48,Female,Brazil,High School,32367.28
10208,74,Female,Brazil,High School,21679.53
10209,45,Male,Germany,Masters,49231.49
10210,30,Male,UK,Masters,23399.27
10211,37,Female,India,Bachelors,66859.85
10212,66,Male,Japan,High School,43436.3
10213,37,Male,India,Bachelors,112549.03
10214,57,Male,Germany,Masters,42621.02
10215,55,Male,USA,Masters,57637.68
10216,56,Male,India,High School,35112.93
10217,41,Male,Brazil,Bachelors,37855.6
10218,39,Female,Canada,Bachelors,21842.5
10219,43,Male,USA,Bachelors,45692.39
10220,76,Male,USA,Bachelors,30067.73
10221,50,Male,Australia,High School,40475.95
10222,49,Female,Brazil,PhD,47929.19
10223,29,Female,Brazil,High School,14395.19
10224,64,Male,Germany,Bachelors,20791.83
10225,31,Male,USA,Masters,41578.33
10226,37,Female,Brazil,Masters,48704.11
10227,68,Female,India,Bachelors,19761.18
10228,59,Female,Australia,High School,39753.07
10229,40,Female,UK,Bachelors,42917.31
10230,63,Male,Japan,Bachelors,17933.19
10231,37,Female,UK,PhD,22453.24
10232,57,Male,India,High School,59588.11
10233,71,Male,UK,Bachelors,90494.64
10234,55,Female,Australia,Bachelors,58160.51
10235,28,Female,Brazil,Bachelors,108760.98
10236,32,Female,Brazil,High School,18405.37
10237,81,Female,Australia,Bachelors,73087.41
10238,34,Male,UK,Bachelors,81864.82
10239,28,Male,UK,High School,48629.06
10240,46,Male,UK,Bachelors,29323.3
10241,83,Female,Japan,Masters,42867.12
10242,36,Female,UK,Masters,25846.48
10243,63,Female,UK,Bachelors,50143.34
10244,26,Male,Germany,High School,34114.11
10245,42,Male,UK,High School,145733.95
10246,36,Female,USA,Masters,65296.02
10247,49,Female,Japan,Bachelors,54675.71
10248,35,Male,Japan,Bachelors,44336.14
10249,31,Female,Australia,Masters,39317.01
10250,55,Female,India,Bachelors,47133.56
10251,33,Male,Germany,Masters,83854.35
10252,73,Female,Australia,Masters,61952.29
10253,30,Non-Binary,Brazil,Bachelors,106108.55
10254,74,Male,Australia,High School,30761.8
10255,61,Female,Germany,Bachelors,82726.37
10256,64,Female,Japan,Bachelors,40197.11
10257,31,Female,India,Bachelors,44595.96
10258,60,Female,India,High School,28227.95
10259,78,Female,Australia,Masters,28973.33
10260,42,Male,UK,Bachelors,84325.14
10261,29,Female,UK,Bachelors,55039.38
10262,79,Female,Germany,Bachelors,49652.19
10263,42,Female,Brazil,Masters,34676.99
10264,76,Female,USA,Bachelors,27338.32
10265,75,Female,Canada,Bachelors,53442.97
10266,48,Female,Japan,High School,57530.74
10267,71,Male,USA,Bachelors,43535.17
10268,31,Female,Brazil,Masters,60823.32
10269,29,Male,Australia,PhD,47582.91
10270,72,Male,Australia,Bachelors,153253.22
10271,51,Female,Germany,Bachelors,34533.08
10272,45,Male,Germany,Masters,86456.44
10273,42,Male,Germany,Bachelors,56272.97
10274,65,Male,Australia,PhD,70844.79
10275,34,Female,Australia,Masters,83242.36
10276,32,Female,Germany,Masters,59578.07
10277,48,Female,Canada,High School,76791.07
10278,32,Male,Australia,Bachelors,91179.75
10279,69,Female,Brazil,Bachelors,66701.04
10280,34,Male,India,Bachelors,20353.54
10281,61,Male,UK,Bachelors,66407.07
10282,55,Female,Germany,Masters,52753.72
10283,70,Female,Brazil,Bachelors,72821.13
10284,54,Female,UK,High School,40207.54
10285,50,Male,Japan,Masters,49729.42
10286,50,Male,UK,Bachelors,40925.04
10287,33,Male,USA,Bachelors,41866.98
10288,50,Male,UK,Bachelors,50041.77
10289,52,Male,India,Bachelors,89108.39
10290,32,Female,Brazil,High School,84034.1
10291,39,Female,Brazil,Masters,98979.56
10292,47,Female,Brazil,Bachelors,11700.55
10293,28,Female,Canada,Bachelors,31350.37
10294,43,Male,Canada,Bachelors,44588.13
10295,40,Male,UK,Bachelors,47130.36
10296,41,Female,USA,Bachelors,142607.0
10297,46,Male,Australia,Bachelors,50897.67
10298,65,Non-Binary,Brazil,High School,34948.81
10299,56,Female,Japan,Bachelors,90101.62
10300,67,Male,India,Bachelors,66253.06
10301,49,Male,UK,PhD,44129.48
10302,76,Female,USA,PhD,43784.28
10303,39,Male,Canada,High School,40856.65
10304,70,Female,India,High School,70041.46
10305,69,Female,Canada,High School,65035.23
10306,24,Female,Japan,Bachelors,56322.76
10307,56,Male,Germany,High School,113846.02
10308,46,Female,Australia,High School,50568.45
10309,34,Female,UK,Bachelors,43312.43
10310,75,Female,Japan,Masters,37556.95
10311,29,Male,Brazil,High School,27774.88
10312,25,Male,Japan,Bachelors,32385.45
10313,31,Female,Brazil,Masters,34100.76
10314,50,Female,India,High School,110659.27
10315,45,Male,Australia,Bachelors,76503.75
10316,31,Female,Brazil,Masters,86374.95
10317,38,Male,Australia,Masters,39359.77
10318,37,Male,Brazil,Bachelors,124957.28
10319,55,Male,Canada,Bachelors,41408.51
10320,32,Male,Germany,Bachelors,63413.87
10321,34,Male,Canada,Bachelors,86776.85
10322,49,Female,Germany,Masters,47320.21
10323,54,Male,Australia,High School,70921.14
10324,67,Female,USA,Bachelors,55286.65
10325,29,Male,Brazil,Bachelors,66390.19
10326,48,Male,Brazil,High School,51376.61
10327,21,Female,Germany,High School,111754.03
10328,58,Female,India,Masters,50390.47
10329,48,Male,Australia,Bachelors,42571.41
10330,39,Female,Canada,Bachelors,24948.05
10331,37,Male,USA,Bachelors,59034.02
10332,76,Female,USA,High School,53028.8
10333,68,Female,Germany,Masters,51861.39
10334,69,Male,Canada,Bachelors,104105.67
10335,38,Male,UK,Bachelors,71681.16
10336,51,Female,Japan,Masters,72053.89
10337,75,Male,Japan,High School,19514.39
10338,47,Female,Australia,High School,48411.28
10339,70,Male,Japan,High School,81131.2
10340,53,Male,UK,Bachelors,65377.41
10341,38,Male,India,High School,37913.5
10342,34,Male,UK,Bachelors,54190.12
10343,27,Male,India,Bachelors,24014.53
10344,56,Female,Canada,Bachelors,31018.25
10345,29,Male,Brazil,High School,33048.86
10346,35,Female,Australia,Bachelors,27455.05
10347,47,Male,India,High School,24340.53
10348,61,Male,Australia,Bachelors,34987.21
10349,49,Female,Germany,Bachelors,86459.62
10350,52,Female,Canada,Bachelors,20331.74
10351,37,Female,Canada,Bachelors,55435.06
10352,45,Female,Brazil,Masters,14313.81
10353,60,Male,Japan,Bachelors,31447.1
10354,33,Male,Japan,Masters,47585.05
10355,43,Female,Japan,Bachelors,72356.04
10356,65,Female,India,High School,25743.48
10357,30,Female,Japan,PhD,24127.5
10358,27,Male,Canada,Bachelors,50941.75
10359,46,Male,Japan,Bachelors,80622.12
10360,29,Non-Binary,Brazil,High School,31361.3
10361,41,Male,Brazil,Bachelors,46923.49
10362,24,Female,USA,Masters,72629.09
10363,30,Non-Binary,Canada,Bachelors,52394.46
10364,39,Male,Japan,Bachelors,22359.83
10365,38,Female,Canada,Bachelors,46133.88
10366,32,Male,India,Bachelors,85368.43
10367,37,Male,India,Bachelors,94714.31
10368,49,Female,Japan,Bachelors,21069.89
10369,48,Female,Germany,Masters,62061.52
10370,35,Male,India,High School,68815.83
10371,39,Male,Japan,Bachelors,47824.09
10372,68,Female,UK,Bachelors,48516.8
10373,35,Male,USA,Masters,103984.72
10374,31,Male,Brazil,Bachelors,47835.09
10375,40,Male,USA,Masters,35178.83
10376,57,Female,Brazil,Bachelors,25750.54
10377,24,Female,Canada,PhD,66635.2
10378,83,Male,Australia,Masters,18988.12
10379,51,Female,Japan,High School,33188.49
10380,31,Male,Australia,Bachelors,54171.07
10381,76,Male,Germany,PhD,55483.38
10382,59,Male,Japan,Masters,23295.5
10383,60,Female,Japan,Bachelors,53681.13
10384,39,Male,India,Bachelors,98898.3
10385,64,Male,Brazil,Bachelors,102940.09
10386,41,Female,Australia,Masters,74689.89
10387,74,Female,Brazil,Bachelors,75002.95
10388,46,Female,Brazil,Masters,12665.31
10389,64,Male,Australia,Bachelors,15635.45
10390,30,Male,Germany,Bachelors,71938.6
10391,27,Male,Canada,Bachelors,32625.5
10392,51,Male,Australia,Masters,101197.12
10393,29,Male,Japan,High School,65685.9
10394,37,Male,Japan,Masters,62975.63
10395,79,Male,USA,Bachelors,31443.4
10396,32,Female,Japan,Bachelors,46021.44
10397,65,Male,India,Bachelors,40742.31
10398,34,Male,Germany,Masters,143505.55
10399,50,Male,Canada,Bachelors,40721.07
10400,65,Female,Brazil,Bachelors,26538.46
10401,26,Female,USA,PhD,100413.39
10402,37,Female,Brazil,PhD,29650.22
10403,24,Male,Japan,Bachelors,61146.65
10404,39,Female,India,Bachelors,50925.52
10405,26,Male,Canada,PhD,31600.5
10406,46,Female,India,Bachelors,15500.34
10407,33,Male,Japan,High School,54281.21
10408,50,Female,UK,High School,89091.43
10409,30,Female,Germany,High School,70392.31
10410,25,Female,India,Bachelors,49503.13
10411,62,Male,UK,Bachelors,22039.72
10412,53,Male,USA,High School,74019.38
10413,41,Male,UK,High School,121681.51
10414,50,Male,Canada,Bachelors,63531.38
10415,26,Male,USA,High School,47017.81
10416,61,Male,Brazil,High School,27211.01
10417,35,Female,Brazil,Bachelors,118721.18
10418,44,Female,UK,High School,44328.82
10419,36,Female,USA,PhD,146889.89
10420,27,Female,Canada,Bachelors,32017.86
10421,24,Male,Japan,Bachelors,21081.45
10422,40,Female,Canada,Bachelors,28389.37
10423,36,Male,Canada,High School,15386.26
10424,46,Male,UK,Bachelors,40887.53
10425,37,Female,Brazil,Bachelors,38986.41
10426,30,Female,USA,High School,70201.29
10427,52,Female,Japan,Bachelors,60199.94
10428,79,Male,Japan,Masters,54539.72
10429,27,Male,UK,High School,36422.04
10430,38,Female,India,Bachelors,16239.65
10431,22,Male,Brazil,Masters,66300.28
10432,70,Male,Japan,Masters,44676.26
10433,51,Male,Canada,Masters,34599.51
10434,29,Female,Canada,Bachelors,48624.82
10435,41,Male,Japan,High School,52050.33
10436,58,Female,Japan,Masters,37597.02
10437,42,Female,Australia,Bachelors,32753.98
10438,32,Female,Germany,High School,58891.14
10439,59,Female,USA,Masters,121207.55
10440,77,Male,UK,High School,73829.63
10441,52,Female,USA,Bachelors,36524.66
10442,29,Female,Brazil,Bachelors,18850.02
10443,22,Male,Australia,Masters,36515.69
10444,53,Female,Australia,High School,17618.67
10445,29,Male,Australia,PhD,44372.75
10446,35,Male,UK,Bachelors,42187.69
10447,42,Male,Australia,High School,53772.75
10448,35,Female,UK,High School,74504.36
10449,56,Female,UK,Bachelors,28252.7
10450,70,Male,India,High School,80552.16
10451,64,Male,Germany,High School,63266.49
10452,57,Female,USA,Bachelors,93967.71
10453,38,Female,India,Masters,88164.03
10454,55,Male,Brazil,High School,74654.79
10455,35,Female,India,Bachelors,72879.45
10456,26,Female,India,Bachelors,66733.66
10457,49,Female,Japan,High School,31871.89
10458,31,Female,Germany,Bachelors,40448.33
10459,38,Female,Brazil,High School,39792.93
10460,34,Female,Brazil,High School,40355.61
10461,61,Male,Japan,Bachelors,77717.44
10462,49,Male,Australia,Masters,40049.65
10463,33,Male,Canada,Masters,52308.79
10464,52,Male,Australia,Masters,36208.86
10465,32,Male,Japan,Masters,42181.55
10466,63,Male,Canada,Bachelors,70912.29
10467,66,Female,UK,High School,64005.03
10468,77,Female,Canada,High School,94640.27
10469,33,Female,India,High School,54607.74
10470,62,Female,USA,Masters,61150.03
10471,39,Male,UK,Bachelors,150114.35
10472,63,Female,Japan,Bachelors,66851.57
10473,41,Male,Japan,High School,66452.33
10474,24,Female,Australia,Bachelors,23466.03
10475,34,Male,Australia,Masters,38764.44
10476,42,Female,India,PhD,35116.15
10477,54,Female,Australia,Bachelors,40078.23
10478,31,Male,Japan,Bachelors,86514.09
10479,30,Male,Japan,High School,33013.68
10480,67,Female,Germany,Bachelors,46588.35
10481,68,Female,Canada,Bachelors,54072.75
10482,63,Female,Australia,Bachelors,72452.08
10483,60,Male,USA,Bachelors,24934.76
10484,73,Female,Canada,Bachelors,35051.21
10485,22,Female,USA,Bachelors,33474.65
10486,58,Male,Germany,Bachelors,62807.99
10487,65,Female,Brazil,Bachelors,44869.29
10488,60,Male,India,High School,95206.55
10489,47,Male,India,Bachelors,40372.59
10490,36,Male,Germany,High School,49987.38
10491,25,Female,Japan,Bachelors,85501.07
10492,50,Non-Binary,Germany,Masters,35924.32
10493,46,Non-Binary,Canada,Bachelors,87856.39
10494,49,Male,Australia,Bachelors,72720.6
10495,27,Male,Germany,Bachelors,87510.54
10496,71,Female,India,High School,26826.77
10497,37,Female,Brazil,Masters,40572.38
10498,46,Female,India,Bachelors,36400.01
10499,51,Female,Japan,High School,69719.8
10500,31,Male,Brazil,High School,71628.51
10501,26,Male,UK,Bachelors,24541.19
10502,32,Female,UK,Bachelors,62812.29
10503,48,Female,Japan,Bachelors,48075.3
10504,44,Female,USA,Masters,78416.37
10505,22,Male,Canada,High School,78438.42
10506,27,Female,Germany,High School,72824.98
10507,34,Female,Australia,Bachelors,58980.3
10508,81,Female,Canada,High School,21421.65
10509,28,Female,USA,Bachelors,82964.95
10510,48,Female,USA,Bachelors,56071.2
10511,51,Male,Japan,High School,24066.98
10512,31,Female,USA,Bachelors,73928.48
10513,34,Female,UK,Bachelors,98722.41
10514,48,Male,India,Bachelors,74688.65
10515,60,Female,Australia,Bachelors,40833.52
10516,42,Male,Brazil,Bachelors,58127.51
10517,27,Female,India,Masters,61568.21
10518,76,Male,USA,High School,19822.14
10519,35,Female,India,Masters,20349.89
10520,36,Female,Germany,Masters,31133.5
10521,73,Male,Japan,Bachelors,47464.14
10522,64,Male,UK,Bachelors,29723.85
10523,46,Female,Brazil,High School,41738.84
10524,23,Female,UK,Bachelors,44773.23
10525,40,Male,Australia,High School,95309.66
10526,54,Female,Canada,PhD,61094.07
10527,43,Female,India,Bachelors,71343.78
10528,50,Female,UK,Masters,23924.35
10529,33,Female,USA,Bachelors,52559.81
10530,59,Male,Brazil,Masters,35938.66
10531,40,Male,Brazil,Bachelors,24504.81
10532,23,Female,India,Masters,105299.09
10533,49,Male,Australia,Bachelors,29971.34
10534,40,Female,Brazil,Bachelors,39569.42
10535,27,Female,USA,Bachelors,33749.78
10536,52,Male,UK,Bachelors,143218.85
10537,39,Male,Canada,High School,90025.08
10538,41,Female,Australia,High School,18036.01
10539,60,Female,Brazil,Bachelors,57212.15
10540,73,Male,USA,Bachelors,42662.91
10541,68,Female,UK,Bachelors,18161.68
10542,47,Male,Japan,Bachelors,66439.74
10543,33,Male,Australia,PhD,46785.47
10544,39,Female,Germany,Masters,52040.01
10545,54,Female,Canada,High School,56961.54
10546,36,Female,UK,Bachelors,62690.8
10547,28,Male,Brazil,Bachelors,200429.46
10548,44,Female,Japan,Masters,50011.21
10549,29,Female,Canada,Bachelors,58940.93
10550,25,Female,Canada,Masters,78742.89
10551,32,Female,Germany,Bachelors,26151.12
10552,39,Female,Australia,PhD,85403.14
10553,32,Female,Australia,Masters,54220.57
10554,56,Female,Germany,Bachelors,37891.6
10555,30,Female,USA,Bachelors,60645.93
10556,30,Male,USA,Masters,97299.34
10557,35,Female,Australia,High School,71349.63
10558,72,Female,UK,Bachelors,50766.14
10559,32,Male,Australia,Bachelors,59468.29
10560,45,Female,USA,High School,41196.91
10561,49,Female,Canada,PhD,61734.07
10562,67,Female,Japan,Bachelors,52210.69
10563,43,Female,Brazil,High School,74837.9
10564,43,Female,UK,PhD,81002.89
10565,48,Male,Canada,Masters,45590.27
10566,44,Female,Japan,Bachelors,28305.0
10567,36,Male,USA,High School,38990.34
10568,59,Female,Japan,Bachelors,59694.96
10569,21,Female,USA,Bachelors,74308.54
10570,46,Female,India,Bachelors,49189.06
10571,51,Female,Germany,Masters,44874.33
10572,50,Male,Canada,High School,30893.27
10573,44,Female,UK,Bachelors,119910.88
10574,72,Male,UK,High School,89414.97
10575,35,Female,Australia,High School,33663.14
10576,48,Male,India,High School,52054.99
10577,25,Male,Brazil,PhD,33765.62
10578,32,Male,India,Masters,36882.41
10579,48,Male,UK,Bachelors,41356.56
10580,39,Male,Canada,Masters,81371.68
10581,34,Male,Australia,Masters,46644.25
10582,35,Female,UK,Bachelors,29779.12
10583,60,Female,Canada,Bachelors,49333.35
10584,46,Male,Canada,Masters,54010.76
10585,82,Male,UK,Bachelors,17298.66
10586,54,Male,Brazil,Bachelors,28223.29
10587,21,Male,UK,Masters,33965.65
10588,45,Female,UK,Bachelors,47950.85
10589,32,Male,India,Bachelors,24626.77
10590,43,Female,Japan,Bachelors,47061.01
10591,76,Male,Germany,Masters,31396.16
10592,30,Female,Australia,Bachelors,32858.3
10593,59,Male,Brazil,Masters,45846.27
10594,43,Male,UK,High School,32271.99
10595,28,Male,Australia,Bachelors,47552.05
10596,32,Male,Japan,High School,19559.47
10597,30,Female,USA,Masters,34086.42
10598,68,Female,Japan,Bachelors,51823.19
10599,53,Female,Germany,Masters,26428.03
10600,41,Male,Canada,Masters,74693.03
10601,59,Male,Germany,High School,53579.65
10602,38,Male,USA,High School,91337.39
10603,39,Male,India,High School,115938.12
10604,64,Female,India,High School,197777.43
10605,44,Male,Japan,Bachelors,43641.57
10606,44,Male,Brazil,Masters,38258.06
10607,54,Female,India,Bachelors,19944.12
10608,67,Male,Japan,Bachelors,50368.58
10609,31,Female,Japan,Bachelors,20954.75
10610,33,Female,Japan,Bachelors,43894.3
10611,45,Female,UK,Bachelors,52214.69
10612,35,Male,Japan,Bachelors,119816.73
10613,55,Male,UK,High School,50688.57
10614,58,Female,USA,High School,93616.43
10615,25,Male,India,Bachelors,38258.91
10616,34,Female,USA,Masters,105200.12
10617,40,Male,Germany,High School,80630.99
10618,52,Female,USA,Bachelors,30048.02
10619,38,Female,Japan,Bachelors,51940.32
10620,26,Male,Germany,Bachelors,55358.02
10621,36,Female,Canada,Bachelors,53474.36
10622,39,Male,India,Bachelors,41962.77
10623,43,Male,Germany,Bachelors,127365.33
10624,73,Male,Brazil,Masters,89272.18
10625,33,Male,Canada,Bachelors,34942.34
10626,72,Female,USA,Bachelors,36871.19
10627,38,Female,Australia,High School,99401.77
10628,37,Female,Germany,High School,17837.57
10629,32,Male,Germany,High School,34898.41
10630,48,Male,India,High School,48711.3
10631,62,Female,Brazil,Bachelors,105668.89
10632,34,Male,Germany,Bachelors,62702.37
10633,43,Male,USA,Bachelors,36656.63
10634,30,Female,Brazil,Bachelors,43695.08
10635,37,Female,UK,Bachelors,32000.2
10636,47,Male,Brazil,Bachelors,37047.04
10637,37,Male,Brazil,High School,23247.97
10638,32,Male,Germany,Masters,68210.38
10639,31,Female,UK,Bachelors,23695.73
10640,29,Female,Australia,Masters,33132.51
10641,45,Male,UK,High School,81980.37
10642,48,Male,Australia,Bachelors,37392.17
10643,59,Male,Japan,High School,26665.75
10644,49,Male,Germany,Bachelors,65504.02
10645,54,Female,Japan,Bachelors,23949.02
10646,63,Female,Australia,Bachelors,57632.78
10647,66,Male,Australia,High School,39275.01
10648,33,Female,Germany,Masters,76409.06
10649,40,Male,USA,High School,36164.35
10650,54,Female,Canada,High School,100643.02
