Accident_ID,Severity,State,City,Weather_Condition,Road_Condition,Light_Condition,Hour_Of_Day,Is_Weekend
A-100056,3,AZ,Phoenix,Clear,Dry,Daylight,15,0
A-100057,2,NY,New York,Clear,Dry,Daylight,7,0
A-100058,1,IL,Chicago,Clear,Wet,Daylight,11,0
A-100059,3,CA,Los Angeles,Fog,Dry,Daylight,16,1
A-100060,1,FL,Miami,Rain,Wet,Daylight,10,1
A-100061,2,CA,San Diego,Clear,Dry,Daylight,16,0
A-100062,2,NY,New York,Rain,Wet,Daylight,14,1
A-100063,1,TX,Houston,Rain,Wet,Daylight,15,0
A-100064,2,AZ,Phoenix,Clear,Dry,Daylight,17,0
A-100065,2,NC,Charlotte,Heavy Rain,Wet,Daylight,17,0
A-100066,3,IL,Chicago,Clear,Dry,Daylight,6,0
A-100067,2,TX,Houston,Clear,Wet,Dark - Street Lights,1,1
A-100068,2,FL,Miami,Clear,Dry,Daylight,16,0
A-100069,2,CA,San Diego,Snow,Snow Cover,Daylight,17,1
A-100070,2,FL,Miami,Clear,Dry,Dark - Street Lights,20,1
A-100071,3,IL,Chicago,Rain,Wet,Dark - Street Lights,21,0
A-100072,3,NC,Charlotte,Clear,Dry,Dusk,19,0
A-100073,1,NY,New York,Rain,Wet,Daylight,17,0
A-100074,2,NY,New York,Fog,Dry,Daylight,7,0
A-100075,2,AZ,Phoenix,Clear,Dry,Daylight,16,0
A-100076,3,AZ,Phoenix,Clear,Dry,Dusk,5,0
A-100077,3,AZ,Phoenix,Clear,Dry,Daylight,12,0
A-100078,2,AZ,Phoenix,Snow,Snow Cover,Daylight,13,0
A-100079,2,NY,New York,Clear,Dry,Daylight,11,1
A-100080,3,TX,Houston,Overcast,Dry,Daylight,18,0
A-100081,2,CA,Los Angeles,Snow,Icy,Dawn,5,0
A-100082,4,FL,Miami,Snow,Icy,Daylight,12,0
A-100083,4,AZ,Phoenix,Clear,Dry,Daylight,8,1
A-100084,1,IL,Chicago,Overcast,Dry,Daylight,7,1
A-100085,2,FL,Miami,Clear,Dry,Daylight,7,1
A-100086,4,FL,Miami,Clear,Dry,Daylight,12,1
A-100087,3,CA,San Diego,Clear,Dry,Daylight,17,1
A-100088,2,AZ,Phoenix,Clear,Dry,Daylight,10,0
A-100089,2,CA,San Diego,Rain,Wet,Daylight,16,0
A-100090,1,CA,Los Angeles,Clear,Dry,Daylight,9,0
A-100091,3,AZ,Phoenix,Overcast,Dry,Daylight,17,1
A-100092,3,TX,Houston,Overcast,Dry,Daylight,11,0
A-100093,1,NC,Charlotte,Rain,Wet,Daylight,12,0
A-100094,3,CA,San Diego,Heavy Rain,Wet,Daylight,8,0
A-100095,1,IL,Chicago,Clear,Dry,Dark - Street Lights,2,0
A-100096,2,NY,New York,Clear,Dry,Daylight,14,0
A-100097,1,FL,Miami,Clear,Dry,Daylight,16,0
A-100098,2,FL,Miami,Rain,Wet,Daylight,11,1
A-100099,1,IL,Chicago,Clear,Dry,Daylight,11,0
A-100100,4,NY,New York,Clear,Dry,Daylight,7,0
A-100101,2,TX,Houston,Clear,Dry,Daylight,7,0
A-100102,2,NY,New York,Clear,Dry,Dark - Street Lights,22,0
A-100103,1,TX,Houston,Rain,Wet,Daylight,8,0
A-100104,1,NC,Charlotte,Clear,Dry,Daylight,6,1
A-100105,2,CA,Los Angeles,Clear,Dry,Daylight,8,0
A-100106,2,CA,Los Angeles,Fog,Dry,Daylight,7,0
A-100107,2,AZ,Phoenix,Clear,Dry,Daylight,15,0
A-100108,1,NC,Charlotte,Clear,Dry,Daylight,8,0
A-100109,1,CA,San Diego,Clear,Dry,Dark - Street Lights,21,1
A-100110,1,CA,San Diego,Rain,Wet,Daylight,7,0
A-100111,3,NY,New York,Clear,Dry,Daylight,16,0
A-100112,4,FL,Miami,Rain,Construction Zone,Daylight,11,0
A-100113,2,CA,San Diego,Rain,Wet,Dawn,5,0
A-100114,2,NC,Charlotte,Fog,Dry,Daylight,16,0
A-100115,1,CA,San Diego,Heavy Rain,Wet,Daylight,14,0
A-100116,3,FL,Miami,Rain,Construction Zone,Dark - No Lights,21,0
A-100117,2,NY,New York,Clear,Dry,Daylight,14,0
A-100118,1,NY,New York,Rain,Wet,Daylight,7,0
A-100119,2,IL,Chicago,Clear,Dry,Daylight,11,0
A-100120,3,NC,Charlotte,Snow,Icy,Daylight,8,0
A-100121,4,IL,Chicago,Heavy Rain,Construction Zone,Daylight,8,1
A-100122,1,CA,Los Angeles,Clear,Dry,Daylight,15,0
A-100123,3,NC,Charlotte,Clear,Dry,Daylight,15,0
A-100124,2,NC,Charlotte,Clear,Dry,Daylight,18,0
A-100125,3,TX,Houston,Clear,Dry,Daylight,8,1
A-100126,3,CA,San Diego,Snow,Icy,Daylight,12,1
A-100127,1,NY,New York,Clear,Dry,Daylight,11,0
A-100128,3,FL,Miami,Snow,Snow Cover,Dark - Street Lights,20,0
A-100129,2,AZ,Phoenix,Clear,Dry,Daylight,9,0
A-100130,2,NC,Charlotte,Clear,Dry,Daylight,18,0
A-100131,2,AZ,Phoenix,Clear,Dry,Daylight,12,0
A-100132,3,FL,Miami,Clear,Dry,Daylight,18,0
A-100133,2,AZ,Phoenix,Snow,Snow Cover,Daylight,10,0
A-100134,3,CA,Los Angeles,Clear,Dry,Daylight,6,0
A-100135,3,CA,San Diego,Heavy Rain,Wet,Daylight,13,0
A-100136,2,TX,Houston,Clear,Dry,Dawn,5,0
A-100137,2,IL,Chicago,Clear,Dry,Daylight,18,0
A-100138,3,NC,Charlotte,Clear,Dry,Daylight,18,1
A-100139,3,FL,Miami,Clear,Dry,Daylight,16,0
A-100140,1,NC,Charlotte,Clear,Dry,Daylight,7,0
A-100141,2,IL,Chicago,Rain,Wet,Daylight,10,1
A-100142,2,TX,Houston,Clear,Dry,Daylight,7,0
A-100143,3,TX,Houston,Clear,Dry,Daylight,7,0
A-100144,4,NC,Charlotte,Clear,Dry,Dawn,19,0
A-100145,1,NY,New York,Clear,Wet,Daylight,15,0
A-100146,1,AZ,Phoenix,Clear,Dry,Daylight,18,1
A-100147,2,NY,New York,Clear,Dry,Dark - No Lights,1,0
A-100148,3,CA,Los Angeles,Snow,Snow Cover,Dusk,19,0
A-100149,2,IL,Chicago,Clear,Dry,Daylight,7,1
A-100150,2,TX,Houston,Rain,Wet,Daylight,15,0
A-100151,1,IL,Chicago,Clear,Dry,Daylight,16,1
A-100152,1,TX,Houston,Clear,Dry,Daylight,17,0
A-100153,2,TX,Houston,Clear,Wet,Daylight,8,0
A-100154,1,IL,Chicago,Clear,Dry,Daylight,17,0
A-100155,2,AZ,Phoenix,Clear,Dry,Dark - Street Lights,22,0
A-100156,2,NC,Charlotte,Clear,Dry,Daylight,10,0
A-100157,2,IL,Chicago,Clear,Wet,Daylight,6,1
A-100158,2,FL,Miami,Clear,Dry,Daylight,15,0
A-100159,1,CA,San Diego,Clear,Dry,Daylight,6,0
A-100160,3,TX,Houston,Fog,Dry,Daylight,10,0
A-100161,1,TX,Houston,Snow,Snow Cover,Dawn,19,0
A-100162,4,IL,Chicago,Clear,Dry,Daylight,7,0
A-100163,1,IL,Chicago,Clear,Dry,Daylight,13,0
A-100164,4,CA,San Diego,Clear,Dry,Dark - Street Lights,21,0
A-100165,1,CA,Los Angeles,Clear,Dry,Daylight,17,1
A-100166,2,FL,Miami,Clear,Dry,Daylight,14,0
A-100167,2,CA,Los Angeles,Overcast,Dry,Daylight,8,0
A-100168,1,CA,San Diego,Clear,Dry,Daylight,15,1
A-100169,1,IL,Chicago,Clear,Dry,Dark - Street Lights,0,1
A-100170,3,NC,Charlotte,Clear,Dry,Daylight,17,0
A-100171,2,CA,Los Angeles,Rain,Wet,Daylight,16,0
A-100172,2,CA,Los Angeles,Clear,Dry,Dawn,5,0
A-100173,2,NC,Charlotte,Rain,Wet,Dawn,5,1
A-100174,2,IL,Chicago,Clear,Dry,Daylight,10,0
A-100175,2,CA,San Diego,Heavy Rain,Wet,Daylight,18,0
A-100176,2,NC,Charlotte,Snow,Icy,Dusk,19,0
A-100177,1,IL,Chicago,Clear,Construction Zone,Daylight,15,0
A-100178,3,CA,San Diego,Heavy Rain,Wet,Daylight,6,1
A-100179,2,IL,Chicago,Snow,Snow Cover,Daylight,15,0
A-100180,2,CA,Los Angeles,Clear,Dry,Dark - Street Lights,22,0
A-100181,1,FL,Miami,Rain,Wet,Daylight,18,0
A-100182,2,FL,Miami,Overcast,Wet,Daylight,17,0
A-100183,1,CA,Los Angeles,Rain,Wet,Daylight,15,0
A-100184,1,NY,New York,Clear,Dry,Dark - Street Lights,20,0
A-100185,1,CA,Los Angeles,Clear,Dry,Dusk,5,0
A-100186,1,IL,Chicago,Clear,Dry,Daylight,17,0
A-100187,2,CA,Los Angeles,Rain,Wet,Daylight,15,1
A-100188,2,NY,New York,Clear,Dry,Daylight,7,0
A-100189,1,NC,Charlotte,Clear,Construction Zone,Daylight,13,0
A-100190,1,FL,Miami,Clear,Dry,Daylight,8,1
A-100191,1,CA,Los Angeles,Clear,Dry,Daylight,13,0
A-100192,3,IL,Chicago,Clear,Dry,Dusk,5,0
A-100193,1,AZ,Phoenix,Clear,Dry,Daylight,14,0
A-100194,1,IL,Chicago,Clear,Dry,Daylight,7,0
A-100195,1,AZ,Phoenix,Rain,Wet,Daylight,18,1
A-100196,3,NY,New York,Heavy Rain,Wet,Daylight,16,1
A-100197,2,FL,Miami,Heavy Rain,Wet,Dusk,19,0
A-100198,1,TX,Houston,Clear,Dry,Daylight,8,1
A-100199,3,NC,Charlotte,Rain,Wet,Daylight,12,0
A-100200,2,IL,Chicago,Clear,Dry,Daylight,18,0
A-100201,2,NY,New York,Clear,Dry,Daylight,17,0
A-100202,2,CA,Los Angeles,Clear,Wet,Dark - No Lights,4,0
A-100203,2,AZ,Phoenix,Snow,Snow Cover,Daylight,12,0
A-100204,1,FL,Miami,Clear,Dry,Daylight,9,0
A-100205,4,IL,Chicago,Rain,Wet,Dark - Street Lights,22,1
A-100206,2,TX,Houston,Clear,Dry,Daylight,10,0
A-100207,2,CA,Los Angeles,Clear,Dry,Daylight,17,0
A-100208,1,NY,New York,Overcast,Dry,Daylight,8,0
A-100209,3,CA,San Diego,Clear,Construction Zone,Daylight,14,1
A-100210,2,AZ,Phoenix,Clear,Dry,Daylight,6,0
A-100211,3,IL,Chicago,Snow,Snow Cover,Daylight,17,0
A-100212,1,CA,San Diego,Clear,Dry,Daylight,15,0
A-100213,2,FL,Miami,Clear,Construction Zone,Daylight,9,0
A-100214,4,NY,New York,Heavy Rain,Wet,Daylight,18,1
A-100215,1,CA,Los Angeles,Rain,Wet,Daylight,15,0
A-100216,3,TX,Houston,Snow,Icy,Daylight,17,0
A-100217,2,AZ,Phoenix,Overcast,Dry,Daylight,10,0
A-100218,3,NC,Charlotte,Overcast,Dry,Daylight,7,1
A-100219,1,FL,Miami,Overcast,Dry,Daylight,10,0
A-100220,2,AZ,Phoenix,Clear,Dry,Daylight,13,0
A-100221,3,NY,New York,Clear,Construction Zone,Dark - Street Lights,4,0
A-100222,2,CA,San Diego,Clear,Construction Zone,Daylight,8,0
A-100223,2,AZ,Phoenix,Snow,Snow Cover,Dusk,5,0
A-100224,1,AZ,Phoenix,Overcast,Dry,Daylight,13,1
A-100225,2,CA,San Diego,Snow,Icy,Daylight,18,0
A-100226,1,NC,Charlotte,Heavy Rain,Wet,Daylight,16,1
A-100227,3,CA,San Diego,Clear,Construction Zone,Dark - Street Lights,1,1
A-100228,2,NY,New York,Clear,Dry,Daylight,8,1
A-100229,2,CA,San Diego,Rain,Wet,Daylight,6,0
A-100230,2,FL,Miami,Clear,Dry,Daylight,16,0
A-100231,2,TX,Houston,Overcast,Dry,Daylight,15,1
A-100232,2,CA,Los Angeles,Rain,Construction Zone,Daylight,10,0
A-100233,1,CA,Los Angeles,Clear,Dry,Daylight,9,1
A-100234,3,IL,Chicago,Clear,Dry,Daylight,6,0
A-100235,3,NC,Charlotte,Clear,Dry,Dark - Street Lights,22,0
A-100236,3,CA,Los Angeles,Clear,Dry,Daylight,8,1
A-100237,1,AZ,Phoenix,Clear,Dry,Dark - Street Lights,23,0
A-100238,3,CA,Los Angeles,Clear,Dry,Daylight,18,0
A-100239,1,NC,Charlotte,Overcast,Dry,Dawn,19,0
A-100240,3,NY,New York,Clear,Dry,Daylight,17,0
A-100241,2,NY,New York,Rain,Wet,Daylight,9,1
A-100242,3,AZ,Phoenix,Clear,Dry,Daylight,7,0
A-100243,3,AZ,Phoenix,Fog,Dry,Daylight,8,0
A-100244,3,IL,Chicago,Clear,Dry,Daylight,13,0
A-100245,3,NC,Charlotte,Heavy Rain,Wet,Dark - Street Lights,3,1
A-100246,2,TX,Houston,Clear,Dry,Daylight,15,0
A-100247,2,IL,Chicago,Clear,Dry,Daylight,10,0
A-100248,2,NC,Charlotte,Clear,Dry,Daylight,13,0
A-100249,4,FL,Miami,Fog,Dry,Dark - Street Lights,23,0
A-100250,4,NC,Charlotte,Overcast,Wet,Daylight,7,0
A-100251,1,IL,Chicago,Rain,Wet,Daylight,15,0
A-100252,2,TX,Houston,Rain,Wet,Daylight,16,0
A-100253,2,CA,San Diego,Clear,Dry,Dark - Street Lights,23,0
A-100254,1,NC,Charlotte,Rain,Wet,Daylight,17,0
A-100255,4,NC,Charlotte,Snow,Icy,Daylight,13,0
A-100256,2,CA,San Diego,Clear,Wet,Daylight,12,0
A-100257,4,TX,Houston,Rain,Construction Zone,Daylight,17,1
A-100258,4,TX,Houston,Fog,Dry,Daylight,8,1
A-100259,1,NY,New York,Rain,Wet,Daylight,18,1
A-100260,2,NY,New York,Rain,Wet,Daylight,15,1
A-100261,2,TX,Houston,Rain,Wet,Daylight,15,0
A-100262,3,CA,Los Angeles,Heavy Rain,Wet,Dusk,5,0
A-100263,3,AZ,Phoenix,Fog,Dry,Daylight,15,1
A-100264,1,NY,New York,Rain,Wet,Daylight,12,0
A-100265,1,CA,Los Angeles,Clear,Dry,Daylight,7,0
A-100266,1,IL,Chicago,Overcast,Dry,Daylight,16,0
A-100267,1,CA,San Diego,Clear,Dry,Daylight,9,0
A-100268,4,NY,New York,Clear,Construction Zone,Dark - No Lights,21,0
A-100269,3,IL,Chicago,Overcast,Dry,Daylight,7,1
A-100270,2,NC,Charlotte,Rain,Construction Zone,Dark - Street Lights,1,0
A-100271,2,CA,Los Angeles,Snow,Snow Cover,Daylight,8,0
A-100272,3,CA,Los Angeles,Fog,Dry,Daylight,18,0
A-100273,1,IL,Chicago,Rain,Wet,Dark - Street Lights,4,1
A-100274,1,NC,Charlotte,Overcast,Dry,Daylight,16,1
A-100275,3,CA,San Diego,Clear,Construction Zone,Daylight,10,0
A-100276,2,FL,Miami,Clear,Dry,Daylight,14,0
A-100277,4,NC,Charlotte,Fog,Dry,Daylight,13,1
A-100278,2,IL,Chicago,Heavy Rain,Wet,Daylight,7,0
A-100279,3,NC,Charlotte,Snow,Icy,Daylight,16,0
A-100280,1,AZ,Phoenix,Heavy Rain,Wet,Daylight,14,0
A-100281,1,NC,Charlotte,Overcast,Dry,Daylight,8,0
A-100282,3,CA,Los Angeles,Rain,Wet,Daylight,14,1
A-100283,1,TX,Houston,Rain,Wet,Daylight,17,1
A-100284,2,NC,Charlotte,Rain,Wet,Daylight,9,1
A-100285,1,NC,Charlotte,Clear,Dry,Daylight,18,0
A-100286,3,IL,Chicago,Clear,Construction Zone,Dark - Street Lights,23,0
A-100287,1,IL,Chicago,Rain,Wet,Daylight,15,0
A-100288,4,NC,Charlotte,Rain,Wet,Daylight,7,1
A-100289,2,NY,New York,Rain,Wet,Daylight,17,0
A-100290,2,NY,New York,Rain,Construction Zone,Daylight,8,0
A-100291,1,IL,Chicago,Clear,Dry,Dark - Street Lights,21,0
A-100292,1,NC,Charlotte,Clear,Wet,Daylight,15,0
A-100293,2,NY,New York,Rain,Wet,Daylight,6,0
A-100294,1,FL,Miami,Clear,Dry,Daylight,15,1
A-100295,4,TX,Houston,Fog,Dry,Dark - No Lights,0,0
A-100296,1,NC,Charlotte,Clear,Dry,Daylight,15,0
A-100297,1,CA,San Diego,Heavy Rain,Construction Zone,Daylight,15,1
A-100298,3,TX,Houston,Fog,Dry,Daylight,11,0
A-100299,1,NC,Charlotte,Snow,Icy,Daylight,7,0
A-100300,4,NY,New York,Overcast,Dry,Daylight,14,1
A-100301,1,NC,Charlotte,Rain,Wet,Dusk,19,1
A-100302,1,NC,Charlotte,Clear,Dry,Daylight,15,0
A-100303,3,FL,Miami,Fog,Wet,Daylight,7,0
A-100304,3,CA,San Diego,Overcast,Dry,Daylight,10,1
A-100305,2,CA,Los Angeles,Heavy Rain,Construction Zone,Daylight,8,1
A-100306,2,CA,Los Angeles,Clear,Dry,Daylight,8,0
A-100307,2,TX,Houston,Fog,Dry,Daylight,11,0
A-100308,4,CA,San Diego,Clear,Dry,Daylight,15,0
A-100309,2,NC,Charlotte,Rain,Wet,Daylight,7,0
A-100310,3,NC,Charlotte,Snow,Snow Cover,Daylight,16,0
A-100311,2,CA,San Diego,Clear,Construction Zone,Daylight,13,0
A-100312,1,FL,Miami,Clear,Dry,Daylight,14,1
A-100313,1,FL,Miami,Fog,Dry,Daylight,16,0
A-100314,3,TX,Houston,Clear,Dry,Daylight,13,0
A-100315,1,CA,Los Angeles,Heavy Rain,Wet,Daylight,10,0
A-100316,4,IL,Chicago,Clear,Wet,Daylight,16,0
A-100317,3,NC,Charlotte,Heavy Rain,Wet,Dark - No Lights,2,0
A-100318,2,AZ,Phoenix,Clear,Construction Zone,Daylight,10,0
A-100319,1,CA,San Diego,Rain,Wet,Daylight,16,0
A-100320,3,TX,Houston,Clear,Construction Zone,Dark - No Lights,23,0
A-100321,1,NY,New York,Clear,Dry,Daylight,12,0
A-100322,1,NC,Charlotte,Fog,Dry,Daylight,9,1
A-100323,1,AZ,Phoenix,Fog,Dry,Daylight,15,0
A-100324,1,CA,Los Angeles,Snow,Icy,Daylight,12,0
A-100325,3,NC,Charlotte,Snow,Icy,Daylight,7,1
A-100326,2,NY,New York,Rain,Wet,Daylight,7,0
A-100327,2,IL,Chicago,Overcast,Dry,Daylight,8,0
A-100328,3,NY,New York,Snow,Snow Cover,Dawn,5,0
A-100329,2,CA,Los Angeles,Rain,Wet,Dark - Street Lights,22,0
A-100330,1,TX,Houston,Rain,Wet,Daylight,8,1
A-100331,3,TX,Houston,Rain,Construction Zone,Daylight,17,0
A-100332,2,TX,Houston,Clear,Dry,Daylight,10,1
A-100333,2,IL,Chicago,Clear,Dry,Daylight,6,0
A-100334,3,CA,Los Angeles,Heavy Rain,Wet,Daylight,18,1
A-100335,2,NC,Charlotte,Clear,Construction Zone,Daylight,7,0
A-100336,2,FL,Miami,Overcast,Dry,Dark - Street Lights,21,1
A-100337,2,FL,Miami,Clear,Dry,Daylight,10,1
A-100338,3,IL,Chicago,Fog,Dry,Daylight,8,0
A-100339,1,NC,Charlotte,Clear,Dry,Daylight,16,0
A-100340,2,FL,Miami,Rain,Wet,Daylight,16,1
A-100341,2,NY,New York,Clear,Wet,Daylight,7,0
A-100342,2,IL,Chicago,Overcast,Dry,Daylight,8,0
A-100343,1,TX,Houston,Clear,Dry,Daylight,16,0
A-100344,1,CA,Los Angeles,Clear,Wet,Daylight,13,0
A-100345,1,CA,Los Angeles,Clear,Dry,Daylight,11,0
A-100346,2,NC,Charlotte,Rain,Wet,Daylight,10,0
A-100347,2,NC,Charlotte,Clear,Dry,Dark - Street Lights,0,0
A-100348,1,NY,New York,Rain,Wet,Dark - No Lights,1,0
A-100349,1,CA,San Diego,Rain,Wet,Daylight,13,1
A-100350,1,AZ,Phoenix,Clear,Dry,Dusk,5,0
A-100351,2,CA,San Diego,Heavy Rain,Wet,Daylight,15,0
A-100352,2,NC,Charlotte,Clear,Dry,Dark - Street Lights,4,1
A-100353,2,CA,San Diego,Clear,Construction Zone,Dawn,19,0
A-100354,1,CA,San Diego,Rain,Wet,Daylight,16,0
A-100355,3,IL,Chicago,Clear,Wet,Dark - No Lights,0,1
A-100356,4,NY,New York,Snow,Icy,Daylight,7,1
A-100357,1,IL,Chicago,Snow,Snow Cover,Daylight,10,0
A-100358,4,IL,Chicago,Snow,Icy,Dark - Street Lights,4,0
A-100359,1,AZ,Phoenix,Rain,Wet,Dark - Street Lights,22,0
A-100360,2,AZ,Phoenix,Rain,Wet,Daylight,11,0
A-100361,2,FL,Miami,Clear,Dry,Daylight,16,1
A-100362,1,AZ,Phoenix,Clear,Dry,Daylight,9,1
A-100363,2,NY,New York,Clear,Dry,Daylight,6,1
A-100364,1,CA,San Diego,Clear,Dry,Dark - Street Lights,2,0
A-100365,4,NY,New York,Heavy Rain,Wet,Daylight,11,0
A-100366,1,FL,Miami,Clear,Dry,Daylight,14,1
A-100367,2,NC,Charlotte,Clear,Dry,Daylight,6,1
A-100368,1,IL,Chicago,Rain,Wet,Daylight,8,1
A-100369,1,CA,San Diego,Clear,Wet,Daylight,6,1
A-100370,3,IL,Chicago,Snow,Snow Cover,Daylight,11,0
A-100371,4,NY,New York,Clear,Dry,Daylight,9,0
A-100372,1,IL,Chicago,Clear,Dry,Daylight,8,0
A-100373,2,AZ,Phoenix,Clear,Construction Zone,Daylight,8,0
A-100374,2,TX,Houston,Overcast,Dry,Daylight,16,0
A-100375,2,NC,Charlotte,Clear,Wet,Daylight,17,0
A-100376,2,NC,Charlotte,Clear,Dry,Daylight,6,0
A-100377,2,AZ,Phoenix,Clear,Dry,Dawn,5,0
A-100378,2,IL,Chicago,Rain,Construction Zone,Daylight,16,0
A-100379,4,FL,Miami,Rain,Wet,Daylight,15,0
A-100380,2,AZ,Phoenix,Snow,Icy,Dark - Street Lights,22,0
A-100381,3,FL,Miami,Heavy Rain,Wet,Daylight,12,0
A-100382,4,IL,Chicago,Clear,Construction Zone,Dark - Street Lights,23,0
A-100383,2,TX,Houston,Snow,Icy,Daylight,9,0
A-100384,3,CA,San Diego,Clear,Dry,Daylight,11,0
A-100385,2,CA,San Diego,Clear,Wet,Dark - No Lights,1,0
A-100386,2,TX,Houston,Clear,Dry,Daylight,14,0
A-100387,3,TX,Houston,Clear,Dry,Daylight,7,0
A-100388,3,NC,Charlotte,Heavy Rain,Wet,Daylight,14,0
A-100389,1,CA,San Diego,Rain,Wet,Daylight,14,0
A-100390,2,CA,San Diego,Rain,Wet,Daylight,8,0
A-100391,3,AZ,Phoenix,Snow,Snow Cover,Daylight,14,0
A-100392,1,NY,New York,Rain,Wet,Dark - Street Lights,20,0
A-100393,1,IL,Chicago,Clear,Dry,Daylight,16,0
A-100394,2,TX,Houston,Fog,Construction Zone,Daylight,12,0
A-100395,1,TX,Houston,Clear,Dry,Daylight,12,1
A-100396,2,IL,Chicago,Clear,Dry,Dark - Street Lights,21,0
A-100397,1,AZ,Phoenix,Snow,Icy,Daylight,16,0
A-100398,1,CA,Los Angeles,Clear,Dry,Daylight,17,1
A-100399,2,NC,Charlotte,Clear,Dry,Daylight,14,0
A-100400,1,NY,New York,Clear,Wet,Daylight,17,0
A-100401,2,NC,Charlotte,Clear,Wet,Daylight,14,0
A-100402,1,NY,New York,Clear,Wet,Daylight,18,1
A-100403,2,CA,San Diego,Snow,Icy,Daylight,17,1
A-100404,1,AZ,Phoenix,Clear,Dry,Daylight,7,1
A-100405,2,IL,Chicago,Clear,Construction Zone,Daylight,13,0
A-100406,3,NY,New York,Fog,Wet,Dark - Street Lights,21,0
A-100407,2,AZ,Phoenix,Snow,Icy,Dark - No Lights,20,0
A-100408,2,IL,Chicago,Rain,Wet,Daylight,17,0
A-100409,2,NY,New York,Clear,Dry,Daylight,15,0
A-100410,4,AZ,Phoenix,Fog,Dry,Daylight,13,1
A-100411,4,IL,Chicago,Snow,Icy,Daylight,14,0
A-100412,4,IL,Chicago,Clear,Construction Zone,Daylight,18,0
A-100413,2,NC,Charlotte,Clear,Dry,Daylight,8,0
A-100414,3,NC,Charlotte,Heavy Rain,Wet,Daylight,17,0
