feature_red,feature_green,feature_blue,texture_contrast,aspect_ratio,ear_shape,label
153.0,128.02,156.93,34.3,0.87,0.78,0
139.09,134.87,115.18,48.52,0.91,0.99,0
138.36,152.35,126.85,49.57,1.19,0.89,0
152.85,156.58,123.93,52.09,1.09,0.99,0
126.47,166.02,119.2,30.69,1.12,0.78,0
156.81,116.95,111.08,26.1,1.03,0.61,0
108.32,145.21,135.72,49.25,0.95,0.85,0
139.93,106.83,150.07,53.77,1.07,0.85,0
144.17,89.17,115.06,38.18,0.95,0.82,0
175.95,142.82,108.58,50.73,1.31,0.94,0
141.19,117.06,133.96,48.93,1.23,0.91,0
160.99,119.3,146.35,46.98,1.41,0.78,0
174.72,133.96,106.97,40.16,1.05,0.89,0
150.46,118.53,119.51,66.42,1.36,0.89,0
140.76,132.4,132.27,34.77,1.06,0.68,0
147.98,142.94,110.34,60.74,0.92,0.7,0
144.49,150.94,153.68,40.41,1.26,0.85,0
136.55,147.67,133.05,29.24,1.32,0.99,0
127.49,137.92,129.88,47.61,1.02,0.78,0
139.49,153.45,130.87,41.29,1.22,0.57,0
162.98,95.21,112.75,33.8,0.91,0.97,0
130.65,136.93,119.06,49.77,1.11,0.72,0
159.93,120.12,88.87,40.72,1.33,0.94,0
133.03,123.01,113.57,65.77,1.16,0.89,0
160.61,134.78,114.82,43.04,1.09,0.85,0
154.55,131.04,134.65,44.19,1.11,0.65,0
158.33,136.93,139.96,16.04,1.41,0.84,0
162.16,109.2,132.26,34.47,1.01,1.04,0
136.19,134.35,137.4,49.96,1.12,0.89,0
188.07,128.85,124.02,55.51,1.27,0.97,0
152.77,107.14,152.67,33.54,1.15,0.77,0
138.72,136.58,126.43,49.22,1.34,0.9,0
135.12,149.28,143.79,32.72,1.19,0.92,0
134.05,157.51,117.0,46.26,1.07,0.85,0
118.07,101.2,151.89,36.53,0.95,0.63,0
127.22,103.54,152.84,55.1,1.0,1.08,0
159.64,123.5,70.01,67.91,0.89,0.69,0
160.45,178.8,147.69,50.64,1.19,0.94,0
155.18,135.62,122.08,44.37,0.99,0.82,0
106.14,128.03,100.23,33.96,1.13,0.99,0
158.37,98.59,100.21,54.41,0.95,0.83,0
151.0,110.63,122.11,31.66,1.01,0.88,0
108.14,138.81,119.61,50.52,1.13,0.99,0
142.5,121.41,122.45,50.43,1.11,0.85,0
125.96,116.74,91.95,62.5,0.91,0.78,0
125.63,147.9,114.1,57.48,1.0,0.88,0
123.29,172.9,96.25,48.1,1.2,0.89,0
136.29,127.4,120.88,43.53,1.24,1.07,0
128.85,102.6,118.23,70.8,0.98,1.01,0
173.55,118.93,131.38,61.28,1.04,0.83,0
128.37,109.7,107.01,32.76,1.11,0.77,0
144.68,98.88,126.62,53.34,0.8,0.89,0
164.55,105.81,153.45,49.19,0.99,0.84,0
151.17,131.52,130.78,35.79,1.13,0.71,0
137.78,111.92,105.29,57.36,1.26,0.91,0
118.15,123.67,144.26,46.42,1.45,0.89,0
143.84,123.82,122.67,43.48,1.21,0.95,0
124.28,103.38,83.28,50.08,0.93,0.63,0
147.77,179.86,119.88,53.38,1.11,0.84,0
158.38,124.19,125.35,48.22,1.0,0.95,0
136.5,114.89,130.73,36.02,1.1,0.85,0
161.72,139.49,119.5,53.18,1.31,0.91,0
140.21,103.76,98.7,41.95,1.01,0.83,0
141.13,140.59,118.59,49.87,1.11,0.65,0
121.21,127.12,95.81,51.0,1.33,0.97,0
135.73,159.81,122.97,41.63,1.01,0.82,0
132.24,133.41,123.21,45.03,1.17,0.97,0
158.99,100.3,68.92,54.34,0.89,0.83,0
116.6,93.96,130.83,52.59,1.01,0.59,0
129.08,137.84,90.42,46.83,1.1,0.91,0
142.39,110.54,143.93,43.41,1.1,0.76,0
131.13,112.3,116.54,62.12,0.89,0.69,0
169.42,125.81,106.62,55.4,1.01,1.03,0
153.56,120.24,163.15,38.94,1.21,0.88,0
166.03,161.23,120.64,37.47,1.17,0.78,0
180.27,132.73,112.69,46.85,0.9,0.75,0
164.01,116.86,99.06,50.37,1.28,0.92,0
159.92,114.86,91.56,60.01,1.05,0.82,0
166.56,141.12,129.12,66.65,1.0,0.94,0
141.14,135.37,150.57,50.08,1.18,0.96,0
132.7,113.22,99.1,25.34,1.41,0.74,0
135.57,124.46,126.15,53.16,1.23,0.79,0
136.66,135.65,115.03,61.07,1.17,0.92,0
153.26,153.47,123.62,32.03,1.16,0.78,0
129.43,141.73,144.77,45.21,1.15,1.02,0
144.82,182.03,131.31,27.39,1.21,0.89,0
165.8,143.46,117.23,32.76,1.07,0.76,0
128.39,141.77,153.4,48.95,0.92,0.89,0
163.93,117.8,117.32,45.15,0.98,0.91,0
137.58,138.39,102.25,40.63,1.21,0.81,0
174.54,122.01,124.49,54.33,0.89,0.67,0
109.49,155.25,108.96,70.58,1.02,0.87,0
170.84,170.12,161.23,57.08,1.25,0.91,0
155.57,118.98,103.64,44.97,1.07,0.8,0
153.93,149.11,121.77,59.78,0.93,0.83,0
125.66,92.67,118.35,43.78,1.33,0.91,0
119.52,167.08,144.42,50.82,1.07,0.75,0
132.56,151.77,157.69,60.43,1.03,0.74,0
142.82,94.63,126.46,43.52,1.03,0.69,0
150.27,119.35,96.6,16.28,1.1,1.03,0
173.23,120.86,107.96,49.69,0.95,0.88,0
155.32,154.54,118.0,42.96,0.97,0.77,0
135.47,137.35,138.27,36.97,1.32,0.82,0
139.57,115.06,71.52,53.84,1.21,0.82,0
141.34,140.32,88.75,39.71,1.22,0.72,0
145.87,102.87,129.33,44.64,0.86,0.97,0
125.31,113.79,124.01,56.49,0.95,0.86,0
148.58,143.86,123.53,41.33,0.98,0.86,0
118.56,71.57,128.73,54.04,0.75,0.75,0
152.38,171.15,120.42,37.72,1.07,0.99,0
127.08,114.02,110.35,35.47,1.12,1.01,0
146.46,124.95,114.16,29.37,1.23,0.84,0
136.39,193.86,125.98,37.48,1.04,0.96,0
142.27,101.23,138.38,38.32,1.38,0.96,0
131.05,155.62,121.36,53.53,1.17,0.77,0
127.13,150.6,113.3,40.96,0.96,0.89,0
181.25,108.65,120.48,59.12,1.09,0.9,0
118.75,138.57,116.26,54.86,1.28,1.11,0
151.59,136.52,123.89,41.47,1.15,0.82,0
143.37,156.35,99.87,56.4,1.3,0.84,0
97.56,117.84,145.94,44.77,0.95,0.8,0
156.81,140.93,115.22,41.33,1.04,0.76,0
172.31,123.55,144.34,60.21,1.25,0.81,0
148.07,129.52,101.93,48.24,0.92,0.97,0
130.71,134.02,125.67,42.41,1.19,0.8,0
157.43,103.08,122.53,64.39,0.95,0.78,0
150.28,133.59,127.01,49.89,1.2,0.96,0
148.2,125.17,133.45,64.0,1.08,0.75,0
162.14,127.59,76.55,53.47,1.02,0.84,0
146.64,133.81,134.19,40.65,1.18,0.82,0
154.78,142.31,101.29,55.86,1.02,0.93,0
147.35,166.76,115.53,41.51,1.1,0.82,0
156.0,97.67,98.93,34.32,1.24,1.02,0
137.91,126.62,121.4,56.62,0.96,0.87,0
159.5,140.02,123.79,55.01,0.69,0.92,0
126.92,93.39,130.22,58.74,1.08,0.95,0
172.25,156.3,152.8,52.42,1.11,0.69,0
135.08,113.14,163.42,43.24,1.12,0.91,0
140.87,163.9,107.55,46.95,0.99,0.72,0
127.76,129.26,111.41,38.08,0.89,0.84,0
109.91,145.2,121.65,30.42,1.05,0.77,0
146.38,156.81,82.5,46.15,1.08,0.92,0
144.26,114.96,113.62,37.04,1.26,0.85,0
178.02,128.79,105.83,29.86,0.83,0.69,0
145.34,140.17,88.38,53.95,1.03,0.86,0
172.24,147.94,114.63,36.09,0.78,0.78,0
135.78,110.26,117.37,45.77,1.07,0.78,0
143.37,138.84,98.19,59.11,1.09,0.85,0
154.16,134.66,139.06,47.87,1.01,0.89,0
117.13,132.17,119.34,42.92,1.08,0.66,0
129.03,131.86,123.2,34.72,1.29,0.76,0
159.39,138.54,107.08,62.75,0.92,0.94,0
160.01,116.59,147.85,42.5,1.14,0.88,0
137.31,146.22,135.87,27.51,1.3,0.68,0
160.65,152.53,98.18,40.89,0.93,0.83,0
133.84,145.59,146.21,58.96,1.02,0.83,0
106.33,113.88,139.3,61.16,0.91,0.79,0
139.47,135.6,103.81,49.24,1.03,0.85,0
150.93,130.13,111.27,43.9,1.09,0.81,0
134.82,161.97,131.22,42.05,1.2,0.82,0
163.46,137.39,117.85,49.48,0.86,0.74,0
116.12,132.86,154.65,67.31,1.2,0.9,0
103.98,119.15,104.24,38.79,1.07,0.8,0
100.41,144.96,98.55,47.39,1.41,0.76,0
89.39,124.28,142.02,64.58,0.92,0.9,0
130.69,127.88,172.89,29.97,1.14,0.9,0
161.72,131.96,126.16,41.08,1.14,0.82,0
152.43,122.61,127.54,44.71,1.27,0.84,0
104.54,155.24,101.89,38.46,1.01,0.99,0
97.29,192.75,141.12,47.23,1.09,0.88,0
150.42,142.9,131.11,45.9,1.07,0.83,0
136.1,152.68,131.87,15.6,1.2,0.87,0
139.63,122.23,142.48,54.48,0.98,0.89,0
120.57,102.41,107.47,53.62,1.24,0.9,0
154.5,140.32,107.17,49.32,1.22,0.93,0
163.78,144.17,127.03,55.7,1.1,0.76,0
136.74,115.1,106.5,43.55,0.98,0.82,0
102.13,134.27,120.02,36.83,1.2,0.94,0
107.85,114.75,104.62,35.6,1.22,0.83,0
134.71,89.92,132.71,32.61,1.11,0.88,0
167.21,103.82,59.61,46.84,1.37,0.97,0
144.19,120.17,136.14,35.26,1.17,0.9,0
161.2,185.19,127.85,39.91,1.1,0.67,0
126.11,121.81,109.52,46.52,0.98,0.96,0
140.0,129.81,113.44,46.55,1.22,0.76,0
126.84,123.93,93.08,36.81,1.03,0.94,0
145.25,133.87,137.02,43.63,1.16,0.84,0
145.31,118.34,71.22,43.66,1.31,0.94,0
159.31,154.72,121.77,46.97,1.01,0.82,0
152.32,154.08,117.21,40.5,1.1,0.91,0
111.12,84.08,108.99,32.79,1.02,0.84,0
130.94,159.05,126.53,48.0,1.19,0.74,0
160.78,128.48,133.41,34.28,0.87,0.93,0
147.53,111.96,102.61,56.25,0.92,1.01,0
121.99,142.77,113.43,51.03,1.02,0.83,0
140.82,109.96,134.82,39.87,1.07,0.75,0
88.75,126.18,168.25,52.85,1.1,0.82,0
140.45,140.94,96.38,56.14,1.21,0.92,0
148.77,130.39,133.46,50.92,1.05,0.79,0
142.04,160.98,95.22,30.32,1.12,0.86,0
143.47,134.88,115.54,59.9,0.86,0.77,0
137.93,97.14,116.48,61.61,1.1,0.87,0
114.8,117.67,112.5,41.82,1.29,0.91,0
117.77,134.93,129.96,56.4,1.34,0.75,0
123.78,104.85,115.32,49.66,1.25,0.84,0
133.6,133.04,103.3,65.9,0.86,0.87,0
180.47,130.14,116.2,41.43,1.07,0.99,0
95.76,160.67,91.52,42.33,1.04,0.91,0
108.04,139.24,160.49,31.37,1.13,0.78,0
148.52,130.38,107.17,49.88,1.37,0.83,0
154.4,104.13,100.87,49.72,1.32,0.89,0
133.74,129.99,94.99,51.05,1.23,0.8,0
130.6,135.32,111.27,44.34,1.41,0.83,0
132.83,117.05,134.88,43.19,1.0,0.98,0
168.39,117.99,82.67,55.08,1.0,0.93,0
100.6,147.85,95.78,52.31,1.1,0.75,0
131.86,143.73,122.12,50.84,1.4,0.69,0
172.34,132.09,102.02,31.7,1.07,0.94,0
137.45,160.22,90.98,44.88,0.91,0.89,0
157.74,121.58,67.92,46.99,1.17,0.89,0
164.72,108.58,133.6,56.93,0.83,0.88,0
129.92,128.37,126.95,40.13,1.0,0.85,0
118.26,108.28,133.59,33.51,1.2,0.9,0
105.48,116.45,143.88,35.19,1.03,0.9,0
155.67,124.97,108.05,59.22,1.36,0.95,0
141.71,113.83,103.39,50.23,1.16,0.99,0
153.01,99.94,141.04,35.02,1.04,0.88,0
179.91,192.2,132.13,43.17,1.18,0.94,0
133.59,165.9,124.6,49.98,1.2,0.89,0
156.78,117.65,108.83,34.0,1.17,0.93,0
149.16,163.49,119.89,51.69,0.94,0.81,0
153.91,146.98,114.12,44.28,0.87,0.81,0
157.81,141.5,130.01,45.5,1.1,0.78,0
153.98,138.42,129.84,39.74,0.78,0.96,0
130.42,112.74,133.87,41.08,1.26,0.91,0
153.67,102.68,144.24,47.61,1.04,0.86,0
104.48,138.17,99.41,31.47,0.87,0.96,0
127.41,160.67,109.28,27.93,0.93,0.97,0
136.88,119.03,123.2,50.02,1.27,0.99,0
132.8,103.48,111.73,47.6,0.96,0.75,0
146.88,129.03,120.66,37.42,1.07,0.76,0
157.8,150.7,83.08,35.7,0.88,0.78,0
138.33,101.01,101.56,34.96,1.13,0.86,0
125.57,133.54,109.07,42.28,1.35,0.98,0
114.01,146.59,136.23,33.52,1.22,1.0,0
117.55,111.65,140.35,47.71,1.18,0.88,0
147.81,103.47,140.95,56.7,1.07,0.85,0
109.38,140.29,131.44,44.38,1.27,0.82,0
151.29,109.61,119.53,43.26,1.13,0.81,0
137.37,146.52,111.26,28.93,1.36,0.99,0
114.15,143.79,109.94,47.63,1.14,0.83,0
124.32,116.19,101.68,36.68,1.09,0.78,0
153.64,159.74,108.4,47.39,1.17,0.9,0
141.52,144.85,129.64,32.62,1.23,0.94,0
124.73,130.76,133.67,42.91,1.26,1.09,0
124.28,102.38,126.08,52.22,1.07,1.0,0
113.23,143.86,107.88,62.19,1.4,0.77,0
129.01,147.19,112.26,44.55,1.1,0.66,0
139.72,116.21,110.14,59.44,0.91,0.93,0
134.42,124.4,135.81,48.4,1.19,0.95,0
133.37,117.76,98.3,36.75,1.54,0.97,0
112.98,103.55,129.64,50.47,1.18,0.82,0
137.49,136.56,121.72,22.81,1.07,0.76,0
143.5,189.71,127.35,41.86,1.24,0.9,0
148.4,142.14,161.13,33.69,1.17,0.76,0
151.11,111.63,111.65,42.05,1.25,0.94,0
115.09,131.1,105.81,32.41,1.07,0.82,0
188.53,138.66,92.45,39.35,1.25,1.06,0
108.28,92.4,157.42,48.9,0.97,0.9,0
87.29,130.07,126.56,54.24,0.95,0.86,0
121.49,135.11,102.09,40.92,0.95,0.92,0
157.17,125.31,120.76,30.51,1.06,0.84,0
192.42,107.76,149.28,54.97,1.14,1.03,0
147.44,137.78,118.94,57.24,1.26,0.79,0
113.62,125.94,104.0,44.36,1.29,0.8,0
139.14,131.16,136.97,22.53,1.01,0.87,0
164.0,120.16,82.47,51.2,1.0,0.73,0
127.51,126.31,107.91,22.94,1.23,0.98,0
153.03,107.25,115.97,44.93,1.19,0.92,0
125.32,131.64,129.15,59.56,1.21,0.93,0
141.68,158.21,128.2,36.39,1.31,0.92,0
131.14,120.41,125.93,49.63,1.13,0.88,0
174.0,151.43,123.81,54.41,0.95,0.89,0
176.19,125.64,103.05,38.48,0.94,0.77,0
132.59,101.89,120.31,54.02,0.96,1.0,0
150.22,150.61,106.84,53.55,0.94,0.94,0
143.44,141.07,96.49,36.05,1.19,0.76,0
149.26,102.66,136.96,32.67,1.18,0.91,0
126.06,141.64,125.21,39.61,0.95,0.65,0
146.99,98.7,121.91,42.37,1.2,0.82,0
133.41,144.64,126.7,48.16,1.17,0.7,0
155.14,142.25,99.67,42.56,1.09,0.84,0
146.68,158.63,141.64,31.88,1.19,0.98,0
147.74,151.82,160.25,55.24,1.14,0.95,0
142.9,130.48,112.97,60.63,0.98,1.0,0
150.0,102.01,127.35,24.0,1.19,0.94,0
128.15,132.47,159.08,39.94,0.94,1.0,0
179.25,130.07,140.23,58.41,0.99,0.8,0
164.62,163.7,131.26,36.2,1.4,0.8,0
133.3,136.85,151.08,53.54,1.16,0.9,0
140.87,141.16,69.41,42.03,1.14,0.73,0
147.73,125.91,155.11,60.73,1.03,0.83,0
138.52,120.97,123.9,37.42,0.93,0.91,0
152.59,113.91,137.91,38.68,1.14,0.93,0
139.33,139.09,109.67,43.04,1.07,0.78,0
136.46,99.03,110.18,42.15,1.06,0.83,0
138.76,139.59,137.49,38.5,0.92,0.75,0
130.26,122.96,104.6,32.04,1.03,0.87,0
151.9,118.85,111.74,35.73,1.1,0.77,0
151.46,94.28,112.81,48.01,1.13,1.12,0
147.0,109.92,118.09,27.24,1.09,0.77,0
158.31,119.01,117.66,38.64,1.36,0.82,0
176.65,146.28,129.64,48.69,1.16,0.66,0
134.42,146.9,119.02,30.95,1.09,1.02,0
164.94,128.76,139.03,41.33,0.84,0.76,0
171.26,124.52,115.13,42.0,1.39,1.01,0
184.38,126.82,125.91,29.83,1.32,0.73,0
144.34,108.05,108.22,36.63,1.01,0.8,0
129.03,146.67,97.9,47.21,1.28,0.8,0
125.64,125.39,143.59,46.94,1.02,0.9,0
117.95,143.63,128.17,41.92,0.97,0.76,0
150.7,154.58,107.25,49.58,0.79,0.79,0
139.38,111.81,101.27,38.32,1.14,0.83,0
95.24,87.59,107.86,49.58,0.69,0.8,0
129.48,157.77,112.3,48.83,1.12,0.64,0
155.36,134.31,130.17,84.26,0.79,1.02,0
134.25,135.75,119.09,40.76,1.01,0.88,0
109.66,145.01,111.68,33.7,1.03,0.98,0
129.29,137.17,105.38,52.58,1.2,1.03,0
136.49,143.37,121.96,57.96,0.99,0.92,0
136.11,128.72,121.84,47.52,1.08,0.87,0
171.56,149.71,137.38,40.44,0.97,0.95,0
157.52,159.45,107.92,42.7,0.85,0.81,0
159.93,120.67,132.81,43.09,1.15,0.74,0
141.7,70.18,116.26,28.7,1.28,0.93,0
149.33,160.42,101.02,62.47,1.24,0.83,0
162.71,107.87,103.51,38.91,1.02,0.74,0
164.46,124.82,127.05,39.3,0.83,0.88,0
101.75,128.63,92.63,64.87,1.24,0.86,0
165.27,113.07,130.87,47.0,1.14,0.98,0
154.65,135.77,86.9,35.4,1.08,0.86,0
117.4,178.23,150.33,51.02,1.11,0.83,0
120.96,131.55,125.16,32.58,1.15,0.83,0
62.3,83.49,84.66,98.32,1.51,0.15,1
122.15,66.32,122.07,62.93,1.38,0.55,1
77.82,70.07,80.41,85.58,1.1,-0.07,1
98.72,118.79,125.01,63.05,1.32,0.52,1
63.26,95.29,99.76,76.74,1.3,0.36,1
47.79,88.54,106.34,55.27,1.41,0.42,1
101.44,109.26,70.93,66.9,1.52,0.37,1
95.34,110.61,112.87,39.25,1.63,0.3,1
120.64,134.93,60.71,59.36,1.34,0.23,1
153.37,83.58,81.11,73.07,1.16,0.29,1
117.94,96.68,92.67,62.06,1.1,0.4,1
153.87,105.46,100.63,80.39,1.15,0.61,1
115.06,145.8,76.67,97.27,1.56,0.43,1
115.85,98.79,125.01,72.11,1.01,0.18,1
105.35,112.75,93.59,88.28,1.01,0.37,1
64.55,123.99,92.64,76.29,1.23,0.54,1
136.04,119.59,91.76,78.7,1.26,0.48,1
151.24,131.77,76.76,75.42,1.14,0.44,1
121.27,58.25,65.96,65.75,1.34,0.17,1
119.72,111.29,90.14,58.66,1.61,0.6,1
97.91,89.7,107.28,64.63,1.37,0.46,1
62.27,137.96,96.82,63.83,1.38,0.34,1
66.72,142.37,96.03,76.65,1.59,0.2,1
121.84,98.31,116.17,38.09,1.38,0.26,1
120.81,116.75,77.31,59.32,1.38,0.22,1
131.05,95.77,22.33,64.38,1.19,0.11,1
79.06,107.74,128.22,74.7,1.28,0.42,1
98.52,87.63,66.14,43.72,1.32,0.37,1
107.58,94.6,71.36,79.12,1.14,0.47,1
84.94,86.19,58.33,62.48,1.6,0.43,1
134.46,118.05,67.41,65.04,1.24,0.55,1
80.08,127.34,117.32,97.44,1.32,0.46,1
167.04,89.56,56.62,41.8,1.54,0.07,1
100.69,115.93,99.63,76.38,1.44,0.54,1
86.19,88.08,75.68,82.45,1.58,0.42,1
