red_ratio,green_ratio,blue_ratio,texture_smoothness,density_est,food_label,calories_100g
0.616,0.271,0.18,0.428,0.849,Pizza,264.3
0.641,0.241,0.138,0.336,0.739,Pizza,262.2
0.607,0.314,0.128,0.365,0.797,Pizza,268.2
0.695,0.279,0.142,0.33,0.739,Pizza,263.3
0.536,0.202,0.18,0.382,0.895,Pizza,266.5
0.639,0.219,0.23,0.447,0.875,Pizza,266.7
0.594,0.266,0.128,0.315,0.888,Pizza,265.8
0.664,0.26,0.111,0.489,0.711,Pizza,262.5
0.613,0.246,0.249,0.336,0.853,Pizza,267.1
0.658,0.234,0.178,0.435,0.789,Pizza,269.6
0.698,0.246,0.193,0.483,0.848,Pizza,270.5
0.542,0.232,0.199,0.347,0.735,Pizza,261.8
0.501,0.268,0.189,0.387,0.746,Pizza,268.1
0.641,0.268,0.203,0.577,0.858,Pizza,267.3
0.632,0.34,0.164,0.463,0.83,Pizza,270.1
0.665,0.211,0.125,0.392,0.85,Pizza,266.7
0.558,0.219,0.203,0.51,0.889,Pizza,266.0
0.599,0.212,0.106,0.43,0.764,Pizza,263.5
0.518,0.344,0.225,0.473,0.89,Pizza,271.0
0.634,0.24,0.106,0.527,0.794,Pizza,267.5
0.683,0.227,0.188,0.49,0.798,Pizza,261.9
0.57,0.25,0.201,0.557,0.766,Pizza,267.9
0.558,0.342,0.222,0.465,0.791,Pizza,264.1
0.565,0.346,0.161,0.454,0.898,Pizza,267.6
0.609,0.262,0.128,0.409,0.851,Pizza,267.3
0.652,0.231,0.182,0.578,0.788,Pizza,268.0
0.524,0.346,0.191,0.372,0.732,Pizza,266.5
0.61,0.214,0.249,0.574,0.792,Pizza,262.2
0.666,0.275,0.207,0.453,0.755,Pizza,269.3
0.696,0.237,0.183,0.415,0.884,Pizza,266.1
0.676,0.33,0.141,0.537,0.783,Pizza,270.3
0.602,0.323,0.142,0.39,0.817,Pizza,271.0
0.598,0.222,0.181,0.404,0.81,Pizza,266.4
0.591,0.248,0.128,0.509,0.814,Pizza,263.3
0.655,0.207,0.212,0.512,0.862,Pizza,264.9
0.633,0.323,0.247,0.449,0.707,Pizza,266.0
0.618,0.33,0.231,0.432,0.805,Pizza,265.6
0.644,0.261,0.198,0.346,0.794,Pizza,270.7
0.568,0.304,0.197,0.556,0.87,Pizza,269.6
0.576,0.247,0.208,0.528,0.874,Pizza,261.4
0.514,0.295,0.238,0.599,0.849,Pizza,265.3
0.52,0.295,0.231,0.433,0.839,Pizza,270.0
0.509,0.319,0.144,0.412,0.729,Pizza,266.3
0.613,0.319,0.125,0.324,0.874,Pizza,267.2
0.548,0.337,0.121,0.438,0.751,Pizza,263.6
0.502,0.321,0.235,0.503,0.732,Pizza,265.4
0.569,0.288,0.196,0.427,0.75,Pizza,269.5
0.54,0.258,0.172,0.371,0.814,Pizza,266.7
0.699,0.244,0.247,0.497,0.755,Pizza,266.7
0.637,0.312,0.107,0.482,0.799,Pizza,270.0
0.557,0.32,0.191,0.406,0.827,Pizza,267.2
0.636,0.308,0.199,0.552,0.826,Pizza,270.0
0.629,0.246,0.166,0.474,0.846,Pizza,261.9
0.559,0.312,0.126,0.34,0.808,Pizza,270.7
0.606,0.337,0.225,0.377,0.865,Pizza,265.8
0.661,0.312,0.151,0.335,0.893,Pizza,262.4
0.693,0.329,0.209,0.594,0.893,Pizza,269.0
0.573,0.319,0.102,0.461,0.791,Pizza,267.7
0.634,0.288,0.223,0.582,0.722,Pizza,263.3
0.505,0.333,0.184,0.575,0.744,Pizza,261.6
0.665,0.336,0.145,0.422,0.728,Pizza,270.5
0.561,0.274,0.115,0.566,0.727,Pizza,265.5
0.634,0.311,0.242,0.426,0.848,Pizza,262.5
0.583,0.215,0.173,0.422,0.89,Pizza,261.3
0.574,0.267,0.243,0.557,0.72,Pizza,267.9
0.609,0.347,0.154,0.419,0.738,Pizza,262.2
0.67,0.268,0.199,0.493,0.819,Pizza,261.2
0.657,0.237,0.119,0.469,0.714,Pizza,268.7
0.541,0.232,0.23,0.399,0.73,Pizza,270.0
0.501,0.329,0.122,0.339,0.75,Pizza,262.7
0.632,0.204,0.102,0.537,0.748,Pizza,264.2
0.535,0.208,0.211,0.458,0.849,Pizza,265.8
0.656,0.277,0.116,0.451,0.889,Pizza,261.4
0.657,0.33,0.178,0.437,0.893,Pizza,261.6
0.596,0.26,0.203,0.447,0.882,Pizza,261.7
0.516,0.291,0.11,0.383,0.827,Pizza,266.5
0.565,0.349,0.18,0.436,0.821,Pizza,262.0
0.64,0.328,0.198,0.531,0.844,Pizza,263.2
0.59,0.234,0.151,0.436,0.783,Pizza,262.0
0.585,0.3,0.156,0.346,0.885,Pizza,261.7
0.666,0.214,0.114,0.522,0.862,Pizza,266.6
0.617,0.284,0.149,0.337,0.771,Pizza,267.7
0.65,0.33,0.208,0.591,0.82,Pizza,264.5
0.616,0.232,0.199,0.367,0.722,Pizza,269.5
0.574,0.314,0.186,0.542,0.869,Pizza,270.7
0.664,0.292,0.196,0.308,0.886,Pizza,269.3
0.553,0.227,0.205,0.393,0.768,Pizza,261.1
0.674,0.285,0.16,0.343,0.827,Pizza,261.3
0.649,0.232,0.163,0.402,0.774,Pizza,268.2
0.655,0.285,0.113,0.316,0.731,Pizza,267.2
0.635,0.241,0.199,0.446,0.788,Pizza,263.7
0.651,0.217,0.164,0.385,0.836,Pizza,265.9
0.633,0.207,0.159,0.48,0.702,Pizza,264.0
0.542,0.221,0.138,0.398,0.702,Pizza,268.5
0.535,0.257,0.206,0.45,0.867,Pizza,269.1
0.514,0.329,0.106,0.306,0.884,Pizza,269.6
0.615,0.286,0.206,0.425,0.723,Pizza,261.2
0.565,0.32,0.193,0.55,0.884,Pizza,261.9
0.277,0.611,0.188,0.257,0.379,Salad,43.1
0.201,0.633,0.125,0.253,0.323,Salad,45.1
0.286,0.637,0.209,0.346,0.463,Salad,42.4
0.172,0.599,0.19,0.328,0.431,Salad,41.8
0.266,0.674,0.213,0.328,0.39,Salad,49.2
0.235,0.709,0.194,0.359,0.425,Salad,41.5
0.16,0.661,0.145,0.182,0.311,Salad,45.1
0.197,0.663,0.109,0.35,0.315,Salad,48.6
0.278,0.704,0.176,0.239,0.411,Salad,47.9
0.284,0.662,0.221,0.296,0.364,Salad,44.8
0.173,0.565,0.116,0.37,0.369,Salad,47.1
0.226,0.593,0.137,0.231,0.388,Salad,45.2
0.174,0.643,0.142,0.223,0.368,Salad,46.0
0.268,0.712,0.11,0.128,0.436,Salad,42.8
0.259,0.714,0.236,0.362,0.367,Salad,45.8
0.171,0.637,0.245,0.31,0.378,Salad,46.0
0.291,0.627,0.157,0.337,0.463,Salad,46.7
0.274,0.735,0.203,0.258,0.429,Salad,44.2
0.204,0.641,0.127,0.164,0.49,Salad,44.9
0.184,0.584,0.112,0.353,0.32,Salad,47.7
0.275,0.771,0.106,0.201,0.453,Salad,41.3
0.207,0.591,0.225,0.331,0.462,Salad,41.7
0.216,0.653,0.201,0.171,0.389,Salad,42.8
0.262,0.662,0.18,0.193,0.462,Salad,44.7
0.275,0.642,0.242,0.395,0.392,Salad,42.8
0.207,0.682,0.245,0.345,0.46,Salad,41.4
0.188,0.71,0.231,0.266,0.321,Salad,48.5
0.278,0.621,0.214,0.182,0.481,Salad,41.5
0.216,0.787,0.133,0.235,0.37,Salad,40.3
0.158,0.676,0.135,0.398,0.375,Salad,40.3
0.29,0.76,0.197,0.337,0.328,Salad,42.9
0.274,0.724,0.121,0.312,0.39,Salad,40.1
0.162,0.614,0.225,0.265,0.445,Salad,45.3
0.167,0.622,0.145,0.114,0.384,Salad,47.9
0.219,0.578,0.236,0.279,0.303,Salad,45.2
0.186,0.586,0.164,0.284,0.348,Salad,44.2
0.25,0.571,0.246,0.12,0.405,Salad,45.1
0.298,0.689,0.159,0.241,0.427,Salad,49.8
0.188,0.554,0.218,0.203,0.447,Salad,46.3
0.266,0.734,0.15,0.113,0.409,Salad,48.1
0.176,0.745,0.17,0.309,0.426,Salad,48.1
0.159,0.744,0.169,0.188,0.309,Salad,42.0
0.156,0.783,0.177,0.397,0.409,Salad,42.5
0.263,0.598,0.154,0.334,0.473,Salad,43.3
0.169,0.642,0.233,0.323,0.479,Salad,43.9
0.296,0.674,0.175,0.377,0.404,Salad,48.0
0.259,0.57,0.19,0.347,0.409,Salad,43.2
0.162,0.715,0.146,0.281,0.385,Salad,46.9
0.203,0.561,0.231,0.206,0.5,Salad,42.7
0.297,0.787,0.111,0.291,0.373,Salad,48.0
0.252,0.788,0.121,0.282,0.456,Salad,40.3
0.16,0.745,0.155,0.215,0.413,Salad,46.1
0.252,0.787,0.156,0.329,0.415,Salad,45.3
0.21,0.712,0.137,0.134,0.447,Salad,45.0
0.208,0.69,0.139,0.178,0.389,Salad,50.0
0.193,0.779,0.174,0.137,0.471,Salad,44.5
0.285,0.661,0.113,0.305,0.469,Salad,43.2
0.202,0.566,0.181,0.367,0.47,Salad,47.1
0.289,0.709,0.219,0.253,0.324,Salad,42.0
0.171,0.748,0.104,0.266,0.374,Salad,48.0
0.233,0.703,0.113,0.193,0.5,Salad,47.2
0.229,0.742,0.224,0.122,0.494,Salad,46.4
0.217,0.72,0.152,0.363,0.456,Salad,46.4
0.177,0.792,0.165,0.373,0.311,Salad,41.2
0.173,0.591,0.148,0.313,0.369,Salad,49.4
0.284,0.761,0.138,0.291,0.41,Salad,41.3
0.195,0.683,0.175,0.151,0.488,Salad,41.5
0.249,0.73,0.191,0.353,0.413,Salad,48.3
0.154,0.561,0.196,0.273,0.43,Salad,47.7
0.212,0.71,0.175,0.288,0.358,Salad,49.6
0.222,0.751,0.203,0.189,0.315,Salad,40.6
0.216,0.671,0.131,0.282,0.363,Salad,47.2
0.26,0.765,0.246,0.139,0.374,Salad,45.6
0.198,0.667,0.14,0.174,0.319,Salad,42.9
0.208,0.704,0.137,0.36,0.332,Salad,43.3
0.237,0.628,0.214,0.249,0.403,Salad,45.0
0.196,0.556,0.242,0.252,0.493,Salad,42.2
0.203,0.563,0.174,0.365,0.431,Salad,44.7
0.231,0.762,0.165,0.365,0.446,Salad,47.6
0.205,0.65,0.186,0.158,0.411,Salad,40.7
0.226,0.741,0.142,0.397,0.436,Salad,41.2
0.296,0.648,0.219,0.202,0.488,Salad,47.5
0.18,0.677,0.175,0.114,0.327,Salad,43.3
0.221,0.664,0.191,0.255,0.366,Salad,46.1
0.174,0.798,0.211,0.19,0.367,Salad,48.3
0.23,0.727,0.145,0.345,0.374,Salad,46.7
0.297,0.696,0.22,0.318,0.438,Salad,40.3
0.221,0.792,0.217,0.333,0.416,Salad,47.2
0.238,0.593,0.194,0.286,0.468,Salad,41.5
0.252,0.558,0.242,0.133,0.304,Salad,43.1
0.173,0.723,0.162,0.332,0.484,Salad,48.7
0.26,0.566,0.121,0.162,0.365,Salad,46.6
0.229,0.628,0.126,0.374,0.368,Salad,43.5
0.266,0.73,0.196,0.308,0.422,Salad,41.9
0.187,0.69,0.134,0.392,0.36,Salad,42.9
0.181,0.726,0.148,0.205,0.487,Salad,48.0
0.191,0.58,0.201,0.214,0.496,Salad,48.2
0.293,0.751,0.144,0.186,0.443,Salad,43.5
0.216,0.614,0.172,0.161,0.408,Salad,49.3
0.254,0.584,0.192,0.276,0.348,Salad,46.7
0.23,0.709,0.108,0.224,0.443,Salad,41.0
0.266,0.551,0.183,0.379,0.381,Salad,49.4
0.282,0.669,0.13,0.389,0.364,Salad,46.5
0.286,0.572,0.186,0.261,0.445,Salad,49.4
0.287,0.594,0.232,0.153,0.484,Salad,50.0
0.21,0.674,0.24,0.389,0.485,Salad,48.8
0.151,0.692,0.116,0.395,0.357,Salad,49.9
0.231,0.673,0.241,0.355,0.394,Salad,41.9
0.167,0.591,0.169,0.177,0.337,Salad,47.4
0.269,0.692,0.214,0.153,0.471,Salad,49.0
0.274,0.679,0.113,0.301,0.337,Salad,41.4
0.199,0.612,0.139,0.171,0.451,Salad,49.5
0.195,0.731,0.102,0.296,0.439,Salad,40.6
0.168,0.627,0.161,0.251,0.479,Salad,47.0
0.197,0.579,0.237,0.189,0.423,Salad,42.2
0.17,0.588,0.212,0.282,0.383,Salad,45.5
0.221,0.684,0.2,0.166,0.349,Salad,47.5
0.281,0.57,0.167,0.311,0.316,Salad,45.6
0.159,0.687,0.176,0.272,0.33,Salad,43.3
0.228,0.579,0.131,0.275,0.318,Salad,45.1
0.271,0.663,0.177,0.237,0.312,Salad,44.6
0.271,0.731,0.159,0.345,0.449,Salad,45.8
0.157,0.636,0.11,0.398,0.487,Salad,40.7
0.29,0.558,0.161,0.331,0.453,Salad,49.8
0.247,0.655,0.249,0.215,0.474,Salad,49.1
0.206,0.721,0.199,0.262,0.431,Salad,43.5
0.177,0.684,0.179,0.318,0.345,Salad,40.0
0.153,0.625,0.201,0.263,0.406,Salad,48.2
0.187,0.637,0.141,0.381,0.445,Salad,41.1
0.271,0.655,0.215,0.365,0.303,Salad,42.1
0.165,0.558,0.19,0.311,0.31,Salad,47.4
0.21,0.609,0.133,0.359,0.311,Salad,45.0
0.193,0.754,0.21,0.196,0.42,Salad,46.7
0.198,0.625,0.121,0.298,0.344,Salad,43.0
0.159,0.787,0.232,0.373,0.425,Salad,44.3
0.224,0.793,0.241,0.301,0.457,Salad,43.2
0.212,0.587,0.156,0.326,0.395,Salad,48.5
0.195,0.727,0.221,0.374,0.412,Salad,49.7
0.234,0.584,0.136,0.161,0.429,Salad,49.2
0.277,0.573,0.209,0.157,0.354,Salad,46.7
0.24,0.768,0.128,0.329,0.445,Salad,45.6
0.222,0.767,0.15,0.387,0.303,Salad,49.4
0.294,0.579,0.25,0.244,0.349,Salad,46.0
0.181,0.779,0.183,0.333,0.376,Salad,45.3
0.204,0.615,0.177,0.249,0.32,Salad,49.8
0.22,0.76,0.237,0.211,0.383,Salad,45.6
0.183,0.586,0.139,0.38,0.416,Salad,44.2
0.173,0.632,0.157,0.35,0.4,Salad,46.5
0.253,0.614,0.223,0.39,0.428,Salad,44.9
0.175,0.749,0.125,0.316,0.398,Salad,49.2
0.231,0.71,0.109,0.11,0.469,Salad,49.5
0.25,0.741,0.162,0.353,0.346,Salad,47.1
0.151,0.676,0.156,0.285,0.433,Salad,46.2
0.222,0.672,0.101,0.265,0.302,Salad,45.3
0.191,0.794,0.103,0.344,0.435,Salad,48.1
0.286,0.577,0.114,0.145,0.338,Salad,45.3
0.272,0.617,0.16,0.212,0.381,Salad,45.7
0.299,0.606,0.203,0.354,0.431,Salad,48.6
0.264,0.573,0.157,0.266,0.311,Salad,40.1
0.176,0.675,0.165,0.335,0.413,Salad,48.6
0.164,0.682,0.106,0.163,0.474,Salad,48.9
0.221,0.562,0.111,0.378,0.48,Salad,45.6
0.155,0.782,0.147,0.388,0.417,Salad,47.5
0.257,0.65,0.112,0.149,0.348,Salad,48.3
0.208,0.774,0.15,0.327,0.328,Salad,49.9
0.259,0.675,0.246,0.116,0.387,Salad,48.4
0.201,0.742,0.243,0.219,0.455,Salad,40.3
0.191,0.798,0.174,0.207,0.488,Salad,44.3
0.252,0.715,0.113,0.286,0.46,Salad,47.1
0.162,0.589,0.207,0.29,0.448,Salad,43.2
0.166,0.551,0.146,0.208,0.354,Salad,41.3
0.178,0.662,0.183,0.222,0.305,Salad,43.5
0.164,0.7,0.149,0.216,0.358,Salad,43.9
0.163,0.775,0.236,0.393,0.414,Salad,41.7
0.207,0.585,0.145,0.248,0.313,Salad,44.3
0.213,0.671,0.112,0.176,0.349,Salad,46.3
0.239,0.599,0.116,0.191,0.49,Salad,43.3
0.243,0.751,0.149,0.2,0.463,Salad,48.6
0.296,0.584,0.148,0.384,0.34,Salad,43.1
0.295,0.792,0.144,0.308,0.398,Salad,45.8
0.186,0.644,0.222,0.218,0.323,Salad,45.6
0.239,0.686,0.202,0.265,0.491,Salad,44.6
0.256,0.66,0.144,0.308,0.464,Salad,48.0
0.211,0.675,0.195,0.173,0.432,Salad,47.2
0.268,0.568,0.249,0.244,0.38,Salad,45.1
0.288,0.723,0.182,0.337,0.372,Salad,49.0
0.231,0.71,0.113,0.331,0.432,Salad,43.6
0.247,0.561,0.248,0.303,0.38,Salad,47.5
0.295,0.658,0.102,0.178,0.402,Salad,45.2
0.237,0.694,0.167,0.217,0.454,Salad,45.9
0.225,0.636,0.104,0.131,0.383,Salad,49.6
0.167,0.785,0.121,0.194,0.391,Salad,42.1
0.222,0.669,0.166,0.309,0.364,Salad,43.0
0.272,0.579,0.227,0.294,0.435,Salad,41.6
0.298,0.611,0.126,0.148,0.412,Salad,49.6
0.185,0.651,0.128,0.292,0.386,Salad,40.3
0.242,0.599,0.189,0.217,0.441,Salad,42.1
0.263,0.752,0.109,0.131,0.474,Salad,41.9
0.199,0.664,0.139,0.359,0.406,Salad,46.4
0.24,0.703,0.188,0.204,0.469,Salad,46.2
0.563,0.356,0.195,0.584,0.817,Burger,291.3
0.424,0.296,0.177,0.608,0.902,Burger,294.2
0.428,0.308,0.178,0.591,0.939,Burger,296.5
0.6,0.333,0.223,0.442,0.863,Burger,294.5
0.411,0.304,0.151,0.441,0.963,Burger,299.6
0.501,0.324,0.253,0.525,0.968,Burger,294.9
0.417,0.255,0.264,0.488,0.855,Burger,295.4
0.434,0.319,0.261,0.63,0.91,Burger,291.1
0.423,0.366,0.273,0.51,0.965,Burger,290.4
0.544,0.332,0.298,0.431,0.966,Burger,297.5
0.46,0.4,0.217,0.505,0.963,Burger,294.4
0.599,0.366,0.186,0.643,0.918,Burger,293.5
0.542,0.345,0.175,0.442,0.841,Burger,292.1
0.412,0.303,0.192,0.562,0.865,Burger,297.0
0.458,0.29,0.279,0.696,0.936,Burger,291.0
0.593,0.368,0.288,0.698,0.973,Burger,291.3
0.573,0.287,0.257,0.649,0.952,Burger,296.8
0.498,0.337,0.19,0.524,0.89,Burger,296.3
0.576,0.264,0.227,0.483,0.987,Burger,293.7
0.59,0.299,0.15,0.632,0.947,Burger,297.3
0.492,0.35,0.204,0.419,0.907,Burger,292.2
0.486,0.282,0.19,0.649,0.868,Burger,295.8
0.513,0.323,0.202,0.605,0.81,Burger,291.0
0.557,0.319,0.169,0.657,0.888,Burger,290.0
0.592,0.28,0.253,0.44,0.93,Burger,291.6
0.587,0.291,0.248,0.475,0.874,Burger,299.0
0.433,0.309,0.196,0.61,0.847,Burger,296.6
0.541,0.25,0.222,0.44,0.845,Burger,296.8
0.402,0.354,0.273,0.696,0.884,Burger,291.3
0.414,0.307,0.26,0.431,0.863,Burger,298.8
0.427,0.366,0.263,0.44,0.999,Burger,291.4
0.506,0.251,0.248,0.532,0.944,Burger,296.3
0.43,0.312,0.253,0.658,0.817,Burger,291.0
0.55,0.338,0.208,0.689,0.863,Burger,291.4
0.455,0.263,0.233,0.58,0.922,Burger,297.8
0.538,0.377,0.249,0.49,0.904,Burger,295.1
0.55,0.294,0.158,0.669,0.991,Burger,294.9
0.423,0.325,0.239,0.558,0.996,Burger,299.9
0.587,0.27,0.279,0.571,0.873,Burger,296.8
0.553,0.393,0.266,0.405,0.814,Burger,292.6
0.408,0.259,0.268,0.552,0.926,Burger,295.0
0.483,0.355,0.162,0.561,0.923,Burger,292.8
0.462,0.327,0.18,0.642,0.907,Burger,293.9
0.527,0.375,0.252,0.42,0.94,Burger,297.3
0.569,0.259,0.163,0.53,0.891,Burger,296.1
0.462,0.361,0.261,0.436,0.942,Burger,297.0
0.433,0.393,0.228,0.635,0.944,Burger,291.7
0.425,0.367,0.19,0.666,0.954,Burger,290.3
0.561,0.291,0.16,0.614,0.915,Burger,290.8
0.491,0.304,0.225,0.57,0.874,Burger,292.6
0.421,0.336,0.258,0.469,0.902,Burger,290.4
0.573,0.287,0.221,0.515,0.83,Burger,299.3
0.571,0.333,0.287,0.622,0.884,Burger,293.2
0.483,0.358,0.191,0.423,0.875,Burger,295.0
0.58,0.277,0.271,0.694,0.991,Burger,290.7
0.493,0.292,0.277,0.498,0.911,Burger,290.1
0.44,0.335,0.196,0.587,0.893,Burger,295.9
0.499,0.366,0.179,0.67,0.952,Burger,292.5
0.401,0.312,0.185,0.504,0.968,Burger,298.8
0.59,0.25,0.249,0.655,0.945,Burger,291.0
0.506,0.286,0.224,0.418,0.999,Burger,297.1
0.419,0.388,0.285,0.556,0.94,Burger,293.7
0.595,0.263,0.164,0.44,0.964,Burger,290.7
0.514,0.315,0.295,0.471,0.852,Burger,293.2
0.56,0.355,0.26,0.495,0.854,Burger,290.7
0.441,0.367,0.238,0.447,0.833,Burger,294.7
0.481,0.33,0.295,0.462,0.862,Burger,292.7
0.424,0.274,0.253,0.648,0.939,Burger,290.4
0.567,0.299,0.164,0.474,0.871,Burger,295.1
0.535,0.289,0.299,0.409,0.881,Burger,294.5
0.55,0.287,0.219,0.641,0.828,Burger,290.1
0.566,0.397,0.17,0.647,0.874,Burger,296.3
0.529,0.337,0.189,0.644,0.804,Burger,290.6
0.58,0.317,0.169,0.672,0.966,Burger,293.3
0.409,0.319,0.175,0.572,0.964,Burger,293.9
0.406,0.352,0.176,0.464,0.837,Burger,292.8
0.577,0.255,0.243,0.474,0.859,Burger,294.1
0.51,0.259,0.192,0.441,0.84,Burger,298.8
0.505,0.345,0.27,0.638,0.998,Burger,297.8
0.472,0.332,0.223,0.674,0.9,Burger,293.9
0.436,0.298,0.183,0.669,0.956,Burger,290.6
0.598,0.329,0.265,0.7,0.995,Burger,291.0
0.531,0.29,0.272,0.675,0.811,Burger,300.0
0.444,0.377,0.27,0.506,0.968,Burger,298.5
0.435,0.339,0.271,0.609,0.983,Burger,290.3
0.54,0.392,0.235,0.569,0.838,Burger,299.9
0.576,0.324,0.196,0.547,0.818,Burger,292.3
0.444,0.329,0.15,0.675,0.84,Burger,291.3
0.543,0.388,0.277,0.497,0.804,Burger,295.9
