square_feet,bedrooms,bathrooms,age_years,garage_spaces,price
4099,4,3,50,2,1014835.11
1758,6,3,37,3,653871.73
2429,5,4,22,2,771952.08
2825,4,4,20,1,842261.25
1578,5,4,14,3,606145.67
3650,4,4,24,1,951005.54
751,2,3,6,3,366454.59
4329,4,1,46,1,937151.99
3281,2,1,30,2,724103.35
3437,4,1,21,3,878822.02
3167,6,4,34,0,895491.28
1561,6,3,14,0,573175.25
1003,6,1,28,1,409752.97
4300,1,1,20,0,863285.37
2135,4,2,15,3,646207.42
3846,2,2,11,0,877817.28
2166,5,2,31,1,606811.68
3212,3,4,16,0,873529.11
2505,3,2,4,3,729730.27
3006,3,4,44,2,794864.16
1837,2,4,30,0,529553.06
2942,3,3,44,2,715545.19
3999,6,4,17,0,1066399.62
3409,6,1,38,3,893857.73
4298,3,2,38,2,947146.15
1378,5,3,43,1,504720.99
4300,6,1,19,3,1003577.28
2094,6,2,5,2,669582.81
2301,2,2,8,2,617985.77
4341,3,2,16,3,1071739.75
1808,6,3,7,3,707375.29
1176,2,4,35,2,427305.53
2216,1,3,34,0,546677.03
3355,6,3,37,3,956139.71
4451,3,1,43,1,944134.33
3137,5,3,39,1,840778.66
3202,4,3,41,3,810849.26
785,1,3,31,0,276423.12
4234,5,2,24,3,1031017.28
4488,6,4,37,1,1184851.09
3282,1,4,39,3,856388.6
1745,1,3,13,3,529281.58
1567,3,1,43,2,430199.45
3241,3,1,25,2,736023.32
1100,4,1,42,1,358103.58
3045,1,1,50,2,626828.15
1115,5,2,4,1,465461.36
3930,2,3,49,1,913888.78
3041,1,3,9,1,749788.23
3870,2,1,42,0,771074.01
2067,2,3,1,1,587089.01
1119,6,4,33,0,519880.42
2550,4,3,32,0,685046.29
1507,5,1,46,2,461649.87
727,1,4,25,3,371278.16
2608,6,4,4,0,803134.44
1207,1,2,17,2,373394.44
3046,5,3,29,3,819491.46
3474,1,2,27,3,831348.54
2294,3,4,25,3,720563.68
1880,4,3,42,2,575079.29
1225,6,4,4,0,580464.77
981,4,1,47,2,350687.81
2878,1,3,42,0,656125.26
4178,6,4,46,0,1107273.93
3059,3,3,6,1,775965.15
2575,2,1,22,2,591291.41
1741,5,2,27,0,540512.79
3294,6,3,1,1,907145.18
3722,3,3,22,0,863745.96
1186,5,4,4,1,557733.42
725,1,2,24,3,293956.04
1244,3,3,46,2,446980.69
2924,5,1,3,1,736222.99
3130,1,1,17,3,725206.75
2589,5,4,26,2,770216.3
2698,1,3,27,0,632711.9
3379,5,4,33,2,888215.4
2218,5,1,0,1,622713.58
1465,2,3,18,2,466016.09
2637,6,4,11,1,819706.47
3482,2,3,4,3,921544.24
773,4,1,29,0,303822.25
2958,4,4,45,3,810797.02
2259,1,3,10,3,651863.01
4367,3,1,27,0,911482.38
3012,4,1,25,2,760464.13
1507,3,2,4,0,470430.35
1394,3,3,46,1,435883.02
1199,3,2,11,1,429508.0
3284,1,2,49,3,736077.07
2909,5,4,43,2,861854.5
3169,3,2,28,0,745341.34
3186,3,3,37,0,763535.37
903,3,4,28,0,380799.06
4006,3,1,41,0,861707.68
2676,4,4,37,0,736936.98
3917,5,2,20,3,990780.45
853,4,1,21,0,317749.48
1306,1,2,45,3,396150.12
2746,5,2,23,2,786981.36
2186,4,3,43,0,625389.5
3251,3,1,21,0,740502.45
2183,3,3,46,1,583762.45
2986,6,2,22,2,864642.2
3460,6,4,8,0,952019.92
2142,6,3,8,0,701770.1
2334,5,3,1,2,726434.81
4495,2,3,49,3,991274.07
1163,2,1,18,0,328807.65
2810,6,1,42,2,762094.17
3131,2,4,9,1,797154.74
3437,5,2,46,3,830916.81
2092,6,2,28,2,669911.74
3810,4,2,34,1,881920.21
3912,4,2,23,3,957436.99
1754,4,4,10,1,636092.46
1166,3,1,41,3,385408.82
2871,1,1,18,0,635836.01
1717,4,2,27,0,527799.81
1509,4,3,1,3,552144.81
2656,3,2,24,0,649334.76
715,3,1,45,2,276092.01
1163,1,3,30,1,383839.67
2521,4,1,5,0,629632.7
4020,2,4,7,2,978924.97
1099,1,2,26,3,346283.59
4027,4,1,40,1,916598.32
1793,4,1,39,2,486935.68
2306,2,1,33,2,528145.47
2754,5,1,24,3,702108.28
2184,3,3,47,0,569385.17
876,3,2,46,0,310055.54
3611,3,2,2,2,894733.15
3932,6,2,49,3,1030914.34
2560,6,2,8,0,749857.71
4465,4,1,18,1,958603.76
1417,1,3,19,3,487057.17
2824,4,3,2,1,773141.91
4131,1,3,17,0,951489.3
2389,4,4,24,2,767896.76
2632,6,4,23,2,854294.81
3578,4,1,27,1,833302.24
1915,1,1,20,2,461174.98
3068,6,4,10,3,926616.81
773,6,3,39,3,436145.55
3841,1,1,42,3,804042.33
3881,6,2,1,1,1036714.17
3377,4,1,8,0,779020.8
3242,3,3,24,0,809387.78
3381,4,3,23,3,921506.96
2950,2,3,25,2,761978.27
1622,1,1,47,1,368634.75
2185,5,1,16,2,637777.87
1478,5,3,44,3,529270.83
1155,1,4,11,3,483372.69
3919,6,3,42,2,1030770.52
2852,5,3,19,1,816760.92
4398,6,2,50,2,1054552.53
1097,2,2,15,3,380998.97
2869,5,3,29,1,799819.72
953,1,3,25,3,372259.09
3750,4,1,8,2,911948.37
2443,4,3,8,1,731430.56
1128,4,1,7,1,392439.5
1263,3,2,22,2,447208.16
1626,2,3,8,2,532231.33
982,5,2,37,1,384207.79
3157,6,3,36,0,873354.95
716,1,1,41,2,226634.13
3741,5,4,39,0,960096.6
3168,5,3,41,2,845435.63
3896,6,4,19,3,1036714.69
845,2,4,26,3,408666.68
1993,5,2,20,2,634218.48
4125,3,4,8,2,1050095.7
1034,3,2,29,0,343316.86
1615,2,1,3,2,480670.5
4139,5,4,15,1,1111498.98
4424,5,3,12,1,1098849.38
2708,4,4,19,3,774405.65
4471,4,4,15,1,1123420.66
799,1,3,31,3,328424.39
633,1,4,8,2,360524.77
3728,4,3,2,3,942966.7
2901,2,3,35,2,698566.25
2665,4,3,39,0,675185.95
996,4,3,50,2,411626.83
2097,2,2,38,3,557349.34
785,1,2,45,2,274317.33
2727,4,2,38,1,681957.64
3111,3,2,25,2,777756.81
2677,5,4,45,2,784270.94
668,3,3,43,0,316471.96
2990,3,1,38,3,695842.87
3285,5,2,46,0,804186.19
1298,5,4,9,1,533129.33
4483,6,1,12,0,1043764.31
2315,2,4,44,1,624824.52
3774,5,4,47,0,976478.37
2724,2,3,42,3,705332.42
1885,2,4,34,2,580599.25
3368,6,3,39,3,897775.05
1609,3,3,14,2,555531.87
3487,2,4,20,3,892395.13
4424,6,3,18,0,1109935.97
2824,4,4,22,1,784254.42
1778,6,1,22,3,591615.84
3661,4,2,12,2,952415.11
3451,3,2,6,1,819569.67
3343,5,2,40,1,793291.4
2292,3,4,6,1,662340.05
2854,2,4,41,3,762067.54
1416,3,3,18,0,489547.72
966,6,2,34,0,424766.05
1317,4,2,2,3,520822.86
1363,6,3,2,0,543570.71
3068,1,3,18,3,808688.59
2825,5,4,8,3,853193.11
3912,1,3,10,3,950610.18
3543,2,1,47,2,786271.25
2925,6,2,11,3,870487.79
2710,3,1,25,0,611448.66
1175,4,3,15,0,443505.68
1564,4,3,21,2,553668.25
2946,1,3,41,2,719415.8
854,6,1,29,2,374980.55
3410,5,3,44,0,869952.13
4452,3,3,39,1,993120.0
1147,4,2,29,2,423798.28
2849,4,2,48,1,717169.46
3040,1,4,33,2,735406.73
2910,1,1,35,1,625867.32
1213,2,3,33,3,418118.92
1441,6,4,5,3,665513.7
2457,2,4,29,0,663624.12
3355,3,1,25,2,805379.71
3654,2,1,2,3,840319.14
861,5,1,4,3,390310.25
2274,2,2,49,3,569647.78
4250,4,4,24,3,1046594.41
3310,5,2,41,2,806185.74
2800,4,2,46,1,721163.85
3697,1,3,29,3,876936.46
3972,2,2,29,2,868980.23
1372,6,1,2,3,537527.25
4434,1,2,13,0,911787.56
737,4,1,15,0,300380.27
1559,5,2,48,0,458692.11
1784,2,3,36,2,508110.6
4189,2,2,26,2,922544.81
2880,5,2,40,3,779127.31
792,3,4,50,2,389009.56
2272,2,3,24,1,627078.05
2539,2,2,19,1,651237.45
4346,1,4,26,1,991620.55
1644,2,3,41,0,479359.87
4069,3,1,34,1,847187.87
2144,6,1,4,1,661393.7
3006,6,2,30,1,834856.71
1963,3,1,13,1,546701.09
1080,6,4,15,1,531251.21
1580,5,3,49,2,537013.97
2785,6,3,19,2,815811.64
4215,4,4,6,3,1136552.37
1911,2,3,20,3,553207.62
4139,2,2,1,2,969656.98
2992,5,4,18,1,835734.16
1542,4,2,31,2,485983.17
3965,4,4,29,1,1027088.93
2042,2,2,46,3,520585.36
4242,5,1,33,0,987556.81
904,6,1,48,0,341620.69
4051,6,2,4,1,979094.49
2671,4,3,3,3,803126.98
664,1,4,0,0,338833.85
1725,5,3,1,3,662609.29
4326,2,1,6,1,918680.51
3138,5,3,22,2,889616.33
923,3,4,29,1,436346.49
1525,3,1,41,0,376952.62
2153,4,4,3,0,698593.91
938,4,4,41,2,447256.21
4114,1,1,14,1,904172.26
3435,5,4,17,0,969524.99
3403,3,1,11,2,767299.85
1448,5,2,48,3,521735.76
1825,2,2,36,3,518443.6
2814,3,4,48,1,764573.72
3423,6,1,32,2,821479.36
2390,2,1,21,3,624942.21
1936,1,3,50,3,522668.41
2057,5,4,27,1,690330.92
3306,4,1,49,2,790694.97
3520,1,1,17,1,746730.4
3810,6,2,47,3,945787.86
1036,1,1,19,3,319323.29
1704,1,2,5,1,466001.28
2881,5,4,6,0,806280.77
2870,1,3,24,0,667950.87
2188,1,2,36,1,531245.71
1294,2,3,19,2,451279.48
859,2,4,17,3,415034.21
3805,1,3,16,1,899158.08
2630,5,2,29,0,671352.73
627,4,3,39,3,380421.35
1949,4,3,27,1,586227.74
3070,6,2,30,2,805131.03
2231,3,3,47,3,660866.52
3802,2,3,24,2,938357.39
2209,3,1,36,1,545449.55
2834,2,1,46,3,677843.06
1458,4,3,44,0,486982.94
3859,4,4,8,2,997889.84
3297,2,4,50,3,799373.43
3049,4,4,34,3,862010.92
3838,3,1,6,1,891664.75
2054,2,1,36,3,540914.33
1958,4,1,0,0,534027.44
2691,6,2,28,2,755915.09
3763,6,2,22,0,938135.9
1810,4,1,7,1,518465.26
2005,4,2,33,3,587278.77
999,4,4,20,0,441810.61
3918,6,1,1,2,1003258.75
3373,2,2,33,1,773399.0
1955,5,4,29,1,676433.83
3179,2,2,40,3,747230.27
3620,5,2,28,3,915805.08
3486,2,2,17,0,800655.37
3874,5,2,23,2,934885.23
1066,3,4,33,2,456999.0
3103,4,1,22,2,789006.09
3128,2,3,39,0,749562.45
1882,1,2,19,0,455461.37
3440,2,4,26,1,866634.82
2332,2,4,40,1,641925.73
2605,3,2,11,2,717449.37
3137,1,3,0,3,776073.5
3939,4,4,26,3,1023803.72
4040,4,4,10,0,1032105.89
3859,2,3,2,2,920471.02
1782,2,4,36,3,574311.7
1063,5,1,17,2,418005.08
3699,1,4,34,1,916297.64
1019,6,2,19,0,433524.76
2027,1,4,7,1,579286.48
3621,5,3,45,3,909457.71
1170,2,2,3,2,414182.71
3044,5,2,20,2,796988.78
1695,5,1,8,3,582383.12
1735,6,2,44,1,539327.77
3513,3,2,48,3,831427.64
2965,6,3,40,3,839908.09
909,6,1,25,2,411014.77
4193,3,4,31,2,1041975.15
4159,6,1,46,3,1007621.05
3456,3,1,50,3,762227.71
2359,2,4,17,2,708539.86
1983,5,2,36,3,631346.9
4262,6,1,2,0,1033953.81
4027,4,1,7,1,931095.87
602,4,2,44,1,304788.71
1836,2,3,5,2,554465.64
2123,6,2,3,3,712999.49
3573,6,2,27,0,916909.41
604,2,4,4,1,365330.64
2727,6,4,0,0,861013.08
3946,1,4,44,1,905186.94
1537,4,1,46,0,397711.79
2105,3,2,24,1,578703.69
3373,2,1,33,0,727341.42
1272,4,3,46,1,455885.14
1220,4,4,13,0,519933.61
1173,1,4,22,3,442246.44
1172,2,3,41,0,363236.2
3061,5,3,49,0,814880.98
3296,3,2,33,1,799495.77
1810,6,1,50,1,524581.68
1061,2,4,40,0,389383.32
649,3,3,8,3,399373.12
2928,4,3,34,1,791133.02
3755,1,1,37,0,723309.93
1483,1,1,50,3,369599.17
3174,6,4,27,3,900546.98
2797,5,2,17,0,727939.24
2694,2,2,34,2,650404.61
3198,6,1,19,3,868349.56
4067,2,1,15,0,906311.92
1075,4,1,19,1,361763.2
3499,2,1,10,3,852250.09
2742,5,3,10,2,775227.84
3799,3,1,49,0,790749.64
2358,3,1,16,0,576807.7
2692,3,1,31,1,627407.32
1644,1,1,14,0,379222.8
4134,1,2,2,3,939435.26
4369,2,2,2,3,992741.73
1616,4,3,17,0,537376.87
1089,5,1,11,1,425842.23
788,4,1,29,2,334896.45
1872,3,1,35,3,484259.89
1421,3,3,47,1,449856.34
3023,4,2,46,1,713229.93
4419,4,1,14,2,1029522.82
3440,1,3,0,3,891463.38
3578,3,1,13,1,814744.23
845,2,3,5,0,370293.93
4275,5,4,44,2,1078575.69
3663,1,1,32,1,774741.78
2215,1,1,27,1,489151.07
1669,3,4,44,2,540940.62
1713,2,1,12,1,465172.29
2994,1,2,6,1,703125.93
1886,4,1,34,2,547415.51
1450,4,3,29,2,536724.44
970,2,3,45,0,321032.86
4108,3,2,5,1,1009132.82
2223,5,1,43,2,585273.28
1312,1,4,28,1,421323.58
1017,2,1,0,0,333820.82
1510,2,2,25,2,457720.73
4440,6,1,37,2,1085496.06
907,1,1,12,3,317933.62
976,3,1,2,3,365942.23
4385,5,4,46,3,1115592.7
2167,6,4,11,2,736079.18
1366,3,3,28,1,442512.62
3136,5,2,41,2,805870.67
4215,5,4,3,0,1067144.71
1162,4,2,41,1,406010.24
3885,5,1,24,2,928035.81
3800,4,3,36,2,934254.26
1336,1,3,38,1,377894.06
3920,3,1,30,2,902660.76
1553,2,1,15,1,409515.36
3943,6,1,48,1,928832.71
3866,4,3,11,1,946402.51
1902,6,3,37,0,624930.88
2040,5,2,36,1,614206.53
3919,4,3,11,3,965065.48
830,2,2,1,3,349007.61
4359,5,2,8,2,1095066.7
4363,3,1,1,1,989450.97
4356,2,1,33,2,974149.99
2130,6,4,37,0,678378.43
1921,2,2,46,3,530220.29
2595,6,3,11,2,779682.08
3012,2,4,19,2,774443.16
3585,1,4,49,0,793373.98
1903,5,2,40,0,573031.56
1176,3,1,15,2,408351.58
1287,6,1,45,2,446698.18
1686,2,2,44,0,422694.0
3823,1,1,3,3,853350.24
2318,2,4,31,3,666563.85
2137,1,4,50,1,546273.45
901,1,3,1,2,366515.7
1028,1,3,10,3,389508.35
907,5,1,21,3,405726.0
2366,6,2,38,3,682863.47
1014,3,2,12,3,421337.97
3557,6,3,42,2,923547.07
992,1,4,36,3,386452.51
2077,1,4,5,2,643431.74
3160,5,4,12,0,843218.12
1299,6,3,5,3,604401.94
1863,4,4,31,2,601800.68
2828,4,2,23,3,750646.95
2425,1,3,28,3,624882.06
4028,3,1,9,0,857326.49
2008,5,4,48,1,647331.32
4043,4,4,34,3,1049732.96
1565,4,3,5,3,607028.06
3525,1,2,7,3,806452.1
1284,2,2,8,0,394890.78
3398,4,2,40,1,842880.86
1656,3,1,5,3,508208.42
2861,3,3,33,3,796584.75
650,6,4,7,3,479442.48
2920,5,1,6,0,764230.9
4153,5,3,26,2,1034858.42
2588,5,4,2,1,788269.85
1189,5,4,2,3,600065.44
1957,6,2,3,3,701785.92
4274,3,1,21,2,937426.39
4052,4,1,14,1,914208.42
3646,4,3,17,3,964126.16
965,2,4,13,3,458717.52
3710,5,3,3,1,935278.2
3506,5,4,8,0,922884.22
4184,2,1,15,0,887159.4
4360,3,2,17,2,1043912.96
2668,4,1,43,0,610800.03
2602,5,4,11,3,835365.16
2032,3,2,16,0,539861.85
2183,1,2,36,1,539248.17
3251,2,2,17,3,797092.23
4141,6,1,30,1,994528.66
3062,1,2,16,2,737635.61
3505,6,3,27,3,999989.1
2480,3,2,29,2,660500.03
3976,5,4,37,0,956591.28
3313,3,3,19,0,818607.36
1977,3,3,17,2,614795.62
4500,6,3,12,1,1140068.18
1584,1,4,42,2,496454.37
3554,1,4,18,2,916734.43
2257,4,1,37,1,564156.2
3521,2,4,42,2,871622.11
4062,2,2,18,0,897240.66
3634,3,2,43,2,858750.38
1510,3,2,47,2,444387.57
4232,3,3,16,2,1020010.1
1082,4,1,40,0,336233.33
1396,5,1,43,3,463037.52
2292,1,2,8,1,565382.64
2932,4,2,20,1,774435.99
2597,3,2,20,0,619179.81
1720,2,2,36,1,459520.55
3727,1,2,39,3,843810.44
2252,4,4,24,0,646486.1
1416,6,3,0,2,612292.78
2775,2,1,43,0,604335.36
1619,2,3,19,1,476980.92
2661,5,3,10,0,784906.36
1821,3,4,46,2,572859.57
3413,2,3,31,2,849944.71
1275,4,1,14,1,428595.08
1137,2,1,37,1,304038.99
3512,6,1,24,2,909950.55
3152,1,1,42,0,652590.1
680,1,1,26,3,246611.13
2841,3,4,44,1,730615.1
3408,6,1,19,3,902030.64
3313,5,3,39,1,854115.04
4280,1,1,18,0,905264.58
2638,2,2,49,2,650088.9
1426,3,4,18,1,498157.31
2633,2,4,21,1,681256.04
3351,1,1,36,3,706061.67
968,5,1,46,0,347394.77
3239,2,4,18,2,844587.1
1008,2,1,18,2,339829.05
1880,4,1,6,0,499828.38
1166,6,2,21,2,509861.97
3146,3,1,23,2,720802.48
2241,4,4,17,3,743032.4
2558,4,2,7,1,713558.56
840,2,1,26,3,313394.89
3378,4,2,39,3,866667.18
3104,1,2,30,3,700052.56
2284,4,1,4,2,642545.8
650,6,2,42,2,370556.4
3419,6,1,27,1,848578.81
3318,6,4,9,0,896976.65
4427,2,4,31,1,992717.24
2613,3,2,21,2,652484.74
1512,5,4,25,1,555303.97
2419,5,4,5,3,797272.43
1086,4,1,6,3,419995.7
2882,5,1,5,2,797098.14
2903,2,4,21,2,807289.6
3944,2,4,21,3,1010877.02
2088,6,4,7,0,736496.06
1508,1,3,22,2,464786.07
2131,6,1,2,1,641348.63
3966,6,4,6,2,1108665.01
1368,1,4,13,3,513625.92
1380,6,3,6,3,570976.19
3193,6,1,49,3,808445.3
3013,5,2,31,0,767528.5
798,5,4,37,3,482888.13
3799,2,2,46,1,799606.31
3293,5,3,32,3,888518.95
3094,6,2,17,3,907183.1
1804,4,2,8,3,595180.13
4230,6,3,44,2,1087309.32
4431,5,2,12,1,1078563.01
1790,6,3,43,1,628408.47
3262,2,3,45,0,774144.69
2903,4,4,43,2,835859.09
2330,1,1,1,3,564106.93
3345,1,2,17,1,795097.31
3399,3,2,3,2,825048.71
2816,1,3,28,0,675108.64
3366,6,2,47,3,858184.03
3812,6,3,44,0,998252.51
2187,4,3,35,0,587515.98
1629,2,4,14,2,568712.38
2838,6,2,49,1,735768.01
1326,6,1,11,1,493443.42
1088,4,1,27,2,386052.71
1132,2,3,0,2,442923.7
4439,2,1,9,2,984864.85
3768,6,3,31,2,952386.76
3498,3,2,11,0,852658.8
1252,4,4,5,2,530408.01
1473,6,3,21,2,570284.73
4492,5,4,35,0,1061484.53
2017,4,2,41,1,584594.81
3395,3,4,50,0,823567.61
2812,6,3,1,2,855242.02
2683,4,4,2,2,846373.33
1388,3,1,6,1,444604.41
3767,5,1,40,0,834054.17
3178,2,4,6,1,838885.23
3478,6,4,41,0,957295.28
1229,1,4,45,2,399031.78
900,1,2,50,2,283135.07
2955,2,3,26,3,761733.79
2256,4,3,1,3,728570.96
2790,1,1,48,0,579971.15
897,3,1,18,2,337907.98
1753,4,4,25,0,582785.09
2785,2,2,47,3,693822.13
4079,5,3,40,1,981388.04
4233,6,3,0,1,1061543.88
620,5,4,34,0,381304.44
3665,6,3,13,3,1053491.8
4087,5,2,10,1,976059.46
4019,3,2,7,1,961274.38
2923,1,4,41,0,691763.46
875,3,1,12,3,368390.65
2062,2,2,6,2,581133.43
4286,2,3,31,3,988446.59
3300,3,2,36,2,816679.05
2354,2,1,20,1,577529.53
3517,6,4,17,2,963666.62
3602,3,4,29,3,928269.53
1851,4,1,11,0,531811.19
4117,2,2,16,0,933196.31
4254,1,1,37,3,921753.15
1471,1,3,34,3,463358.37
1208,3,4,14,2,483312.56
2652,5,1,25,2,700771.84
3314,2,2,48,1,736507.68
1333,5,2,47,3,501294.42
765,2,4,14,0,356130.51
1558,1,2,33,2,418889.29
4359,4,1,2,2,978583.03
2735,6,3,47,2,790744.23
2935,2,4,41,3,768284.65
3276,1,3,24,1,773524.33
2045,3,4,50,3,652651.98
627,5,2,28,1,333150.02
2707,6,3,13,1,779984.8
2083,5,1,42,1,555173.75
1952,6,1,30,3,603850.53
3019,2,4,1,1,775203.93
2949,5,2,8,0,811484.93
1201,1,2,16,1,363589.03
2260,5,1,46,2,629864.94
1487,4,4,30,1,528825.73
2282,5,2,50,1,629835.86
2692,3,2,46,2,696025.51
3043,5,1,14,3,791978.72
1044,1,2,33,3,354757.07
3080,1,2,30,0,704441.85
2776,5,1,5,3,774714.64
4294,5,1,49,3,992773.68
2117,1,4,14,3,653227.29
2161,3,1,27,1,529070.43
3736,2,1,18,3,828984.08
622,6,1,36,0,307476.43
2136,6,2,44,2,636504.57
1036,2,4,41,2,402614.7
2795,4,3,39,2,792419.32
2227,2,4,35,3,633951.29
2890,5,4,16,2,867131.49
3771,6,4,47,1,1031601.24
3300,1,2,28,1,707444.53
2682,4,3,35,0,685110.56
3204,1,1,9,3,768323.46
2383,1,1,16,1,539594.14
3094,1,4,25,2,804051.63
3047,1,2,40,3,701388.29
1426,6,3,12,0,570153.0
2691,5,2,39,1,723408.74
2073,2,1,10,0,531669.04
3793,4,3,42,3,942310.5
1420,5,1,47,0,433750.36
2851,3,3,22,2,740205.13
1396,4,4,36,0,492994.5
2267,5,1,35,0,587581.16
1992,1,3,34,2,548162.08
2144,5,4,49,1,685035.1
3776,4,4,37,0,942457.69
1656,1,4,40,1,496999.72
1541,3,4,22,0,534201.57
1678,2,3,5,3,564060.33
3963,3,1,35,1,864124.34
2048,2,3,11,1,585621.39
1417,2,2,16,1,416356.57
4019,2,3,9,0,902070.44
921,6,4,39,0,475834.97
2817,1,4,23,2,737979.3
4208,5,3,31,1,1086476.85
4351,5,3,25,1,1096701.5
1125,1,4,30,0,387220.82
2212,6,2,29,0,657195.28
2484,3,1,0,1,626889.22
1012,3,3,39,2,387892.96
1676,2,3,30,2,502234.73
2642,4,2,26,2,698023.32
2240,3,4,11,1,713848.04
