thumb_ext,index_ext,middle_ext,ring_ext,pinky_ext,gesture_id
1.0,1.0,0.937,0.895,1.0,0
0.953,0.951,0.949,0.96,0.943,0
0.921,0.923,0.948,0.923,0.914,0
0.955,0.937,1.0,0.817,1.0,0
1.0,0.846,0.933,0.931,0.88,0
0.911,0.894,1.0,0.997,1.0,0
0.986,0.894,0.924,0.974,0.889,0
0.986,0.938,0.931,0.986,0.972,0
0.932,1.0,0.896,0.981,0.98,0
0.935,0.966,0.887,0.996,0.941,0
0.924,1.0,0.915,0.88,0.872,0
0.98,0.886,1.0,0.846,1.0,0
0.961,0.945,0.923,0.97,0.948,0
1.0,0.956,0.958,0.932,0.947,0
0.965,0.864,0.883,0.987,0.959,0
0.941,0.951,0.967,0.923,0.911,0
0.96,0.901,0.97,0.865,1.0,0
0.974,0.963,0.999,1.0,1.0,0
0.858,0.886,0.919,0.951,0.976,0
0.914,0.959,0.912,0.919,0.88,0
0.904,0.882,0.901,1.0,0.903,0
1.0,0.975,0.959,0.907,0.985,0
0.921,0.956,1.0,0.945,1.0,0
0.915,0.948,1.0,0.919,1.0,0
0.985,0.922,0.982,0.999,0.981,0
0.871,0.914,0.938,0.946,0.981,0
0.959,0.883,0.969,0.981,0.978,0
1.0,0.992,0.973,0.946,0.867,0
0.971,0.96,0.964,0.886,0.896,0
1.0,0.948,0.984,0.951,0.951,0
0.997,0.924,0.955,0.927,0.928,0
0.935,0.961,0.926,1.0,0.905,0
0.941,0.928,1.0,0.96,1.0,0
0.876,0.963,0.994,0.954,1.0,0
0.924,1.0,1.0,0.932,0.928,0
1.0,1.0,0.924,0.929,0.936,0
0.883,0.904,0.9,0.912,0.948,0
0.962,1.0,0.9,0.999,0.939,0
0.948,0.984,0.894,0.969,0.958,0
0.975,0.964,1.0,0.918,0.923,0
0.919,0.922,0.918,1.0,1.0,0
0.921,0.908,0.974,0.922,0.982,0
0.96,0.874,1.0,1.0,0.919,0
0.931,0.964,0.967,0.983,1.0,0
0.941,0.91,0.881,0.913,0.948,0
1.0,0.924,0.961,0.949,1.0,0
1.0,0.923,0.926,1.0,0.984,0
1.0,0.979,0.932,0.98,1.0,0
0.991,0.975,1.0,1.0,1.0,0
0.982,0.942,0.957,1.0,0.909,0
0.968,0.93,0.951,1.0,0.96,0
0.952,0.882,0.987,0.982,1.0,0
0.935,0.961,0.962,1.0,0.945,0
0.964,0.98,0.959,0.928,0.96,0
1.0,0.899,0.957,0.915,1.0,0
0.874,0.922,0.969,1.0,0.947,0
0.922,1.0,0.878,0.84,0.972,0
0.925,0.899,0.985,0.962,0.922,0
0.886,0.994,0.983,0.945,1.0,0
0.896,0.874,0.915,0.948,0.962,0
0.938,0.968,0.887,1.0,0.946,0
1.0,0.967,0.973,0.978,0.972,0
0.982,1.0,0.96,0.985,0.946,0
1.0,0.916,1.0,0.948,0.878,0
0.956,0.916,0.992,0.917,0.928,0
0.856,0.927,0.829,0.871,0.988,0
0.989,0.971,0.902,0.948,0.95,0
0.892,1.0,0.994,0.939,0.951,0
0.96,0.848,0.938,0.916,0.9,0
0.936,1.0,0.982,0.921,0.979,0
1.0,0.996,0.953,0.918,0.985,0
0.97,0.995,0.982,1.0,0.923,0
1.0,0.96,1.0,0.916,1.0,0
0.96,0.917,0.926,0.934,0.971,0
0.976,0.921,0.949,1.0,1.0,0
0.972,0.952,0.956,0.981,0.899,0
0.937,0.867,0.97,0.982,0.926,0
1.0,0.889,0.877,0.961,1.0,0
1.0,0.927,1.0,0.948,0.941,0
0.994,0.983,0.871,1.0,1.0,0
0.919,0.97,0.975,0.963,0.922,0
0.916,0.949,1.0,0.977,0.931,0
0.989,0.808,1.0,0.863,0.932,0
0.894,0.885,1.0,0.927,0.967,0
0.948,0.974,0.954,0.886,1.0,0
0.925,0.872,0.929,1.0,0.993,0
0.933,0.933,0.934,1.0,0.969,0
0.972,1.0,0.962,0.937,0.94,0
0.946,0.948,0.986,0.953,0.987,0
0.946,0.954,0.85,0.996,0.967,0
1.0,0.805,1.0,0.943,1.0,0
0.898,0.981,0.897,0.919,1.0,0
0.94,0.961,0.994,0.975,0.958,0
0.968,1.0,0.947,0.96,1.0,0
1.0,1.0,0.982,0.893,1.0,0
0.893,0.965,0.912,0.947,0.966,0
0.966,0.971,1.0,0.973,0.938,0
0.998,1.0,0.889,0.98,0.985,0
0.935,1.0,0.942,0.956,0.941,0
0.951,0.895,0.878,1.0,0.908,0
0.9,0.842,0.918,0.884,1.0,0
1.0,0.916,1.0,0.999,0.934,0
0.825,1.0,0.881,0.868,1.0,0
1.0,1.0,0.978,0.98,0.993,0
0.988,0.964,0.955,0.947,0.912,0
0.936,0.865,0.945,0.901,0.895,0
0.959,1.0,0.996,0.871,0.901,0
0.997,0.901,0.939,0.978,0.902,0
0.955,0.883,0.92,0.966,0.87,0
0.972,0.949,0.978,0.961,1.0,0
0.956,0.929,0.956,0.977,0.952,0
0.952,0.915,0.917,0.88,1.0,0
0.888,0.915,0.914,0.995,0.935,0
1.0,0.916,0.964,0.908,1.0,0
0.891,0.965,0.982,0.971,0.941,0
0.944,0.952,0.943,0.998,1.0,0
0.922,0.882,0.946,1.0,0.91,0
1.0,1.0,0.922,0.978,1.0,0
0.931,0.94,0.921,0.899,0.918,0
0.889,0.952,0.912,0.962,0.872,0
0.117,0.083,0.0,0.065,0.099,1
0.04,0.117,0.067,0.022,0.048,1
0.128,0.053,0.072,0.013,0.057,1
0.029,0.046,0.014,0.021,0.099,1
0.155,0.074,0.006,0.037,0.099,1
0.107,0.143,0.066,0.058,0.038,1
0.107,0.044,0.078,0.088,0.019,1
0.033,0.0,0.07,0.006,0.0,1
0.119,0.15,0.05,0.084,0.053,1
0.095,0.087,0.038,0.061,0.063,1
0.067,0.09,0.043,0.02,0.071,1
0.055,0.051,0.05,0.093,0.069,1
0.099,0.083,0.106,0.072,0.05,1
0.034,0.007,0.038,0.026,0.043,1
0.103,0.071,0.047,0.069,0.053,1
0.001,0.012,0.044,0.002,0.074,1
0.177,0.099,0.041,0.11,0.056,1
0.083,0.025,0.038,0.034,0.057,1
0.108,0.05,0.067,0.098,0.088,1
0.026,0.0,0.087,0.0,0.041,1
0.041,0.0,0.072,0.08,0.027,1
0.0,0.028,0.066,0.0,0.057,1
0.099,0.073,0.055,0.011,0.098,1
0.092,0.049,0.013,0.032,0.015,1
0.091,0.118,0.0,0.0,0.109,1
0.09,0.023,0.092,0.026,0.123,1
0.134,0.03,0.136,0.026,0.08,1
0.115,0.102,0.112,0.051,0.02,1
0.123,0.023,0.131,0.055,0.035,1
0.109,0.0,0.011,0.098,0.024,1
0.048,0.071,0.097,0.079,0.09,1
0.062,0.0,0.11,0.037,0.04,1
0.166,0.072,0.068,0.137,0.024,1
0.146,0.052,0.061,0.111,0.07,1
0.127,0.093,0.035,0.016,0.008,1
0.002,0.132,0.006,0.041,0.039,1
0.115,0.083,0.084,0.027,0.043,1
0.114,0.04,0.114,0.07,0.079,1
0.133,0.097,0.057,0.0,0.066,1
0.067,0.029,0.073,0.1,0.051,1
0.115,0.118,0.06,0.154,0.073,1
0.012,0.08,0.065,0.102,0.077,1
0.093,0.001,0.042,0.016,0.027,1
0.129,0.117,0.066,0.002,0.068,1
0.16,0.026,0.045,0.051,0.019,1
0.132,0.045,0.067,0.015,0.033,1
0.136,0.035,0.119,0.034,0.059,1
0.147,0.0,0.0,0.0,0.101,1
0.072,0.152,0.027,0.057,0.112,1
0.2,0.132,0.098,0.091,0.074,1
0.139,0.028,0.017,0.05,0.043,1
0.077,0.078,0.088,0.054,0.109,1
0.043,0.042,0.021,0.0,0.047,1
0.094,0.111,0.075,0.009,0.124,1
0.161,0.073,0.041,0.012,0.035,1
0.154,0.125,0.112,0.03,0.005,1
0.107,0.0,0.063,0.044,0.031,1
0.02,0.071,0.029,0.003,0.0,1
0.099,0.121,0.116,0.032,0.026,1
0.123,0.01,0.062,0.081,0.099,1
0.095,0.042,0.015,0.017,0.041,1
0.118,0.087,0.018,0.11,0.039,1
0.099,0.02,0.0,0.085,0.079,1
0.086,0.053,0.071,0.0,0.029,1
0.14,0.0,0.062,0.0,0.069,1
0.098,0.0,0.097,0.021,0.018,1
0.11,0.096,0.009,0.052,0.067,1
0.135,0.057,0.035,0.017,0.053,1
0.046,0.0,0.067,0.086,0.0,1
0.05,0.075,0.132,0.051,0.021,1
0.091,0.105,0.024,0.018,0.031,1
0.052,0.055,0.115,0.063,0.04,1
0.085,0.0,0.085,0.047,0.043,1
0.26,0.062,0.02,0.033,0.096,1
0.106,0.0,0.087,0.023,0.125,1
0.154,0.032,0.101,0.053,0.084,1
0.124,0.016,0.024,0.091,0.037,1
0.08,0.012,0.067,0.133,0.007,1
0.101,0.106,0.047,0.068,0.008,1
0.121,0.043,0.089,0.097,0.154,1
0.129,0.063,0.058,0.036,0.064,1
0.085,0.057,0.103,0.01,0.096,1
0.166,0.045,0.0,0.026,0.102,1
0.099,0.01,0.03,0.084,0.072,1
0.088,0.035,0.034,0.013,0.115,1
0.084,0.099,0.111,0.09,0.033,1
0.12,0.049,0.014,0.063,0.003,1
0.159,0.031,0.058,0.061,0.04,1
0.129,0.031,0.085,0.0,0.055,1
0.197,0.01,0.023,0.071,0.057,1
0.118,0.07,0.075,0.094,0.066,1
0.088,0.077,0.126,0.045,0.011,1
0.155,0.045,0.0,0.084,0.029,1
0.095,0.063,0.058,0.078,0.033,1
0.126,0.04,0.08,0.075,0.013,1
0.154,0.029,0.082,0.065,0.124,1
0.089,0.036,0.049,0.038,0.082,1
0.019,0.008,0.007,0.088,0.118,1
0.095,0.043,0.053,0.096,0.013,1
0.112,0.089,0.07,0.058,0.09,1
0.0,0.077,0.024,0.0,0.07,1
0.169,0.045,0.088,0.114,0.103,1
0.182,0.08,0.053,0.0,0.04,1
0.058,0.137,0.043,0.055,0.072,1
0.102,0.118,0.025,0.058,0.02,1
0.034,0.026,0.049,0.033,0.022,1
0.03,0.047,0.0,0.08,0.053,1
0.027,0.038,0.02,0.063,0.104,1
0.006,0.055,0.044,0.077,0.059,1
0.062,0.037,0.018,0.093,0.051,1
0.195,0.048,0.022,0.0,0.0,1
0.021,0.061,0.07,0.0,0.086,1
0.076,0.056,0.114,0.086,0.039,1
0.055,0.0,0.021,0.042,0.011,1
0.093,0.053,0.041,0.024,0.057,1
0.122,0.006,0.106,0.046,0.051,1
0.135,0.059,0.088,0.061,0.026,1
0.118,0.004,0.054,0.049,0.042,1
0.094,0.0,0.028,0.054,0.056,1
0.049,0.101,0.015,0.089,0.067,1
0.068,0.121,0.002,0.087,0.09,1
0.066,0.106,0.04,0.062,0.06,1
0.093,0.082,0.082,0.0,0.102,1
0.017,0.091,0.095,0.006,0.034,1
0.045,0.041,0.038,0.081,0.102,1
0.17,0.028,0.042,0.0,0.018,1
0.148,0.115,0.001,0.026,0.049,1
0.114,0.018,0.067,0.031,0.049,1
0.127,0.05,0.033,0.046,0.046,1
0.081,0.04,0.114,0.072,0.038,1
0.135,0.037,0.097,0.065,0.046,1
0.122,0.0,0.005,0.002,0.056,1
0.187,0.139,0.076,0.07,0.0,1
0.073,0.018,0.025,0.043,0.031,1
0.001,0.08,0.007,0.06,0.133,1
0.054,0.0,0.039,0.094,0.128,1
0.039,0.07,0.031,0.046,0.156,1
0.025,0.06,0.069,0.093,0.054,1
0.115,0.034,0.061,0.036,0.075,1
0.082,0.065,0.049,0.095,0.048,1
0.011,0.1,0.014,0.024,0.026,1
0.169,0.0,0.176,0.092,0.059,1
0.097,0.061,0.071,0.076,0.072,1
0.104,0.042,0.044,0.042,0.095,1
0.13,0.0,0.076,0.058,0.049,1
0.081,0.095,0.088,0.019,0.066,1
0.051,0.0,0.025,0.084,0.088,1
0.126,0.079,0.071,0.024,0.067,1
0.14,0.08,0.098,0.078,0.064,1
0.154,0.049,0.015,0.043,0.02,1
0.066,0.044,0.018,0.038,0.0,1
0.111,0.05,0.017,0.076,0.088,1
0.02,0.019,0.019,0.012,0.083,1
0.09,0.039,0.0,0.075,0.0,1
0.103,0.061,0.104,0.0,0.0,1
0.109,0.122,0.1,0.058,0.03,1
0.14,0.011,0.069,0.07,0.092,1
0.238,0.066,0.03,0.049,0.0,1
0.065,0.034,0.029,0.056,0.017,1
0.156,0.05,0.05,0.037,0.056,1
0.141,0.015,0.024,0.038,0.0,1
0.059,0.031,0.085,0.061,0.058,1
0.143,0.045,0.066,0.046,0.061,1
0.071,0.0,0.045,0.107,0.087,1
0.148,0.099,0.054,0.058,0.025,1
0.084,0.075,0.098,0.044,0.032,1
0.1,0.074,0.0,0.0,0.028,1
0.039,0.03,0.044,0.032,0.108,1
0.116,0.062,0.075,0.004,0.092,1
0.096,0.077,0.007,0.0,0.083,1
0.119,0.014,0.015,0.095,0.002,1
0.182,0.014,0.076,0.037,0.074,1
0.073,0.043,0.052,0.01,0.08,1
0.074,0.041,0.01,0.0,0.042,1
0.221,0.081,0.049,0.039,0.051,1
0.127,0.003,0.095,0.079,0.079,1
0.122,0.051,0.077,0.074,0.036,1
0.071,0.054,0.112,0.0,0.0,1
0.108,0.052,0.057,0.06,0.041,1
0.174,0.0,0.017,0.046,0.0,1
0.091,0.116,0.051,0.059,0.0,1
0.069,0.035,0.037,0.101,0.072,1
0.044,0.06,0.07,0.096,0.113,1
0.049,0.018,0.0,0.041,0.069,1
0.149,0.047,0.037,0.056,0.017,1
0.204,0.0,0.057,0.131,0.05,1
0.09,0.036,0.043,0.105,0.0,1
0.177,0.0,0.039,0.033,0.074,1
0.02,0.068,0.131,0.0,0.058,1
0.067,0.067,0.051,0.024,0.07,1
0.19,0.042,0.079,0.0,0.012,1
0.124,0.109,0.064,0.037,0.05,1
0.037,0.074,0.085,0.032,0.031,1
0.113,0.033,0.047,0.134,0.04,1
0.082,0.024,0.08,0.043,0.024,1
0.166,0.107,0.026,0.0,0.09,1
0.066,0.082,0.0,0.086,0.002,1
0.137,0.051,0.012,0.034,0.077,1
0.105,0.073,0.129,0.0,0.115,1
0.105,0.014,0.0,0.042,0.087,1
0.094,0.11,0.0,0.05,0.0,1
0.118,0.085,0.033,0.0,0.058,1
0.122,0.066,0.099,0.007,0.077,1
0.16,0.0,0.063,0.03,0.047,1
0.117,0.031,0.023,0.051,0.007,1
0.046,0.077,0.004,0.077,0.069,1
0.014,0.023,0.098,0.011,0.031,1
0.123,0.081,0.04,0.026,0.107,1
0.187,0.089,0.053,0.018,0.017,1
0.126,0.067,0.106,0.076,0.0,1
0.153,0.01,0.035,0.06,0.13,1
0.255,0.074,0.043,0.071,0.086,1
0.084,0.122,0.059,0.07,0.077,1
0.121,0.084,0.025,0.028,0.006,1
0.122,0.081,0.068,0.117,0.05,1
0.133,0.006,0.035,0.078,0.084,1
0.085,0.047,0.0,0.036,0.086,1
0.129,0.07,0.052,0.05,0.024,1
0.135,0.067,0.07,0.029,0.0,1
0.155,0.031,0.015,0.078,0.034,1
0.153,0.075,0.077,0.0,0.098,1
0.113,0.035,0.056,0.0,0.066,1
0.049,0.0,0.0,0.095,0.025,1
0.177,0.029,0.0,0.005,0.099,1
0.092,0.028,0.056,0.07,0.095,1
0.172,0.036,0.0,0.033,0.06,1
0.052,0.012,0.064,0.048,0.051,1
0.062,0.041,0.013,0.086,0.091,1
0.008,0.013,0.0,0.024,0.047,1
0.028,0.013,0.01,0.058,0.053,1
0.064,0.057,0.028,0.039,0.117,1
0.167,0.0,0.083,0.082,0.004,1
0.141,0.112,0.005,0.013,0.091,1
0.114,0.072,0.064,0.066,0.0,1
0.152,0.097,0.041,0.048,0.0,1
0.126,0.073,0.048,0.095,0.037,1
0.128,0.009,0.049,0.043,0.059,1
0.082,0.045,0.083,0.033,0.0,1
0.187,0.105,0.0,0.078,0.03,1
0.113,0.062,0.041,0.019,0.022,1
0.054,0.017,0.047,0.021,0.077,1
0.174,0.027,0.06,0.07,0.069,1
0.104,0.08,0.069,0.0,0.085,1
0.144,0.019,0.052,0.077,0.042,1
0.154,0.145,0.019,0.0,0.062,1
0.136,0.041,0.108,0.0,0.078,1
0.07,0.119,0.13,0.019,0.028,1
0.143,0.035,0.048,0.051,0.0,1
0.099,0.022,0.03,0.108,0.0,1
0.141,0.039,0.039,0.082,0.064,1
0.179,0.998,0.933,0.076,0.057,2
0.109,1.0,1.0,0.046,0.047,2
0.174,0.977,0.977,0.09,0.095,2
0.166,0.954,0.839,0.091,0.066,2
0.159,1.0,0.968,0.087,0.137,2
0.174,0.971,0.98,0.182,0.055,2
0.174,0.904,0.978,0.063,0.083,2
0.135,0.999,0.996,0.05,0.102,2
0.115,0.887,0.939,0.088,0.197,2
0.172,0.881,0.922,0.141,0.184,2
0.071,0.856,1.0,0.116,0.065,2
0.177,0.818,0.95,0.113,0.137,2
0.099,0.954,0.904,0.11,0.064,2
0.13,0.9,0.983,0.134,0.091,2
0.152,0.878,0.935,0.098,0.205,2
0.094,1.0,1.0,0.111,0.17,2
0.169,0.969,0.947,0.149,0.144,2
0.119,0.884,0.94,0.068,0.097,2
0.212,0.927,0.948,0.102,0.134,2
0.038,0.92,0.961,0.148,0.08,2
0.056,0.981,0.918,0.052,0.075,2
0.141,0.92,0.84,0.136,0.151,2
0.183,0.893,0.94,0.1,0.124,2
0.183,0.913,0.954,0.118,0.158,2
0.185,0.989,0.954,0.156,0.116,2
0.107,1.0,0.985,0.082,0.081,2
0.165,0.973,0.96,0.112,0.168,2
0.204,0.96,0.997,0.059,0.116,2
0.24,0.939,0.908,0.074,0.056,2
0.111,0.931,0.88,0.101,0.136,2
0.105,1.0,0.976,0.141,0.074,2
0.193,0.895,0.995,0.107,0.122,2
0.091,0.905,0.98,0.062,0.119,2
0.082,0.992,0.888,0.122,0.125,2
0.115,0.979,0.963,0.078,0.06,2
0.052,0.967,0.872,0.104,0.089,2
0.184,0.935,0.934,0.129,0.113,2
0.166,0.973,0.873,0.13,0.124,2
0.099,0.938,0.948,0.095,0.113,2
0.222,1.0,0.884,0.125,0.153,2
0.169,1.0,1.0,0.141,0.11,2
0.202,0.957,0.951,0.086,0.163,2
0.109,1.0,0.975,0.044,0.115,2
0.045,0.981,0.994,0.076,0.105,2
0.248,0.925,0.897,0.159,0.179,2
0.15,1.0,1.0,0.07,0.081,2
0.212,1.0,0.978,0.065,0.179,2
0.123,0.933,0.967,0.162,0.134,2
0.171,0.973,0.952,0.122,0.0,2
0.135,0.962,0.892,0.115,0.092,2
0.238,1.0,0.927,0.094,0.097,2
0.127,0.96,0.912,0.055,0.125,2
0.181,0.91,0.995,0.075,0.11,2
0.191,0.948,0.973,0.079,0.092,2
0.14,0.913,0.941,0.038,0.08,2
0.136,0.937,0.938,0.098,0.119,2
0.194,0.918,0.89,0.058,0.081,2
0.132,0.912,0.885,0.082,0.107,2
0.18,0.922,0.929,0.063,0.099,2
0.108,0.979,0.861,0.086,0.112,2
0.159,1.0,0.967,0.06,0.096,2
0.061,0.946,0.908,0.137,0.078,2
0.144,0.918,1.0,0.087,0.173,2
0.191,0.974,0.968,0.116,0.023,2
0.136,0.992,0.948,0.044,0.098,2
0.235,1.0,0.947,0.138,0.085,2
0.065,0.904,1.0,0.089,0.09,2
0.135,1.0,1.0,0.189,0.094,2
0.165,0.874,1.0,0.053,0.109,2
0.095,0.921,0.908,0.076,0.078,2
0.123,0.992,0.895,0.109,0.149,2
0.124,0.914,0.938,0.147,0.108,2
0.123,0.974,0.895,0.127,0.116,2
0.135,0.908,0.906,0.121,0.149,2
0.118,0.973,0.846,0.077,0.099,2
0.105,0.903,0.917,0.112,0.093,2
0.038,0.844,0.92,0.118,0.0,2
0.125,0.924,1.0,0.085,0.115,2
0.157,0.843,0.988,0.109,0.12,2
0.346,0.846,1.0,0.089,0.111,2
0.148,0.929,0.922,0.113,0.039,2
0.188,0.929,0.893,0.082,0.15,2
0.123,0.968,0.913,0.13,0.127,2
0.242,0.941,0.983,0.104,0.152,2
0.114,0.987,0.94,0.097,0.104,2
0.163,0.944,0.961,0.163,0.139,2
0.193,0.927,0.906,0.138,0.135,2
0.224,0.92,0.939,0.034,0.084,2
0.2,0.927,0.982,0.092,0.113,2
0.093,0.954,0.8,0.093,0.035,2
0.21,0.989,0.973,0.161,0.062,2
0.237,0.997,0.938,0.145,0.056,2
0.109,0.92,0.924,0.058,0.149,2
0.137,0.968,0.921,0.027,0.111,2
0.054,0.947,0.882,0.179,0.136,2
0.155,1.0,0.908,0.122,0.108,2
0.163,1.0,0.987,0.112,0.034,2
0.102,0.944,0.955,0.055,0.196,2
0.226,0.98,0.954,0.092,0.062,2
0.154,0.963,0.888,0.113,0.094,2
0.055,0.907,0.929,0.176,0.122,2
0.083,0.974,0.873,0.143,0.081,2
0.145,1.0,0.886,0.044,0.077,2
0.202,0.874,0.808,0.082,0.122,2
0.21,0.927,0.929,0.146,0.025,2
0.131,0.96,0.972,0.08,0.101,2
0.026,0.917,0.973,0.061,0.102,2
0.172,0.933,0.959,0.061,0.092,2
0.181,0.958,0.921,0.109,0.129,2
0.048,1.0,0.933,0.117,0.148,2
0.081,0.915,0.936,0.069,0.169,2
0.107,0.922,0.96,0.052,0.084,2
0.166,0.933,0.945,0.079,0.039,2
0.166,1.0,0.951,0.109,0.128,2
0.087,1.0,0.96,0.165,0.071,2
0.241,0.989,0.978,0.109,0.09,2
0.21,0.957,0.852,0.055,0.093,2
0.165,0.947,1.0,0.022,0.106,2
0.059,0.988,0.945,0.117,0.065,2
0.214,1.0,0.979,0.095,0.123,2
0.115,0.993,1.0,0.143,0.071,2
0.168,0.885,0.979,0.118,0.025,2
0.092,0.936,0.935,0.052,0.116,2
0.163,0.94,0.912,0.142,0.166,2
0.126,0.919,0.975,0.086,0.094,2
0.187,0.855,1.0,0.103,0.084,2
0.146,0.948,0.863,0.16,0.102,2
0.172,0.998,0.899,0.119,0.089,2
0.192,0.844,0.945,0.076,0.117,2
0.174,0.915,0.914,0.096,0.064,2
0.192,0.932,0.805,0.085,0.058,2
0.068,0.888,0.955,0.153,0.113,2
0.12,0.973,0.927,0.072,0.054,2
