CustomerID,Gender,Age,Annual_Income_k,Spending_Score_1_100,Cluster
1192,Female,44,55,43,3
1193,Male,39,124,36,0
1194,Female,60,132,7,0
1195,Female,23,53,50,3
1196,Male,67,135,37,0
1197,Male,60,109,86,4
1198,Male,30,103,91,4
1199,Female,66,21,22,2
1200,Male,36,136,36,0
1201,Male,19,131,75,4
1202,Male,37,80,95,4
1203,Female,23,18,89,1
1204,Male,59,30,78,1
1205,Female,44,110,20,0
1206,Female,53,27,72,1
1207,Male,22,69,53,3
1208,Female,68,97,60,4
1209,Female,64,71,58,3
1210,Female,27,114,35,0
1211,Female,39,128,94,4
1212,Female,47,72,46,3
1213,Male,54,94,31,0
1214,Male,38,125,29,0
1215,Female,60,30,62,1
1216,Male,50,101,66,4
1217,Female,24,109,60,4
1218,Male,44,17,90,1
1219,Female,39,124,85,4
1220,Male,39,104,80,4
1221,Female,52,34,9,2
1222,Male,58,52,42,3
1223,Female,24,29,15,2
1224,Female,19,25,8,2
1225,Female,40,58,44,3
1226,Male,51,116,16,0
1227,Male,29,34,29,2
1228,Male,49,89,74,4
1229,Female,58,59,48,3
1230,Male,69,137,23,0
1231,Male,22,102,24,0
1232,Female,62,59,49,3
1233,Male,42,86,20,0
1234,Female,54,63,49,3
1235,Female,19,97,5,0
1236,Male,56,133,23,0
1237,Male,56,52,60,3
1238,Male,57,66,44,3
1239,Male,58,24,33,2
1240,Male,55,68,44,3
1241,Male,36,68,53,3
1242,Male,30,40,94,1
1243,Female,51,97,70,4
1244,Female,70,131,23,0
1245,Female,69,29,9,2
1246,Male,66,36,85,1
1247,Female,23,80,21,0
1248,Male,47,66,48,3
1249,Female,70,48,47,3
1250,Female,19,136,95,4
1251,Female,57,35,64,1
1252,Female,62,65,53,3
1253,Male,26,16,24,2
1254,Female,25,22,39,2
1255,Male,42,103,39,0
1256,Female,55,28,66,1
1257,Female,57,97,7,0
1258,Female,31,108,20,0
1259,Female,24,62,60,3
1260,Female,21,97,17,0
1261,Male,70,85,18,0
1262,Male,21,52,44,3
1263,Male,22,93,97,4
1264,Male,70,25,69,1
1265,Male,35,19,94,1
1266,Female,69,18,61,1
1267,Male,18,70,47,3
1268,Female,19,23,63,1
1269,Male,65,113,12,0
1270,Male,48,129,28,0
1271,Male,46,94,62,4
1272,Female,47,16,35,2
1273,Female,45,30,33,2
1274,Male,23,64,44,3
1275,Male,26,64,60,3
1276,Female,42,113,78,4
1277,Female,50,107,66,4
1278,Male,59,126,73,4
1279,Female,46,28,81,1
1280,Female,43,126,11,0
1281,Female,45,66,48,3
1282,Female,27,84,10,0
1283,Male,23,86,28,0
1284,Male,53,33,26,2
1285,Male,44,72,53,3
1286,Male,36,99,82,4
1287,Male,54,93,69,4
1288,Female,32,26,28,2
1289,Male,66,63,47,3
1290,Female,53,119,95,4
1291,Male,56,45,45,3
1292,Female,62,74,50,3
1293,Female,18,19,96,1
1294,Female,22,38,61,1
1295,Male,65,93,84,4
1296,Female,47,50,51,3
1297,Female,64,69,58,3
1298,Male,21,20,63,1
1299,Male,35,122,32,0
1300,Female,56,106,22,0
