age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,poutcome,deposit_subscribed
36,services,divorced,secondary,no,9891,no,no,telephone,134,1,unknown,no
20,admin.,married,primary,no,3791,yes,no,telephone,1178,1,unknown,no
62,technician,divorced,primary,no,9043,no,no,cellular,661,3,other,no
20,retired,single,tertiary,no,1184,yes,no,telephone,346,2,other,no
69,technician,married,primary,no,14646,yes,no,cellular,576,2,failure,yes
20,self-employed,single,primary,no,7041,yes,no,cellular,486,1,unknown,yes
35,blue-collar,married,secondary,no,6048,no,no,telephone,86,1,other,no
55,management,single,primary,no,5163,no,no,cellular,818,5,unknown,yes
45,admin.,divorced,tertiary,no,14905,no,no,telephone,913,1,success,yes
57,retired,divorced,primary,no,4420,yes,no,telephone,854,6,unknown,yes
44,entrepreneur,divorced,tertiary,no,9584,no,no,cellular,652,3,unknown,no
56,retired,married,secondary,no,3001,yes,no,cellular,203,3,unknown,no
39,blue-collar,single,tertiary,no,12714,yes,yes,cellular,1003,5,failure,yes
44,services,divorced,tertiary,no,6047,yes,no,cellular,248,4,unknown,no
62,self-employed,single,tertiary,no,13399,yes,yes,telephone,1117,5,unknown,no
46,entrepreneur,divorced,secondary,no,11684,no,no,cellular,597,5,unknown,yes
46,blue-collar,divorced,secondary,no,5002,yes,no,cellular,338,2,unknown,yes
31,blue-collar,married,secondary,no,7133,yes,no,telephone,827,5,success,yes
66,entrepreneur,married,primary,no,4392,no,no,telephone,1132,6,failure,no
32,self-employed,single,secondary,no,-25,yes,no,telephone,368,4,other,no
52,admin.,married,tertiary,no,-56,yes,no,telephone,402,1,unknown,no
47,retired,married,secondary,no,13130,yes,no,telephone,69,6,unknown,no
40,services,divorced,primary,no,10178,yes,yes,cellular,438,1,unknown,yes
48,blue-collar,divorced,primary,no,3698,no,no,cellular,365,3,unknown,yes
37,entrepreneur,married,tertiary,no,9200,no,no,cellular,647,6,unknown,yes
54,admin.,married,tertiary,no,5571,yes,no,cellular,890,4,unknown,no
58,self-employed,divorced,primary,no,11522,yes,no,telephone,982,4,failure,yes
38,services,single,secondary,no,3495,no,no,telephone,718,1,unknown,yes
49,services,married,secondary,no,13923,no,no,cellular,1088,2,unknown,yes
49,services,divorced,secondary,no,7541,yes,yes,telephone,483,4,unknown,yes
55,retired,married,tertiary,no,6471,no,no,telephone,959,3,unknown,yes
64,services,married,primary,no,11987,no,no,telephone,596,6,unknown,no
56,management,single,primary,no,5412,yes,yes,cellular,591,1,success,yes
62,technician,divorced,secondary,no,-300,no,no,telephone,727,2,success,yes
48,blue-collar,single,secondary,no,8953,no,yes,cellular,1182,3,unknown,yes
53,entrepreneur,divorced,tertiary,no,3197,no,no,telephone,638,5,success,yes
57,admin.,divorced,tertiary,no,11996,yes,no,cellular,351,2,unknown,yes
18,entrepreneur,married,tertiary,no,4271,yes,no,telephone,959,1,unknown,no
68,services,married,primary,no,10110,yes,no,cellular,176,1,unknown,no
65,management,married,primary,no,4482,no,no,telephone,926,1,unknown,no
65,retired,divorced,secondary,no,3250,no,no,cellular,581,5,unknown,no
48,self-employed,married,primary,no,6641,no,no,cellular,992,3,unknown,yes
24,technician,married,secondary,no,4222,no,no,cellular,961,1,unknown,yes
67,entrepreneur,divorced,primary,no,8389,yes,yes,telephone,1050,6,unknown,yes
35,technician,married,secondary,no,7441,yes,no,cellular,354,3,unknown,no
23,services,single,secondary,no,10112,no,no,telephone,1072,6,unknown,no
48,services,married,tertiary,no,2622,no,no,cellular,172,3,failure,no
39,management,single,secondary,no,13221,no,no,telephone,334,4,unknown,yes
53,entrepreneur,married,secondary,no,10927,yes,no,telephone,119,3,failure,no
69,entrepreneur,married,tertiary,no,10182,no,no,cellular,288,5,success,yes
24,self-employed,single,tertiary,no,-249,no,no,cellular,183,4,failure,no
57,entrepreneur,divorced,primary,no,13464,no,no,telephone,1029,5,unknown,yes
58,management,single,tertiary,no,1112,no,no,cellular,938,2,unknown,no
20,retired,single,secondary,no,6556,yes,no,cellular,378,2,unknown,no
57,services,married,tertiary,no,7055,no,no,cellular,982,3,unknown,yes
46,retired,divorced,secondary,no,6451,no,no,telephone,437,4,other,yes
42,retired,divorced,secondary,no,4337,yes,no,telephone,592,1,unknown,no
65,admin.,divorced,tertiary,no,14313,no,no,cellular,751,2,unknown,yes
61,technician,divorced,primary,no,10089,yes,no,cellular,777,6,unknown,no
38,entrepreneur,single,primary,no,8337,no,no,telephone,366,3,other,no
69,management,divorced,secondary,no,7173,no,yes,cellular,843,5,unknown,no
18,management,divorced,primary,no,10523,no,no,telephone,790,1,unknown,yes
57,retired,divorced,primary,no,9910,no,no,telephone,866,1,unknown,no
37,self-employed,single,primary,no,8307,yes,no,telephone,346,4,unknown,no
57,entrepreneur,married,primary,no,3059,yes,no,telephone,233,6,unknown,no
59,retired,single,secondary,no,1501,no,no,cellular,464,6,unknown,no
21,retired,single,primary,no,2862,yes,no,cellular,472,2,unknown,yes
56,admin.,married,primary,no,8350,yes,no,cellular,299,1,unknown,no
55,retired,single,primary,no,1576,no,no,cellular,1005,4,failure,yes
24,self-employed,divorced,primary,no,210,no,no,telephone,968,6,success,yes
48,entrepreneur,married,tertiary,no,11171,no,yes,cellular,689,5,unknown,yes
57,retired,married,tertiary,no,6933,yes,no,cellular,1159,6,other,yes
32,entrepreneur,married,secondary,no,11453,yes,no,telephone,796,2,unknown,yes
23,blue-collar,single,secondary,no,11604,yes,yes,cellular,1180,5,unknown,yes
40,entrepreneur,divorced,primary,no,9337,yes,yes,cellular,346,6,unknown,no
40,retired,single,secondary,no,12725,yes,no,cellular,577,1,unknown,no
37,retired,married,primary,no,1847,no,no,cellular,92,1,failure,no
44,self-employed,married,primary,no,11322,yes,no,cellular,137,2,unknown,no
61,blue-collar,married,secondary,no,7457,no,no,cellular,1079,1,unknown,yes
61,self-employed,divorced,tertiary,no,3112,yes,no,cellular,448,3,success,no
66,management,married,secondary,no,7649,no,no,telephone,1120,6,unknown,yes
60,retired,single,secondary,no,193,yes,no,cellular,671,5,unknown,yes
58,entrepreneur,married,primary,no,4821,yes,no,telephone,771,1,unknown,yes
45,entrepreneur,divorced,primary,no,4583,no,no,cellular,186,5,unknown,no
30,retired,married,tertiary,no,10074,no,no,cellular,554,2,unknown,yes
66,blue-collar,single,tertiary,no,11860,no,no,telephone,677,2,unknown,yes
58,management,married,tertiary,no,7812,yes,no,cellular,146,3,failure,yes
23,entrepreneur,married,tertiary,no,12473,no,yes,cellular,688,5,unknown,yes
21,self-employed,single,secondary,no,881,yes,no,cellular,926,4,unknown,no
41,retired,married,secondary,no,5043,no,yes,telephone,164,3,unknown,no
36,management,divorced,tertiary,no,9374,no,no,cellular,746,3,success,yes
43,technician,divorced,tertiary,no,4572,no,no,telephone,291,6,failure,no
61,blue-collar,divorced,tertiary,no,5428,yes,no,cellular,729,4,unknown,no
27,blue-collar,married,primary,no,8343,no,no,cellular,719,5,unknown,yes
28,technician,divorced,tertiary,no,2212,no,yes,telephone,516,4,unknown,no
68,self-employed,single,tertiary,no,12748,no,no,cellular,783,6,success,yes
47,management,married,tertiary,no,2155,no,no,cellular,542,1,unknown,no
53,blue-collar,divorced,tertiary,no,4170,yes,no,telephone,1081,2,failure,yes
32,self-employed,married,primary,no,5995,yes,no,cellular,797,2,unknown,no
63,retired,single,primary,no,14530,no,no,cellular,990,4,unknown,no
19,management,single,primary,no,11415,no,no,telephone,516,3,unknown,yes
58,self-employed,single,primary,no,7689,no,yes,cellular,324,3,unknown,no
33,entrepreneur,single,tertiary,no,8076,no,yes,cellular,829,4,unknown,yes
41,management,divorced,primary,no,606,yes,no,cellular,710,2,unknown,yes
70,technician,divorced,secondary,no,7340,no,no,cellular,967,1,unknown,yes
30,admin.,married,secondary,no,12859,yes,no,cellular,615,3,other,yes
59,retired,married,primary,no,6659,no,no,telephone,724,2,unknown,yes
69,management,single,tertiary,no,6555,no,no,telephone,687,1,unknown,yes
37,self-employed,divorced,tertiary,no,10801,yes,no,telephone,920,3,unknown,no
21,blue-collar,divorced,tertiary,no,7906,no,no,cellular,322,5,unknown,yes
26,blue-collar,single,tertiary,no,5772,no,yes,cellular,951,3,unknown,no
54,technician,divorced,secondary,no,10142,yes,no,cellular,411,4,unknown,no
25,management,married,tertiary,no,9524,yes,no,telephone,439,1,unknown,yes
29,self-employed,single,tertiary,no,4736,no,no,telephone,644,2,failure,no
58,technician,married,tertiary,no,2792,no,no,telephone,83,3,unknown,no
69,technician,divorced,primary,no,6023,no,no,telephone,868,5,unknown,no
59,blue-collar,married,secondary,no,5144,yes,no,cellular,294,4,unknown,no
25,technician,married,primary,no,14814,no,no,telephone,191,3,unknown,no
35,technician,divorced,secondary,no,1030,yes,no,cellular,380,6,unknown,no
39,admin.,single,primary,no,10009,no,no,cellular,883,5,unknown,yes
58,management,divorced,secondary,no,12684,no,no,telephone,179,6,unknown,no
48,self-employed,single,secondary,no,4621,no,no,telephone,846,2,failure,yes
24,retired,single,secondary,no,6866,yes,yes,telephone,816,5,unknown,no
28,retired,divorced,tertiary,no,12002,yes,no,telephone,1051,3,unknown,yes
43,self-employed,single,primary,no,297,yes,no,telephone,615,5,unknown,yes
26,management,divorced,secondary,no,5495,yes,yes,cellular,772,5,unknown,yes
46,management,divorced,tertiary,no,1608,no,no,telephone,1172,3,failure,yes
50,entrepreneur,divorced,primary,no,1745,no,no,telephone,335,5,other,yes
57,retired,single,secondary,no,11613,no,no,telephone,1182,3,unknown,yes
39,blue-collar,married,tertiary,no,14225,no,no,cellular,1001,3,success,yes
67,services,divorced,primary,no,2293,yes,no,telephone,332,6,unknown,no
62,blue-collar,single,primary,no,6361,yes,no,telephone,1057,5,other,no
65,admin.,divorced,primary,no,8689,yes,no,telephone,672,2,unknown,yes
52,retired,divorced,tertiary,no,12667,no,no,cellular,534,3,unknown,yes
37,management,divorced,primary,no,7511,yes,no,telephone,619,1,unknown,yes
43,retired,single,secondary,no,11200,yes,no,telephone,1011,2,unknown,yes
53,management,single,primary,no,9114,yes,yes,cellular,506,1,unknown,yes
48,blue-collar,divorced,primary,yes,8516,no,no,telephone,1007,6,unknown,no
38,management,divorced,primary,no,965,no,no,cellular,388,4,other,yes
20,entrepreneur,married,primary,no,13791,no,no,cellular,641,5,unknown,no
39,management,married,tertiary,no,7592,no,yes,telephone,588,2,failure,yes
64,self-employed,divorced,secondary,no,-270,no,no,cellular,389,5,other,no
70,entrepreneur,divorced,secondary,no,10465,yes,no,telephone,692,2,unknown,yes
46,management,married,secondary,no,8886,yes,no,cellular,157,6,unknown,no
43,management,divorced,primary,no,14911,yes,no,cellular,303,4,unknown,no
56,retired,married,tertiary,no,7214,no,no,cellular,536,6,failure,no
23,self-employed,divorced,tertiary,no,14528,no,yes,cellular,1129,2,unknown,no
46,blue-collar,divorced,primary,no,7508,yes,no,cellular,958,2,unknown,yes
21,self-employed,divorced,secondary,no,5987,yes,yes,cellular,179,1,unknown,no
52,admin.,single,secondary,no,6198,yes,yes,telephone,796,4,unknown,no
42,entrepreneur,single,tertiary,no,13828,yes,no,telephone,272,2,success,yes
26,services,single,primary,no,7085,no,no,telephone,500,2,unknown,yes
30,blue-collar,single,tertiary,no,12051,no,no,cellular,452,1,unknown,yes
56,admin.,single,tertiary,no,6691,yes,no,cellular,316,5,success,yes
64,retired,divorced,tertiary,no,12908,yes,no,cellular,1097,2,unknown,yes
53,technician,divorced,tertiary,no,7620,yes,no,telephone,1104,3,unknown,yes
37,entrepreneur,single,tertiary,no,13415,yes,no,cellular,978,1,unknown,no
53,technician,married,primary,no,4911,no,no,telephone,219,5,failure,yes
35,entrepreneur,divorced,tertiary,no,13813,yes,no,cellular,1011,2,other,yes
18,services,single,tertiary,no,11858,yes,no,cellular,842,2,unknown,no
42,self-employed,divorced,tertiary,no,3785,yes,no,telephone,231,6,unknown,no
31,retired,married,secondary,no,13657,yes,yes,telephone,1163,5,unknown,yes
27,services,married,primary,no,13153,yes,no,telephone,557,4,success,yes
49,self-employed,single,tertiary,no,2273,yes,no,cellular,1140,6,success,yes
22,admin.,single,secondary,no,9833,yes,no,cellular,477,5,unknown,yes
58,self-employed,divorced,secondary,yes,8219,no,yes,telephone,1127,3,unknown,no
61,entrepreneur,single,primary,no,8091,yes,no,telephone,755,3,failure,yes
43,self-employed,divorced,primary,no,3200,yes,no,cellular,94,1,unknown,no
48,admin.,divorced,primary,no,854,yes,no,telephone,1188,1,other,no
32,services,divorced,tertiary,no,262,no,no,telephone,1142,5,unknown,yes
38,admin.,single,tertiary,no,12946,no,no,cellular,642,2,unknown,yes
42,retired,married,tertiary,no,10793,no,no,telephone,139,1,unknown,no
39,entrepreneur,married,primary,no,12337,no,no,telephone,1162,4,unknown,yes
60,entrepreneur,single,tertiary,no,3537,no,yes,cellular,808,6,failure,yes
42,retired,married,primary,no,14949,yes,no,telephone,239,2,unknown,no
53,entrepreneur,single,primary,no,8580,yes,no,telephone,818,1,unknown,yes
23,services,divorced,tertiary,no,5737,yes,no,telephone,1039,2,unknown,yes
44,management,married,primary,no,14970,yes,no,cellular,967,1,unknown,yes
43,retired,divorced,secondary,no,4899,yes,no,cellular,645,3,unknown,yes
48,retired,single,secondary,no,4275,no,no,cellular,697,4,unknown,no
41,blue-collar,divorced,primary,no,8439,yes,no,cellular,975,6,unknown,no
62,blue-collar,married,tertiary,no,9876,yes,no,cellular,896,4,unknown,no
48,entrepreneur,divorced,tertiary,no,13748,no,no,telephone,1129,5,unknown,yes
67,services,divorced,tertiary,no,10100,no,no,telephone,709,4,unknown,yes
32,services,married,secondary,no,12154,no,no,cellular,736,1,unknown,yes
23,blue-collar,divorced,primary,no,5120,yes,no,telephone,743,4,unknown,no
46,retired,single,secondary,no,11145,yes,no,cellular,366,6,unknown,yes
28,retired,divorced,secondary,no,3298,no,no,cellular,915,4,unknown,yes
30,self-employed,divorced,secondary,no,11046,yes,no,cellular,238,5,unknown,no
47,blue-collar,married,tertiary,no,8146,no,no,telephone,833,5,unknown,yes
47,technician,divorced,tertiary,no,14551,no,yes,cellular,671,1,unknown,yes
41,technician,divorced,secondary,no,1758,no,no,telephone,1130,6,other,no
29,technician,married,secondary,no,4654,no,no,telephone,49,4,unknown,no
53,self-employed,married,tertiary,no,11134,no,no,cellular,1187,1,failure,yes
20,management,single,tertiary,no,12291,yes,no,telephone,1155,5,unknown,yes
67,retired,divorced,primary,no,6731,yes,no,cellular,536,3,other,yes
34,retired,single,secondary,no,1423,no,no,telephone,906,2,unknown,no
70,services,single,tertiary,no,4105,no,no,telephone,622,5,unknown,no
61,blue-collar,single,secondary,no,4043,no,yes,cellular,541,2,failure,no
66,entrepreneur,married,primary,no,3902,no,no,cellular,220,4,unknown,no
41,self-employed,married,secondary,no,13736,no,no,telephone,763,1,failure,yes
45,services,married,secondary,no,4146,yes,no,telephone,733,6,failure,yes
58,self-employed,single,primary,no,2088,yes,yes,telephone,444,6,other,no
37,technician,married,primary,no,3602,yes,no,cellular,136,4,unknown,no
66,services,married,tertiary,no,1059,yes,no,cellular,493,5,unknown,yes
62,retired,single,secondary,no,7326,yes,no,cellular,241,3,unknown,no
42,technician,divorced,tertiary,no,8191,no,no,cellular,931,3,failure,yes
27,entrepreneur,divorced,tertiary,no,3059,yes,yes,cellular,816,3,success,yes
26,services,married,tertiary,no,8566,no,no,telephone,84,6,other,no
56,services,divorced,secondary,no,394,no,no,cellular,1043,4,unknown,yes
56,blue-collar,divorced,primary,no,14801,yes,no,telephone,778,5,unknown,no
67,blue-collar,single,tertiary,no,3795,yes,no,telephone,1067,3,unknown,yes
44,entrepreneur,divorced,secondary,no,8291,yes,no,cellular,664,1,unknown,yes
69,technician,divorced,secondary,no,9892,no,no,cellular,665,6,unknown,no
33,admin.,single,primary,no,1400,yes,no,telephone,389,1,unknown,yes
18,technician,married,secondary,no,12328,no,no,telephone,289,6,failure,no
25,admin.,married,secondary,no,546,yes,no,cellular,1046,4,unknown,yes
54,technician,married,primary,no,1185,no,no,cellular,497,6,unknown,yes
18,services,single,secondary,no,14576,yes,no,cellular,1162,6,failure,yes
38,services,married,tertiary,no,13033,yes,no,cellular,397,2,failure,no
43,blue-collar,married,secondary,no,4590,yes,no,cellular,785,2,unknown,no
65,services,married,secondary,no,7583,no,no,cellular,338,1,success,yes
52,retired,divorced,tertiary,no,4988,yes,no,telephone,242,2,unknown,no
49,admin.,single,tertiary,no,219,no,no,telephone,792,4,success,yes
24,technician,divorced,secondary,no,8803,yes,no,cellular,514,3,unknown,yes
69,entrepreneur,divorced,tertiary,no,6917,yes,yes,cellular,308,5,unknown,yes
46,self-employed,married,secondary,no,5370,no,no,telephone,978,3,other,yes
69,management,divorced,tertiary,no,3022,no,no,cellular,538,3,unknown,yes
37,management,single,primary,no,13501,yes,no,cellular,223,4,unknown,no
25,admin.,single,primary,no,12995,yes,no,cellular,560,1,unknown,yes
59,self-employed,single,primary,no,13088,no,yes,telephone,133,2,other,no
64,entrepreneur,married,primary,no,6490,yes,no,cellular,593,3,unknown,yes
57,services,divorced,secondary,no,13963,no,yes,telephone,814,2,unknown,yes
69,services,divorced,tertiary,no,5766,no,no,telephone,734,5,unknown,yes
29,admin.,married,tertiary,no,14176,no,no,telephone,1114,3,failure,no
28,blue-collar,single,tertiary,no,8243,no,no,cellular,479,5,failure,no
40,technician,single,primary,no,12708,no,no,cellular,750,5,unknown,yes
30,self-employed,divorced,secondary,no,121,yes,no,cellular,70,5,unknown,no
57,services,single,secondary,no,14553,no,no,cellular,74,2,unknown,no
67,blue-collar,divorced,secondary,no,5620,no,no,cellular,719,3,unknown,no
64,entrepreneur,divorced,secondary,no,2354,no,no,telephone,487,6,unknown,yes
37,management,single,primary,no,11001,no,no,cellular,402,5,unknown,no
57,services,divorced,tertiary,no,7629,yes,no,cellular,740,3,unknown,no
23,retired,married,primary,no,3588,no,no,cellular,32,1,unknown,no
28,entrepreneur,married,secondary,no,5649,yes,no,cellular,363,4,unknown,no
36,admin.,married,secondary,no,715,yes,no,cellular,183,5,success,no
39,self-employed,divorced,primary,no,10209,yes,no,cellular,139,1,unknown,no
44,management,divorced,secondary,no,1071,yes,no,telephone,344,1,unknown,no
36,self-employed,single,primary,no,2298,no,no,telephone,266,3,failure,no
60,management,single,tertiary,no,2529,yes,no,cellular,942,1,unknown,yes
32,management,divorced,primary,no,10910,no,yes,telephone,1138,4,success,yes
53,admin.,married,tertiary,no,8273,no,no,cellular,1005,3,unknown,no
63,admin.,divorced,tertiary,no,12614,no,no,cellular,276,4,unknown,no
31,services,single,primary,no,10692,yes,no,cellular,558,3,other,no
22,blue-collar,married,tertiary,no,4843,no,no,cellular,1100,4,unknown,yes
54,blue-collar,single,tertiary,no,12373,yes,no,telephone,871,3,unknown,yes
56,self-employed,single,primary,no,1856,no,no,telephone,109,4,other,no
33,admin.,divorced,secondary,no,14196,yes,no,telephone,666,3,failure,no
61,blue-collar,single,primary,no,11685,yes,no,telephone,883,5,unknown,yes
31,entrepreneur,divorced,secondary,no,13708,yes,yes,cellular,164,3,failure,no
67,admin.,single,primary,no,2788,no,no,telephone,133,3,failure,no
70,self-employed,divorced,secondary,no,1529,no,no,telephone,943,2,success,yes
53,retired,married,primary,no,3737,no,no,telephone,86,4,unknown,no
67,services,single,tertiary,no,2887,yes,no,cellular,48,4,other,no
56,admin.,single,secondary,no,14950,yes,no,telephone,897,4,other,yes
31,self-employed,married,tertiary,no,9717,yes,yes,telephone,1179,6,unknown,yes
61,blue-collar,married,primary,no,4029,no,no,telephone,641,2,unknown,no
21,entrepreneur,divorced,secondary,no,11317,yes,no,telephone,561,4,unknown,no
55,services,married,tertiary,no,10744,yes,no,telephone,1068,3,failure,no
53,technician,married,primary,no,11639,yes,no,cellular,717,6,unknown,yes
65,management,married,secondary,no,9093,yes,no,telephone,139,6,unknown,no
22,self-employed,single,tertiary,no,10652,yes,no,cellular,338,2,success,yes
54,self-employed,single,secondary,no,2454,no,no,cellular,671,6,unknown,yes
31,technician,divorced,primary,no,12010,no,yes,telephone,909,4,unknown,yes
18,admin.,divorced,primary,no,-270,no,no,cellular,66,6,unknown,no
32,retired,married,primary,no,7746,no,no,cellular,640,3,unknown,yes
51,retired,married,tertiary,no,5115,no,no,cellular,367,4,unknown,yes
26,services,divorced,primary,no,2268,yes,no,cellular,798,6,unknown,yes
21,admin.,divorced,primary,no,-177,yes,yes,telephone,808,1,unknown,yes
27,services,divorced,tertiary,no,4433,yes,yes,telephone,310,4,failure,yes
64,blue-collar,married,primary,no,7654,yes,no,telephone,1101,2,unknown,yes
28,admin.,divorced,secondary,no,10775,no,no,cellular,56,6,unknown,yes
54,self-employed,single,primary,no,729,no,yes,telephone,503,4,success,yes
47,admin.,single,primary,no,13463,yes,no,telephone,902,6,unknown,no
20,admin.,single,tertiary,no,4884,yes,no,telephone,220,3,failure,no
43,entrepreneur,married,secondary,no,10803,no,no,cellular,261,2,unknown,yes
28,blue-collar,married,tertiary,no,8821,no,no,telephone,764,5,unknown,yes
64,technician,married,secondary,no,6238,yes,yes,telephone,55,6,other,no
65,services,divorced,secondary,no,10776,no,yes,cellular,1016,3,unknown,yes
27,admin.,single,tertiary,no,7783,no,no,cellular,183,4,unknown,no
35,admin.,divorced,primary,no,5703,yes,no,telephone,939,5,unknown,no
46,retired,single,secondary,no,-209,yes,no,cellular,216,5,success,no
50,services,divorced,tertiary,no,5084,yes,yes,cellular,960,3,unknown,yes
48,retired,divorced,secondary,no,11940,no,yes,telephone,627,5,unknown,yes
20,technician,married,primary,no,11665,no,yes,cellular,414,1,success,yes
47,services,divorced,secondary,no,6290,yes,no,cellular,952,4,unknown,no
26,self-employed,single,tertiary,no,8564,no,no,telephone,1071,2,unknown,yes
70,technician,single,secondary,no,9431,no,no,telephone,887,5,other,no
35,entrepreneur,married,secondary,no,1685,yes,no,telephone,1151,3,failure,no
58,services,single,primary,no,4260,no,no,cellular,394,5,unknown,no
63,blue-collar,married,tertiary,no,8849,no,no,telephone,895,1,unknown,yes
27,admin.,divorced,primary,no,11791,no,no,telephone,329,1,unknown,yes
66,admin.,married,secondary,no,13721,no,no,cellular,1179,4,unknown,no
69,management,divorced,tertiary,no,5751,yes,no,telephone,1160,1,unknown,yes
57,self-employed,single,tertiary,no,10110,yes,no,cellular,426,3,unknown,no
22,technician,single,tertiary,no,5680,yes,no,telephone,296,2,unknown,no
39,self-employed,divorced,primary,no,14714,yes,yes,telephone,1034,5,unknown,yes
63,retired,divorced,primary,no,8029,yes,no,telephone,1142,5,unknown,yes
31,retired,married,secondary,no,11831,no,no,cellular,264,6,unknown,no
59,services,single,tertiary,no,5748,no,no,telephone,555,5,failure,yes
51,retired,divorced,tertiary,no,218,yes,no,telephone,1082,1,success,yes
67,admin.,divorced,primary,no,9813,no,no,telephone,242,2,unknown,no
65,entrepreneur,divorced,primary,no,2019,yes,no,cellular,209,1,unknown,no
53,blue-collar,divorced,primary,no,6178,yes,no,telephone,677,1,unknown,yes
18,blue-collar,divorced,tertiary,no,13397,yes,no,cellular,623,6,unknown,yes
66,self-employed,married,secondary,no,4,yes,no,cellular,830,5,unknown,no
37,retired,single,tertiary,no,1816,yes,yes,telephone,1130,5,success,yes
65,retired,single,secondary,no,13450,yes,no,cellular,547,2,unknown,no
54,admin.,divorced,secondary,no,698,yes,yes,cellular,434,6,unknown,no
40,technician,divorced,tertiary,no,4171,no,no,telephone,1025,4,unknown,yes
62,technician,divorced,tertiary,no,4682,no,no,telephone,534,2,failure,no
35,retired,single,tertiary,no,13883,yes,no,telephone,1027,5,unknown,yes
23,management,single,tertiary,no,11518,no,yes,cellular,68,5,unknown,no
55,entrepreneur,divorced,primary,no,8537,yes,no,telephone,334,3,unknown,no
55,management,single,secondary,no,983,yes,no,cellular,369,5,unknown,yes
54,technician,divorced,tertiary,no,5378,yes,no,cellular,158,3,unknown,yes
31,retired,married,secondary,no,13943,yes,no,telephone,241,6,success,no
35,management,divorced,tertiary,no,5671,no,no,cellular,1088,3,unknown,no
51,entrepreneur,married,secondary,no,7398,no,yes,cellular,930,2,unknown,yes
35,services,single,primary,no,9363,no,yes,cellular,879,3,failure,yes
48,self-employed,single,tertiary,no,13153,yes,no,cellular,359,2,unknown,yes
54,technician,single,primary,no,2449,yes,no,cellular,610,1,unknown,no
48,self-employed,single,primary,no,9344,yes,no,cellular,1076,3,unknown,yes
47,blue-collar,single,secondary,no,1278,yes,no,telephone,336,5,unknown,no
57,admin.,divorced,tertiary,no,1026,yes,yes,cellular,913,5,unknown,no
62,entrepreneur,single,secondary,no,5746,yes,no,cellular,901,2,unknown,no
23,management,divorced,tertiary,no,2596,yes,no,cellular,1100,1,unknown,yes
31,retired,married,secondary,no,6480,no,no,telephone,1186,3,unknown,no
43,services,married,tertiary,no,7404,yes,no,telephone,549,3,unknown,no
43,technician,divorced,primary,no,6817,no,no,cellular,469,5,unknown,yes
53,admin.,single,secondary,no,-414,no,no,telephone,921,1,unknown,yes
23,admin.,divorced,secondary,no,6064,no,no,cellular,388,6,unknown,yes
60,management,single,primary,no,7864,yes,no,cellular,103,3,unknown,yes
28,blue-collar,married,secondary,no,5974,yes,no,cellular,170,1,unknown,no
53,retired,married,secondary,no,2687,yes,no,cellular,564,2,unknown,yes
22,management,married,primary,no,3722,no,no,telephone,936,4,unknown,no
66,retired,married,tertiary,no,9114,no,no,telephone,168,4,unknown,no
61,services,married,secondary,no,7962,yes,no,telephone,538,3,unknown,no
70,retired,single,tertiary,no,7307,yes,no,telephone,404,6,unknown,no
49,services,single,tertiary,no,3848,yes,no,cellular,759,2,failure,yes
23,self-employed,divorced,primary,no,8371,no,no,telephone,675,4,other,no
54,management,married,primary,no,14507,yes,no,cellular,140,5,failure,no
52,admin.,divorced,secondary,no,10744,no,no,cellular,1091,4,unknown,yes
