TweetID,Brand_Topic,Sentiment_Label,Retweet_Count,Like_Count,User_Followers
100068,Amazon,Negative,161,534,13436
100069,Meta,Neutral,122,543,25988
100070,Microsoft,Neutral,153,936,20770
100071,Apple,Positive,318,1153,6602
100072,Apple,Positive,259,543,8730
100073,Google,Neutral,450,500,24267
100074,Google,Positive,426,1112,46157
100075,Google,Negative,413,1083,562
100076,Meta,Neutral,153,212,8850
100077,Google,Positive,54,1133,10237
100078,Google,Positive,107,702,13392
100079,Meta,Negative,135,1035,32066
100080,Google,Neutral,433,104,6098
100081,Meta,Negative,141,90,282
100082,Google,Neutral,326,536,10639
100083,Meta,Negative,361,875,36809
100084,Apple,Positive,353,305,35805
100085,Apple,Neutral,298,1131,9755
100086,Tesla,Positive,157,746,2664
100087,Google,Positive,127,210,23228
100088,Amazon,Neutral,208,316,15564
100089,Microsoft,Irrelevant,415,362,27070
100090,Apple,Positive,170,843,43953
100091,Meta,Neutral,136,326,46008
100092,Apple,Positive,19,963,14627
100093,Microsoft,Neutral,235,716,20050
100094,Microsoft,Positive,337,395,26163
100095,Google,Positive,35,571,23062
100096,Meta,Negative,347,1098,21752
100097,Apple,Positive,133,365,38099
100098,Google,Positive,305,889,22704
100099,Meta,Neutral,223,1047,7628
100100,Tesla,Neutral,97,521,2958
100101,Meta,Negative,266,1102,45063
100102,Meta,Irrelevant,377,403,23919
100103,Tesla,Positive,340,676,40889
100104,Google,Neutral,63,615,33284
100105,Google,Neutral,167,824,45742
100106,Google,Negative,98,861,43626
100107,Tesla,Negative,89,1165,19773
100108,Tesla,Negative,0,622,18853
100109,Microsoft,Negative,296,659,30523
100110,Tesla,Positive,109,1046,31060
100111,Meta,Positive,43,581,33830
100112,Meta,Negative,171,191,49276
100113,Microsoft,Neutral,115,407,9706
100114,Apple,Positive,243,149,29896
100115,Tesla,Neutral,294,398,47127
100116,Meta,Positive,204,499,9721
100117,Meta,Neutral,384,218,27912
100118,Microsoft,Positive,356,1060,30494
100119,Apple,Negative,434,248,29964
100120,Microsoft,Neutral,341,1087,36679
100121,Amazon,Positive,386,906,40200
100122,Meta,Neutral,218,1122,29273
100123,Microsoft,Neutral,243,921,17036
100124,Microsoft,Neutral,141,1067,31808
100125,Meta,Positive,225,158,46812
100126,Google,Positive,171,654,35449
100127,Apple,Positive,118,784,45528
100128,Microsoft,Neutral,32,849,26762
100129,Google,Negative,212,127,13605
100130,Tesla,Positive,394,1196,45631
100131,Apple,Neutral,391,1179,24978
100132,Tesla,Positive,180,611,49429
100133,Tesla,Neutral,427,858,35322
100134,Meta,Neutral,409,451,32046
100135,Microsoft,Positive,248,59,25534
100136,Google,Neutral,408,828,47509
100137,Microsoft,Neutral,65,1093,1817
100138,Tesla,Negative,339,55,5551
100139,Meta,Negative,443,945,11959
100140,Apple,Positive,167,433,29849
100141,Google,Positive,450,776,18285
100142,Tesla,Positive,41,963,1320
100143,Meta,Negative,179,459,42657
100144,Apple,Neutral,333,82,49479
100145,Apple,Neutral,102,41,40769
100146,Microsoft,Positive,242,234,37010
100147,Microsoft,Negative,131,755,11046
100148,Amazon,Negative,382,234,10782
100149,Google,Positive,13,638,37785
100150,Meta,Irrelevant,192,812,46909
100151,Microsoft,Positive,353,497,6728
100152,Meta,Neutral,435,247,37138
100153,Apple,Positive,219,758,4569
100154,Amazon,Negative,6,860,32175
100155,Apple,Positive,185,941,46404
100156,Microsoft,Negative,375,1068,42678
100157,Google,Negative,275,990,30515
100158,Tesla,Negative,303,549,21172
100159,Microsoft,Neutral,44,571,29593
100160,Microsoft,Neutral,291,776,22096
100161,Apple,Positive,166,372,32002
100162,Microsoft,Positive,132,697,18377
100163,Amazon,Neutral,141,1138,715
100164,Amazon,Irrelevant,43,494,47240
100165,Tesla,Negative,388,492,45309
100166,Tesla,Negative,251,917,1180
100167,Apple,Positive,207,498,20117
100168,Meta,Negative,242,1133,34844
100169,Google,Positive,381,1127,21728
100170,Google,Neutral,138,627,16525
100171,Microsoft,Positive,98,646,7885
100172,Meta,Negative,390,379,12602
100173,Microsoft,Neutral,141,1074,39161
100174,Google,Irrelevant,426,397,19464
100175,Microsoft,Positive,154,28,46450
100176,Amazon,Positive,23,111,36314
100177,Google,Neutral,64,1005,6773
100178,Apple,Negative,240,980,28916
100179,Google,Positive,26,517,31358
100180,Apple,Neutral,205,1007,4905
100181,Amazon,Negative,27,310,9827
100182,Amazon,Irrelevant,43,508,7812
100183,Amazon,Neutral,310,462,34297
100184,Tesla,Negative,226,608,38619
100185,Tesla,Positive,317,123,40002
100186,Meta,Positive,390,425,41043
100187,Microsoft,Positive,41,321,15769
100188,Microsoft,Negative,80,5,26822
100189,Tesla,Negative,240,596,2189
100190,Microsoft,Positive,144,929,4714
100191,Meta,Positive,135,405,27911
100192,Apple,Positive,331,305,17458
100193,Microsoft,Positive,84,629,39046
100194,Meta,Neutral,147,899,8199
100195,Tesla,Negative,358,824,17891
100196,Amazon,Negative,224,164,39242
100197,Apple,Neutral,376,660,39614
100198,Google,Positive,117,1178,38527
100199,Apple,Irrelevant,344,551,37814
100200,Apple,Neutral,89,963,34060
100201,Meta,Negative,142,371,38410
100202,Tesla,Negative,251,186,30852
100203,Google,Positive,164,214,10589
100204,Google,Positive,253,590,43473
100205,Tesla,Negative,281,75,29857
100206,Apple,Positive,165,237,26538
100207,Amazon,Neutral,0,1111,30326
100208,Tesla,Positive,265,740,40854
100209,Tesla,Negative,389,105,13390
100210,Google,Negative,147,897,45810
100211,Tesla,Positive,322,490,46566
100212,Microsoft,Positive,7,1131,26788
100213,Apple,Positive,430,232,30291
100214,Apple,Negative,78,1020,47013
100215,Google,Negative,139,850,31671
100216,Tesla,Positive,282,296,25188
100217,Microsoft,Irrelevant,260,279,4625
100218,Google,Neutral,437,849,22324
100219,Amazon,Positive,1,579,47632
100220,Google,Neutral,296,1002,9788
100221,Tesla,Negative,176,680,36220
100222,Amazon,Positive,164,386,45761
100223,Microsoft,Negative,119,841,2910
100224,Google,Neutral,361,780,25352
100225,Meta,Neutral,333,311,32511
100226,Apple,Positive,302,679,6627
100227,Tesla,Positive,233,31,47396
100228,Microsoft,Negative,335,316,4953
100229,Tesla,Negative,135,693,40895
100230,Meta,Positive,41,672,44244
100231,Amazon,Positive,162,999,35506
100232,Apple,Negative,120,588,14958
100233,Meta,Positive,50,205,29126
100234,Microsoft,Neutral,14,94,21308
100235,Apple,Positive,191,882,9590
100236,Microsoft,Negative,289,368,11190
100237,Microsoft,Positive,445,783,40663
100238,Meta,Positive,298,293,15266
100239,Tesla,Negative,235,522,43752
100240,Apple,Neutral,238,589,44457
100241,Amazon,Positive,226,707,38557
100242,Google,Negative,217,512,29989
100243,Google,Positive,196,989,7039
100244,Microsoft,Positive,183,1177,19440
100245,Meta,Positive,424,810,18038
100246,Apple,Negative,351,100,39791
100247,Meta,Negative,146,471,39834
100248,Google,Positive,97,513,44467
100249,Meta,Neutral,348,280,41222
100250,Apple,Neutral,330,80,20296
100251,Tesla,Positive,186,269,5956
100252,Google,Positive,212,359,13209
100253,Microsoft,Neutral,448,749,34839
100254,Amazon,Irrelevant,425,336,16890
100255,Tesla,Irrelevant,151,693,7597
100256,Tesla,Irrelevant,72,462,44373
100257,Meta,Neutral,203,1141,24021
100258,Apple,Neutral,7,541,35214
100259,Apple,Positive,344,536,38359
100260,Tesla,Negative,190,221,44276
100261,Microsoft,Negative,317,1149,21546
100262,Amazon,Positive,32,950,45995
100263,Google,Negative,59,286,3021
100264,Apple,Positive,252,237,6419
100265,Microsoft,Neutral,69,795,29779
100266,Google,Neutral,380,1106,27517
100267,Amazon,Neutral,79,849,42970
100268,Apple,Neutral,315,835,18383
100269,Apple,Negative,111,908,29193
100270,Microsoft,Neutral,50,752,35732
100271,Meta,Positive,203,565,12489
100272,Apple,Neutral,421,931,6057
100273,Meta,Positive,327,43,3364
100274,Google,Positive,64,1156,13498
100275,Apple,Neutral,283,424,38479
100276,Microsoft,Neutral,119,672,9720
100277,Amazon,Positive,439,296,8569
100278,Amazon,Positive,89,225,43373
100279,Apple,Positive,183,487,38641
100280,Google,Positive,135,107,8357
100281,Meta,Negative,58,130,31261
100282,Tesla,Negative,262,223,29672
100283,Amazon,Positive,314,88,47710
100284,Meta,Negative,234,63,4036
100285,Tesla,Negative,218,221,32180
100286,Meta,Irrelevant,37,165,21159
100287,Amazon,Positive,64,563,40965
100288,Meta,Negative,364,665,25012
100289,Amazon,Negative,232,1035,39727
100290,Tesla,Positive,359,234,42957
100291,Meta,Neutral,282,440,28235
100292,Tesla,Neutral,211,694,29770
100293,Tesla,Positive,48,640,28018
100294,Google,Neutral,191,312,45061
100295,Tesla,Positive,425,174,6159
100296,Tesla,Positive,378,763,8577
100297,Amazon,Positive,287,1150,21653
100298,Meta,Positive,181,866,47305
100299,Apple,Irrelevant,307,639,23095
100300,Apple,Negative,108,316,43089
100301,Tesla,Positive,55,717,36505
100302,Google,Positive,142,1175,14871
100303,Tesla,Negative,392,1140,1770
100304,Amazon,Irrelevant,424,547,1947
100305,Microsoft,Positive,390,632,22320
100306,Google,Positive,445,293,37164
100307,Meta,Negative,72,62,6063
100308,Meta,Negative,192,859,29780
100309,Google,Positive,159,664,37247
100310,Amazon,Positive,26,318,10366
100311,Amazon,Positive,41,557,29089
100312,Meta,Negative,310,905,27193
100313,Google,Positive,262,233,22671
100314,Tesla,Positive,347,996,34583
100315,Meta,Positive,112,809,39327
100316,Apple,Positive,154,432,9043
100317,Google,Positive,61,15,32646
100318,Meta,Negative,66,778,34953
100319,Meta,Positive,286,725,4773
100320,Tesla,Neutral,21,893,1278
100321,Tesla,Neutral,441,641,37782
100322,Tesla,Negative,363,855,19023
100323,Apple,Positive,166,351,40559
100324,Tesla,Negative,185,180,28670
100325,Apple,Positive,301,820,34388
100326,Apple,Positive,158,695,14570
100327,Google,Neutral,39,1045,41549
100328,Apple,Positive,99,715,23059
100329,Meta,Irrelevant,330,302,15534
100330,Apple,Positive,101,355,39528
100331,Microsoft,Neutral,335,154,11659
100332,Meta,Negative,386,1154,49849
100333,Amazon,Negative,289,661,41155
100334,Google,Positive,34,960,29030
100335,Meta,Positive,140,115,23114
100336,Amazon,Positive,236,925,2514
100337,Apple,Positive,146,157,42298
100338,Apple,Negative,259,787,30374
100339,Amazon,Negative,405,84,29523
100340,Amazon,Neutral,164,974,32907
100341,Microsoft,Irrelevant,230,211,22557
100342,Meta,Positive,330,353,2615
100343,Microsoft,Neutral,224,1073,34308
100344,Amazon,Positive,190,579,25439
100345,Tesla,Negative,347,107,41395
100346,Meta,Positive,168,193,36616
100347,Meta,Positive,129,307,21897
100348,Apple,Negative,72,716,20381
100349,Meta,Neutral,200,264,39046
100350,Meta,Irrelevant,158,1144,24736
100351,Meta,Neutral,416,261,43966
100352,Meta,Neutral,378,1078,6174
100353,Meta,Neutral,260,741,1244
100354,Google,Positive,109,699,31918
100355,Microsoft,Positive,70,317,5107
100356,Google,Neutral,51,1039,35424
100357,Meta,Neutral,19,689,40553
100358,Microsoft,Negative,78,332,11901
100359,Meta,Neutral,414,339,47313
100360,Tesla,Positive,186,486,29161
100361,Amazon,Positive,383,919,15385
100362,Amazon,Positive,414,960,12765
100363,Google,Neutral,292,902,30306
100364,Google,Neutral,257,1080,27487
100365,Microsoft,Neutral,410,283,16434
100366,Apple,Negative,447,760,36392
100367,Apple,Negative,264,255,18731
100368,Apple,Neutral,139,920,33693
100369,Microsoft,Neutral,46,454,29615
100370,Google,Neutral,212,109,26032
100371,Amazon,Positive,197,167,24620
100372,Microsoft,Positive,50,686,9621
100373,Microsoft,Positive,424,967,45667
100374,Microsoft,Neutral,240,918,40377
100375,Apple,Neutral,9,524,14183
100376,Microsoft,Negative,372,1080,27788
100377,Apple,Neutral,121,616,8035
100378,Apple,Positive,327,936,4166
100379,Apple,Neutral,255,1097,1127
100380,Meta,Negative,123,294,19138
100381,Tesla,Positive,180,492,37449
100382,Tesla,Positive,342,175,34357
100383,Google,Positive,269,1114,33298
100384,Amazon,Negative,199,962,2903
100385,Meta,Positive,191,519,49026
100386,Apple,Positive,34,706,15852
100387,Meta,Neutral,53,1191,48231
100388,Google,Positive,180,1118,22237
100389,Meta,Positive,398,951,45623
100390,Tesla,Negative,415,276,4185
100391,Meta,Neutral,234,75,19281
100392,Microsoft,Positive,102,85,20732
100393,Google,Negative,417,1112,31074
100394,Google,Positive,331,391,18800
100395,Google,Neutral,24,679,17955
100396,Apple,Neutral,223,819,48763
100397,Tesla,Neutral,197,694,12293
100398,Tesla,Negative,188,1063,17529
100399,Apple,Negative,40,881,39532
100400,Microsoft,Negative,164,210,5297
100401,Google,Neutral,156,913,39543
100402,Meta,Negative,353,909,23088
100403,Tesla,Positive,445,722,40344
100404,Tesla,Positive,405,117,4967
100405,Meta,Negative,186,1050,49195
100406,Meta,Positive,15,292,39867
100407,Meta,Neutral,17,258,4456
100408,Microsoft,Neutral,187,741,25140
100409,Amazon,Positive,78,921,24361
100410,Google,Positive,39,1175,9073
100411,Amazon,Positive,160,570,16408
100412,Apple,Positive,95,1022,33980
100413,Tesla,Neutral,60,536,17108
100414,Meta,Negative,313,584,45530
100415,Tesla,Positive,69,151,29675
100416,Microsoft,Neutral,227,179,44740
100417,Google,Neutral,363,132,36094
100418,Amazon,Positive,153,322,46699
100419,Meta,Irrelevant,326,356,23740
100420,Amazon,Positive,102,284,15564
100421,Tesla,Positive,283,1172,24226
100422,Tesla,Negative,282,265,40154
100423,Apple,Positive,203,980,34501
100424,Tesla,Negative,421,1177,4883
100425,Microsoft,Irrelevant,328,151,29539
100426,Tesla,Negative,176,262,36180
100427,Meta,Negative,393,264,28402
100428,Amazon,Irrelevant,28,254,34004
100429,Microsoft,Positive,82,660,46536
100430,Microsoft,Positive,265,581,5218
100431,Google,Positive,282,562,8253
100432,Meta,Positive,273,191,32986
100433,Meta,Positive,297,315,11269
100434,Meta,Negative,309,691,36987
100435,Apple,Neutral,14,166,3029
100436,Meta,Neutral,135,431,37545
100437,Tesla,Negative,15,1019,41151
100438,Amazon,Positive,154,989,16098
100439,Meta,Negative,232,149,45178
100440,Apple,Positive,212,991,30487
100441,Microsoft,Positive,73,640,47128
100442,Google,Neutral,440,707,26180
100443,Microsoft,Neutral,263,1150,7008
100444,Google,Positive,62,547,29514
100445,Microsoft,Positive,25,594,25225
100446,Amazon,Negative,443,327,21508
100447,Amazon,Neutral,97,326,32704
100448,Amazon,Negative,450,631,32645
100449,Apple,Positive,201,1035,30015
100450,Microsoft,Positive,180,99,3362
100451,Google,Positive,431,963,18776
100452,Amazon,Positive,55,882,8827
100453,Google,Neutral,391,825,24032
100454,Apple,Positive,291,1150,12806
100455,Google,Negative,37,791,33096
100456,Tesla,Negative,143,243,8482
100457,Apple,Positive,406,694,36608
100458,Google,Neutral,101,1042,26355
100459,Amazon,Positive,19,280,46815
100460,Google,Neutral,265,935,9810
100461,Amazon,Neutral,71,671,40228
100462,Google,Positive,315,612,38960
100463,Google,Negative,260,1090,32152
100464,Meta,Negative,243,34,24190
100465,Google,Neutral,213,1195,20213
100466,Meta,Neutral,322,54,39169
100467,Tesla,Positive,335,1184,37905
100468,Microsoft,Neutral,298,983,11224
100469,Amazon,Negative,317,778,9734
100470,Meta,Positive,293,225,12553
100471,Apple,Positive,214,310,27113
100472,Meta,Positive,256,965,48273
100473,Meta,Positive,70,1062,13638
100474,Amazon,Positive,339,979,34487
100475,Tesla,Positive,88,941,34989
100476,Google,Negative,346,541,40031
100477,Tesla,Positive,126,571,36624
100478,Google,Positive,152,591,46246
100479,Microsoft,Neutral,250,649,31494
100480,Google,Negative,407,560,18910
100481,Apple,Negative,278,777,25906
100482,Google,Irrelevant,411,299,19085
100483,Apple,Positive,365,161,22749
100484,Tesla,Negative,382,981,14073
100485,Microsoft,Neutral,138,1151,45674
100486,Google,Positive,315,490,15939
100487,Apple,Negative,271,462,41858
100488,Microsoft,Positive,211,676,47062
100489,Tesla,Positive,394,281,389
100490,Amazon,Irrelevant,80,833,42837
100491,Tesla,Negative,102,588,21098
100492,Google,Negative,393,183,42799
100493,Amazon,Positive,378,76,11523
100494,Tesla,Neutral,90,74,26067
100495,Tesla,Positive,383,592,2505
100496,Apple,Positive,308,219,22007
100497,Google,Positive,328,1112,34411
100498,Tesla,Neutral,68,1032,30722
100499,Google,Positive,57,677,10699
100500,Meta,Negative,131,381,973
100501,Meta,Positive,151,1162,44247
100502,Microsoft,Positive,438,830,28079
100503,Amazon,Positive,205,195,12159
100504,Microsoft,Negative,127,13,17140
100505,Tesla,Positive,385,546,21652
100506,Google,Negative,293,23,17191
100507,Meta,Positive,120,127,43814
100508,Apple,Positive,81,830,45012
100509,Amazon,Irrelevant,360,636,45288
100510,Apple,Negative,151,752,40330
100511,Microsoft,Positive,68,979,10089
100512,Tesla,Negative,310,765,27302
100513,Meta,Negative,241,1100,43572
100514,Microsoft,Neutral,348,167,34489
100515,Tesla,Negative,185,159,37023
100516,Apple,Positive,280,1035,13298
100517,Amazon,Negative,84,671,34151
100518,Tesla,Positive,105,1194,32085
100519,Apple,Neutral,228,113,29766
100520,Microsoft,Negative,233,1154,3833
100521,Amazon,Negative,413,631,47450
100522,Apple,Positive,418,6,48927
100523,Microsoft,Negative,23,867,22629
100524,Meta,Positive,30,141,30987
100525,Apple,Positive,92,277,42092
100526,Meta,Negative,215,766,25116
100527,Tesla,Neutral,193,769,5309
100528,Meta,Irrelevant,447,1104,8765
100529,Meta,Neutral,60,365,35259
100530,Tesla,Negative,372,456,277
100531,Apple,Irrelevant,237,1115,27845
100532,Amazon,Positive,117,506,30237
100533,Google,Positive,96,231,2161
100534,Meta,Negative,392,32,15822
100535,Microsoft,Positive,304,68,29307
100536,Amazon,Neutral,446,99,16088
100537,Meta,Positive,224,479,35423
100538,Microsoft,Neutral,397,115,9233
100539,Amazon,Irrelevant,119,1179,20949
100540,Amazon,Negative,344,656,15575
100541,Google,Neutral,338,1067,14536
100542,Tesla,Positive,31,1140,38825
100543,Meta,Irrelevant,320,874,36478
100544,Tesla,Positive,176,780,34421
100545,Google,Neutral,209,305,19703
100546,Tesla,Positive,275,969,15842
100547,Microsoft,Positive,362,295,30394
100548,Apple,Negative,213,1141,34783
100549,Microsoft,Positive,130,416,21694
100550,Meta,Positive,230,759,6109
100551,Amazon,Neutral,97,105,17643
100552,Tesla,Negative,308,80,4819
100553,Microsoft,Neutral,300,1144,14272
100554,Tesla,Positive,170,620,1054
100555,Microsoft,Irrelevant,379,240,48997
100556,Tesla,Neutral,356,418,26043
100557,Microsoft,Negative,397,579,24997
100558,Tesla,Negative,183,631,17191
100559,Google,Negative,254,954,6512
100560,Meta,Negative,429,655,13362
100561,Google,Positive,23,1152,14551
100562,Meta,Positive,133,1133,38325
100563,Amazon,Neutral,151,312,12907
100564,Google,Positive,291,503,32772
100565,Amazon,Neutral,350,691,16914
100566,Tesla,Irrelevant,328,1004,30250
100567,Microsoft,Neutral,180,346,9222
100568,Meta,Negative,94,1110,42111
100569,Apple,Positive,429,152,43842
100570,Apple,Neutral,211,281,41383
100571,Microsoft,Positive,77,18,14384
100572,Amazon,Negative,30,989,43256
100573,Tesla,Positive,272,1129,27007
100574,Apple,Positive,369,562,35160
100575,Google,Positive,416,881,11798
100576,Apple,Neutral,268,304,15842
100577,Microsoft,Negative,129,725,17569
100578,Tesla,Positive,207,940,37077
100579,Microsoft,Irrelevant,115,614,44879
100580,Apple,Negative,439,64,6177
100581,Tesla,Positive,282,974,3727
100582,Meta,Positive,87,169,32808
100583,Tesla,Negative,169,1158,6299
100584,Amazon,Irrelevant,117,432,45419
100585,Amazon,Negative,23,152,44904
100586,Google,Neutral,288,67,11804
100587,Google,Positive,106,295,49349
100588,Meta,Neutral,39,612,10696
100589,Amazon,Positive,427,796,44420
100590,Amazon,Positive,386,286,45224
100591,Meta,Positive,381,708,3569
100592,Apple,Positive,429,155,22371
100593,Amazon,Neutral,304,812,21439
100594,Apple,Negative,401,922,32202
100595,Microsoft,Positive,192,884,12222
100596,Meta,Negative,194,175,40591
100597,Google,Neutral,365,150,5426
100598,Google,Positive,364,315,48524
100599,Tesla,Positive,54,187,390
100600,Google,Positive,389,552,6749
100601,Microsoft,Positive,220,919,36552
100602,Amazon,Negative,52,53,5923
100603,Google,Negative,305,664,25296
100604,Apple,Positive,198,173,47553
100605,Amazon,Irrelevant,124,1171,34201
100606,Microsoft,Neutral,86,284,17673
100607,Google,Positive,74,129,11008
100608,Tesla,Positive,153,991,5091
100609,Google,Positive,126,1015,38965
100610,Amazon,Positive,54,277,20016
100611,Apple,Neutral,170,778,21646
100612,Tesla,Positive,417,278,19739
100613,Google,Negative,355,411,31442
100614,Google,Positive,203,653,19150
100615,Meta,Neutral,251,1179,15937
100616,Google,Positive,418,804,23971
100617,Apple,Neutral,102,1117,11841
100618,Meta,Neutral,13,945,46473
100619,Microsoft,Negative,149,141,26863
100620,Meta,Negative,324,620,15911
100621,Google,Neutral,366,866,24756
100622,Apple,Positive,306,981,38207
100623,Tesla,Negative,445,856,35678
100624,Apple,Neutral,184,1099,38966
100625,Meta,Irrelevant,55,508,43146
100626,Meta,Positive,331,90,36961
100627,Meta,Neutral,204,679,28260
100628,Apple,Positive,132,454,33517
100629,Meta,Negative,297,1178,14535
100630,Tesla,Positive,237,1024,9929
100631,Google,Irrelevant,247,214,19411
100632,Tesla,Neutral,43,237,47901
100633,Microsoft,Positive,175,932,13607
100634,Amazon,Negative,243,199,28765
100635,Meta,Neutral,163,137,19728
100636,Apple,Neutral,58,46,22533
100637,Meta,Positive,409,336,48578
100638,Microsoft,Negative,282,327,21741
100639,Amazon,Negative,236,474,26595
100640,Meta,Positive,327,885,25974
100641,Apple,Negative,101,920,38860
100642,Tesla,Positive,360,439,13536
100643,Google,Neutral,414,128,37887
100644,Apple,Neutral,274,382,24022
100645,Google,Positive,58,537,44005
100646,Tesla,Negative,327,641,39173
100647,Tesla,Negative,300,233,22851
100648,Google,Neutral,316,353,44194
100649,Meta,Neutral,314,173,44097
100650,Microsoft,Positive,122,625,7714
100651,Microsoft,Positive,72,1046,25508
100652,Tesla,Negative,294,785,27774
100653,Microsoft,Negative,275,354,36416
100654,Microsoft,Negative,71,383,20666
100655,Tesla,Negative,443,735,678
100656,Tesla,Positive,417,786,36853
100657,Amazon,Neutral,209,1007,27288
100658,Meta,Neutral,250,342,5467
100659,Amazon,Positive,389,451,19192
100660,Apple,Positive,275,591,11073
100661,Tesla,Negative,395,1014,36076
100662,Amazon,Positive,58,548,35643
100663,Google,Negative,387,85,49857
100664,Meta,Negative,111,870,6761
100665,Meta,Neutral,384,506,19560
100666,Apple,Positive,178,178,28824
100667,Apple,Neutral,121,429,48390
100668,Amazon,Neutral,440,876,10927
100669,Amazon,Positive,105,423,3940
100670,Amazon,Positive,143,1103,11084
100671,Google,Irrelevant,149,592,37584
100672,Google,Irrelevant,263,195,8935
100673,Tesla,Neutral,141,259,46018
100674,Microsoft,Positive,364,659,16273
100675,Meta,Positive,72,1182,41495
100676,Google,Negative,192,925,4999
100677,Meta,Neutral,393,190,26451
100678,Amazon,Neutral,355,755,29848
100679,Tesla,Positive,1,190,47952
100680,Tesla,Negative,357,733,4200
100681,Amazon,Positive,219,433,32471
100682,Google,Positive,145,691,35918
100683,Amazon,Positive,436,993,22577
100684,Meta,Neutral,23,203,41087
100685,Tesla,Positive,439,323,28970
100686,Tesla,Positive,219,414,45177
100687,Microsoft,Neutral,154,325,18008
100688,Apple,Negative,128,168,24419
100689,Meta,Irrelevant,84,106,26024
100690,Meta,Positive,358,479,28180
100691,Meta,Positive,48,2,14036
100692,Tesla,Positive,303,463,34092
100693,Meta,Negative,4,703,7953
100694,Tesla,Negative,244,145,15054
100695,Tesla,Positive,412,209,6813
100696,Google,Positive,153,280,25132
100697,Microsoft,Negative,346,292,4533
100698,Amazon,Negative,312,336,28892
100699,Google,Neutral,321,310,27031
100700,Amazon,Neutral,440,444,5731
100701,Apple,Positive,63,786,23088
100702,Tesla,Positive,71,507,18201
100703,Meta,Positive,283,583,45301
100704,Apple,Neutral,337,617,13514
100705,Amazon,Negative,96,802,19418
100706,Meta,Positive,406,490,32482
100707,Tesla,Positive,255,145,34671
100708,Apple,Irrelevant,162,270,25401
100709,Amazon,Negative,279,353,30918
100710,Apple,Positive,34,28,17232
100711,Microsoft,Positive,30,815,33251
100712,Google,Negative,256,850,27809
100713,Meta,Negative,327,1098,35285
100714,Amazon,Positive,42,634,5228
100715,Amazon,Irrelevant,413,318,35202
100716,Google,Positive,324,135,20377
100717,Meta,Negative,433,488,3844
100718,Microsoft,Positive,222,237,29762
100719,Amazon,Negative,158,359,7877
100720,Apple,Negative,359,23,10786
100721,Tesla,Irrelevant,267,1059,47286
100722,Google,Positive,64,550,48083
100723,Apple,Neutral,15,686,28186
100724,Google,Negative,134,1180,41175
100725,Apple,Positive,261,737,3683
100726,Tesla,Neutral,85,753,10359
100727,Google,Neutral,293,236,15018
100728,Meta,Negative,22,25,16076
100729,Apple,Positive,196,307,11778
100730,Apple,Negative,365,858,14763
100731,Google,Positive,368,655,17827
100732,Apple,Negative,61,1028,44177
